sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
7009666,109066136,87796,77670,14990,49770,6430539935.543452,5521225301.222951,100008,131906,541365,541365,4564676320936,4098341194438,221639,844558,1,0,19724166.303701,5291836.623474,1325722.2552490002,575746.7590630001,27.116292,22.793698999999997,4.3225929999999995,12,117,1.0,0.0,20787,19127,14870,15381,8445,2529,6230,66,2015-01-22 11:50:14,2441
7545037,128196387,116137,84286,15196,56647,19644231947.772285,9575170545.437996,112529,143006,464610,464608,3805025133136,3859787157445,207329,880247,0,0,1610664.949279,797810.650468,1422176.6882719998,446941.56874099997,19.034565999999998,10.347985000000001,8.686581,12,249,0.0,0.0,15740,15105,7339,8129,3101,2355,4139,152,2015-01-22 11:52:37,2241
7740144,99831594,171023,159573,14795,46394,7437645437.876923,9587924027.267223,101726,121508,513570,513570,4255494806476,4260149347581,229076,811002,0,0,12123983.348806,777833.8835329999,1540947.931324,643051.420481,77.554364,41.821312999999996,35.733050999999996,12,490,0.0,0.0,15342,14088,7167,8462,3201,2551,4259,305,2015-01-22 11:55:37,2395
11678190,105162159,189370,177882,18329,50251,37964768274.37431,10610608802.36239,111388,136262,652035,652035,5484436367467,5449102615707,364946,893637,5,0,7052116.661085,1689188.1331,1491136.4500159998,571897.4201499999,94.50994,50.080752000000004,44.429187999999996,12,519,5.0,0.0,20184,19482,12263,14337,6618,3075,7687,296,2015-01-22 11:58:37,2938
13866248,116476911,188733,175310,20625,55150,6891780052.053253,11841437946.154835,121424,150021,692325,692325,5771662314499,5769560107006,352116,966181,9,0,24553669.397591,1129709.459234,1644876.362745,830481.533266,70.30660400000001,38.745273999999995,31.561329999999998,12,515,9.0,0.0,23844,22799,13935,16523,7721,3307,8736,184,2015-01-22 12:01:37,3124
13776815,145013095,167485,118716,20028,63127,79369976563.24661,9588886091.0476,124821,162100,514335,514335,4425922287158,4363103666924,331002,883926,0,0,7986344.603213001,1519253.0696140002,1618625.6724710003,655595.050048,40.904152,22.943341000000004,17.960811,12,628,0.0,0.0,16953,15696,9434,10738,4454,2757,5651,308,2015-01-22 12:04:37,2606
17469467,140319600,269571,117493,21224,62136,87180260139.0917,8921212549.71503,132420,159911,534827,534735,4525621271243,4485960008939,317429,899862,0,0,8762538.314165998,1194427.258233,1674643.486419,479172.947183,148.256732,71.538284,76.718448,12,1972,0.0,0.0,19984,18730,8982,9761,4389,2985,5733,212,2015-01-22 12:07:37,2845
9340506,168258544,215700,127569,17378,72334,35846481589.09195,8724639756.73489,130467,179536,497250,497250,4181576187247,4183970221420,230310,927712,1,0,16976626.245073996,1510822.633856,1785409.5522470002,631571.25967,78.064032,42.36777,35.696262,12,1204,1.0,0.0,18542,15768,7851,8747,3521,3060,4654,317,2015-01-22 12:10:37,2632
8383626,133111418,147577,114829,15964,59384,16086940889.172312,9429783107.470684,117309,151592,465885,465885,4053696886288,3979258040287,225360,884147,0,0,21977446.367353,1465076.0839050002,1772799.1400370002,750872.9660670001,33.887168,18.058081,15.829087,12,508,0.0,0.0,15837,14235,7230,7951,2719,2514,3999,166,2015-01-22 12:13:37,2382
6970724,97358570,87711,68317,14560,46181,16475975188.179693,10275416040.822048,100632,122454,412590,412590,3464820455490,3402095589770,195822,865556,1,14336,866810.210766,510841.351889,1275649.3607299998,340434.564036,4.137506999999999,1.648222,2.4892849999999997,12,202,1.0,0.0,13435,12463,6332,6985,2234,2166,3345,115,2015-01-22 12:16:37,2057
9007398,119766543,107479,75449,15661,53249,76348117753.54253,9396046007.995338,109588,139695,434520,434265,3695239632500,3676357130591,268917,912373,1,5662,1288132.361424,847300.2872130001,1217875.9862189998,488685.79875599995,6.187201999999999,2.988019,3.199183,8,313,1.0,0.0,15303,14552,7368,8248,3125,2291,4280,149,2015-01-22 12:19:37,2195
7704393,115201432,96179,88691,15900,53012,10511537438.82724,10356877893.399448,110576,138697,460530,460530,3821020003403,3851060899181,211666,948628,10,8533,1490774.888619,851536.5856580001,1133640.7699630002,437034.77385999996,12.919877000000001,6.750165,6.169712,12,191,72.0,0.0,14435,13528,6886,7649,2471,2313,3688,135,2015-01-22 12:22:37,2198
