sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
14342984,132159800,122924,114338,21437,62359,2174580833.646882,6389893643.516161,132286,170840,772905,772905,6484640817665,6007543247295,473279,1156519,256,8498207,49062064.707088,11284650.911025,1660325.304443,849597.0707139999,26.404271,23.486139,2.918132,12,25,257.0,31.0,25229,23518,21223,21967,10695,4109,8491,0,2015-01-22 11:50:14,3987
16067716,160085260,133462,114022,22175,72132,4331716227.723347,11534365761.010433,148604,187782,713745,713743,5922274665520,5892037556865,468433,1267378,304,12400746,4261579.277594,2867271.8448820002,1447451.605541,465485.71979799995,10.497306,6.217678000000001,4.279628000000001,12,38,310.0,95.0,19068,18511,12694,14352,5010,3998,6858,0,2015-01-22 11:52:37,3812
15416508,153407424,147871,139899,20574,68435,4427576924.405617,11617922971.520695,140656,177428,718845,718845,6059542880935,6035610223718,473207,1226064,339,21892776,5599347.3537220005,2604489.289225,1474911.762344,521967.63859,29.261822000000002,16.966450000000002,12.295372,12,159,369.0,79.0,17668,16618,12227,14295,4884,4004,6631,0,2015-01-22 11:55:37,3836
18866611,158915984,182928,172602,24434,73004,6108150882.648208,12695513091.501656,153290,195806,910350,910350,7621700784920,7585457166173,639661,1347244,445,22965569,6223122.378299,3862789.860956,1467327.9542430001,535716.4980830001,38.640866,20.575831,18.065035,12,193,489.0,91.0,23865,23581,19374,23022,8773,4900,10820,0,2015-01-22 11:58:37,4736
22453990,164037126,206235,196144,27401,76269,4741126093.843094,13685662392.77951,162714,206895,929220,929220,7798089516756,7759437747820,635214,1386987,528,20056841,8559505.741602,2971621.288489,1480573.838873,539367.8975989999,46.138194,26.448936,19.689258,12,277,570.0,60.0,27416,26734,20631,25302,9886,5043,11615,0,2015-01-22 12:01:37,4867
17934118,214949914,153041,136395,23980,91867,7102710924.8657055,11274898794.83495,169258,233430,771885,771885,6570180795447,6530373384320,534745,1354811,445,30535394,10622848.328065999,4052410.222488,1601929.958614,666614.0801769999,14.583981999999999,8.947403999999999,5.636578,12,153,476.0,77.0,20541,19554,15449,17916,6495,4427,8330,0,2015-01-22 12:04:37,4269
21562958,198770320,275494,138376,25591,87297,59745224426.68298,10290276530.122223,172410,224428,773762,773670,6511285511922,6489627811750,568017,1339883,359,25240508,9335657.792839,3700851.3323089997,1674306.4425340001,469673.44208599994,132.385411,63.108207,69.277204,12,1615,383.0,90.0,22853,21847,14394,15586,6279,4593,8243,0,2015-01-22 12:07:37,4455
18848100,226613368,205916,146356,24363,96484,12762003488.119413,10121888930.121576,177912,243004,724965,724965,6030719788394,6129658775707,506110,1399030,439,28638036,8179209.244369,4152259.937287,1453517.371038,459229.33228800003,62.119774,34.093426,28.026348,12,690,475.0,67.0,19865,18215,12793,13962,5025,4312,6667,0,2015-01-22 12:10:37,4164
16931572,193917248,161012,134458,22733,84250,8470756446.695115,11138156590.371645,161640,215082,688245,688245,5815821220496,5842454295755,478623,1315070,391,26368228,8941159.56368,3554605.801757,1553979.388847,531550.720908,19.350182999999998,11.29981,8.050373,12,286,433.0,64.0,18989,17540,12318,13537,4626,4091,6453,0,2015-01-22 12:13:37,3929
16374278,171041946,116412,106222,22332,76291,3835388860.826673,11810016140.128677,152220,198174,658155,658155,5517767560420,5459331587406,456885,1319055,389,31062529,8504981.55008,3271171.85331,1362986.5463430001,377465.29071599996,3.012355,2.058809,0.953546,12,24,420.0,53.0,17610,16778,11700,12790,4387,3843,5901,0,2015-01-22 12:16:37,3701
19502785,172067709,130114,111329,24491,77176,37073166966.83557,10816806990.895222,159089,206343,686715,686460,5778222787301,5790205946475,551662,1370891,405,20673057,5610614.714039,3957017.507711,1262563.398647,525779.380193,1.9958310000000001,1.556194,0.43963699999999994,8,86,460.0,80.0,18504,17916,12696,14177,4849,4083,6600,0,2015-01-22 12:19:37,3933
17716773,181029152,119232,111105,23972,81121,4991507685.734791,11866487675.641592,161117,211843,678555,678300,5654055458256,5713725538505,488157,1388525,425,25957980,4952445.477691,3681439.086033,1167107.20903,460291.71643999993,3.136761,2.322333,0.814428,12,31,543.0,65.0,18456,17472,12266,13712,4480,4000,6284,0,2015-01-22 12:22:37,3826
19978230,227625192,135996,127150,27529,99355,3411522082.442683,11359783110.054562,189184,256006,751230,751230,6304913396043,6286452763450,540543,1622965,457,28138537,6488373.982760999,4532092.94699,1508331.605298,542246.782139,4.840624999999999,3.1670979999999997,1.673527,12,45,493.0,89.0,20193,18984,14937,16429,5151,4423,7019,0,2015-01-22 12:25:37,4273
22134922,184645052,140498,131636,27651,84242,3792192171.302651,13529126190.212086,176681,224221,755310,755310,6387362193762,6376951139200,580944,1631122,455,22101994,5402986.4512680005,3963836.659132,1167948.3083499998,439167.9760909999,7.252703,4.459448,2.793255,12,63,533.0,84.0,20898,19763,15181,16811,5356,4495,7485,0,2015-01-22 12:28:37,4289
19489410,197297105,133938,125036,24310,85593,5031211116.025796,11916356607.820066,168576,223280,753015,752250,6342621001531,6297294616903,563891,1555446,492,38575277,5322132.854811,3881977.4993630005,1366292.398684,418370.10056600004,3.798227,2.59516,1.2030669999999999,12,34,501.0,74.0,21091,20350,15276,17275,5925,4400,7899,0,2015-01-22 12:31:37,4278
18122000,175705038,172528,120196,23969,78182,90048322973.36882,11623266959.947334,160064,208106,757095,754290,6254991572835,6303505433368,634837,1454835,400,22062582,4867398.839733,3291525.3684839997,891724.18581,434465.076655,2.218592,1.720599,0.49799299999999996,8,354,495.0,82.0,27109,25854,16356,18929,7710,4592,9730,0,2015-01-22 12:34:37,4366
19277422,201169192,135246,123572,25284,88865,10858079631.675726,11458566917.719898,171144,229434,738990,738990,6201632852709,6271049028774,548958,1474076,452,26488599,5999712.20667,3975562.9746479997,1364878.094862,440793.883605,4.222640999999999,2.850967,1.371674,12,59,615.0,84.0,19748,18637,14426,16797,5611,4383,7621,0,2015-01-22 12:37:37,4171
21689218,226423690,174356,158942,28626,99674,14833777452.152714,11424434263.868134,193618,256682,775200,775200,6578615938075,6544813407234,601194,1594813,310,17788284,11321686.982857,4618225.667181999,1536209.5706860002,595127.192185,21.063041,12.246341,8.816699999999999,12,221,352.0,89.0,18779,18539,14771,16017,5209,4592,7240,0,2015-01-22 12:40:37,4406
19602293,205622336,150018,124710,24950,89328,66946894345.76464,12195429794.87915,174819,229270,697935,696915,5788551884507,5823320170471,553589,1488158,8,544074,5257670.839518,3709884.9503800003,885537.597906,433226.5910629999,9.484459999999999,5.844074000000001,3.640386,8,72,24.0,69.0,17891,16451,13614,15274,5648,4847,7343,0,2015-01-22 12:43:37,4233
17222680,168002089,185569,149899,22926,73877,115277181402.2074,12612844485.584248,152019,195521,735165,732870,6244922765649,6206314427912,535728,1299120,26,1092892,16999351.198184,3601403.8791300002,1471488.069452,598403.5503400001,26.910315,15.490412,11.419903000000001,12,214,160.0,66.0,21582,20481,13274,15515,6437,5377,8078,0,2015-01-22 12:46:37,4317
16022314,125113080,146491,109359,20678,59299,108491023417.23022,14078226266.38786,130379,159685,681360,681105,5749018885556,5721303784613,540818,1259042,6,19620,4213114.406986,3105647.925857,1346055.8154629997,493824.779921,3.5106400000000004,2.471951,1.0386889999999998,12,35,12.0,74.0,20177,19731,13496,14814,6146,5205,7745,0,2015-01-22 12:49:37,4225
18019985,182413394,167181,139867,24122,81674,73789719007.53476,12311014583.442593,162702,211736,714510,714510,5832077533203,5945057953663,550169,1369534,6,15859,9973362.079884,4877894.353108,1348336.9940070002,488926.03410099994,19.002142999999997,10.855771,8.146372,12,140,12.0,80.0,19918,18570,13416,15327,5672,4989,7402,0,2015-01-22 12:52:37,4295
20600488,240854804,180309,134223,26596,102872,67465664244.71994,10574745184.107174,192884,259806,737460,736950,6070633607414,6207595537334,568623,1535325,202,13219755,7120769.603030001,4535188.200912,1326075.145713,477667.446301,41.017039,21.762767,19.254272,12,150,209.0,87.0,18811,17913,14467,15745,5590,4982,7541,0,2015-01-22 12:55:37,4432
17730328,126830657,172493,145944,21976,61225,51278160533.53389,12192530376.61509,140490,167399,709410,708900,5815067155952,5945299833652,561504,1295763,363,20544958,12761181.104318999,3422146.282672,1369386.8598399998,544436.764377,33.852772,17.815080000000002,16.037692,12,167,393.0,75.0,17713,16439,12994,14283,5216,4736,6878,0,2015-01-22 12:58:37,4198
19000410,147325227,181277,156469,24288,69621,92102309475.66373,12236731925.097683,154575,189521,721650,719610,6096127586467,6035904010429,588868,1308109,370,14853173,5677804.132172,3307819.959984,1360172.169659,491424.1651219999,58.362554,29.565243,28.797311,12,447,484.0,70.0,20026,19030,13896,15265,5968,5251,7826,0,2015-01-22 13:01:37,4411
19416132,220464478,172214,204282,25159,95363,117236611147.5001,9354188566.644718,180165,241109,766706,766786,6362691350299,6421911239797,629965,1404541,414,26450964,12026314.298206,4883789.810584,1394482.223868,614756.542028,96.814946,56.204447,40.610499000000004,12,1110,452.0,81.0,22717,22000,15037,16464,7578,5784,9158,0,2015-01-22 13:04:37,4728
