sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
110628,136036,24614,23026,0,0,411869651.465329,506523297.787419,1588,1588,0,0,0,0,55314,68018,0,0,0.0,0.0,7.507999999999999,5.636,0.0,0.0,0.0,0,0,0.0,0.0,2835,2767,2569,2848,1136,830,1037,0,2015-01-22 11:50:14,794
91420,112284,20212,18908,0,0,344577799.69359994,423259849.43770003,1304,1304,0,0,0,0,45710,56142,0,0,0.0,0.0,6.257,4.604,0.0,0.0,0.0,0,0,0.0,0.0,1671,1719,1776,2409,920,696,862,0,2015-01-22 11:53:14,652
97840,120112,21576,20184,0,0,368233862.06112003,452078067.0003,1392,1392,0,0,0,0,48920,60056,0,0,0.0,0.0,6.596,5.170000000000001,0.0,0.0,0.0,0,0,0.0,0.0,1832,1791,2022,2512,944,724,912,0,2015-01-22 11:56:14,696
118882,143170,27273,24409,2,1,2032742760.1373668,537716962.417736,1690,1672,255,255,2429152679,3648792468,59177,71496,0,0,2742.567647,128.498094,60.08533299999998,96.71279699999998,0.165728,0.075058,0.09067,0,9,0.0,0.0,2156,2163,2772,3830,1201,893,1217,5,2015-01-22 11:59:14,841
158840,148776,27738,25250,2,1,505727583.22350097,559305337.606895,1952,1732,255,255,841473388,4088422545,60897,74255,0,0,8864.5401,183.371563,1234.005205,132.685711,0.140403,0.044597,0.095806,0,11,0.0,0.0,2340,2411,3037,4012,1204,900,1224,4,2015-01-22 12:02:14,866
120502,133838,24217,22417,0,0,410455819.121837,503566333.71514,1584,1546,0,0,0,0,54851,66919,0,0,1261.323625,0.0,984.7218749999996,5.386,0.0,0.0,0.0,0,6,0.0,0.0,2215,2213,2213,2729,1082,798,984,1,2015-01-22 12:05:14,774
127250,150488,23969,22439,0,0,411178719.220559,504387095.750688,1730,1728,0,0,0,0,54043,66334,0,0,106.383398,105.52718,98.029539,96.21853899999999,0.0,0.0,0.0,0,6,0.0,0.0,2037,1886,2166,2457,1073,807,970,2,2015-01-22 12:08:14,765
115360,140436,25870,23374,0,0,724608068.93981,528829128.75830007,1622,1612,0,0,0,0,57680,70218,0,0,0.0,0.0,6.933999999999999,5.514000000000001,0.0,0.0,0.0,0,8,0.0,0.0,2266,2274,2197,2580,1157,851,1027,4,2015-01-22 12:11:14,811
103316,126498,22822,21112,0,0,426668580.78793997,472200353.58605003,1458,1456,0,0,0,0,51658,63249,0,0,0.0,0.0,6.869999999999999,5.477,0.0,0.0,0.0,0,2,0.0,0.0,2073,2063,2085,2345,1028,776,938,1,2015-01-22 12:14:14,729
106988,130906,23343,21808,0,0,486201229.09928,493548078.65262,1506,1504,0,0,0,0,53494,65453,0,0,0.0,0.0,6.462999999999999,5.441000000000001,0.0,0.0,0.0,0,0,0.0,0.0,2275,2251,2147,2367,1069,795,950,0,2015-01-22 12:17:14,753
119846,142930,27091,24092,0,0,2394973308.07358,536138367.02365005,1668,1644,0,0,0,0,59996,71550,0,0,0.0,0.0,6.929,5.519,0.0,0.0,0.0,0,13,0.0,0.0,2403,2586,2382,2659,1169,881,1079,6,2015-01-22 12:20:14,835
112304,137616,24521,22939,0,0,422242507.74082,517448910.28141,1582,1582,0,0,0,0,56152,68808,0,0,0.0,0.0,7.119999999999999,5.606,0.0,0.0,0.0,0,0,0.0,0.0,2413,2306,2230,2618,1125,827,994,0,2015-01-22 12:23:14,791
126598,155052,27968,26178,2,1,477412576.210716,585813709.4512191,1798,1796,255,255,774416470,437961244,63096,77393,0,0,3464.301063,122.098758,67.45011100000002,78.70285899999999,0.080883,0.028208,0.052675,0,1,0.0,0.0,2644,2618,2833,3171,1337,957,1193,1,2015-01-22 12:26:14,895
135746,156560,28501,26187,0,0,528590555.80649006,592076883.0942001,1844,1806,0,0,0,0,64116,78280,0,0,185.4005,0.0,182.47668800000002,6.390000000000001,0.0,0.0,0.0,0,4,0.0,0.0,2782,2776,2879,3164,1311,957,1207,2,2015-01-22 12:29:14,905
121526,157843,27583,25277,2,5,879749289.765196,559591934.77205,1726,1719,255,255,325819295,2337179359,60616,74656,0,0,1320.45095,1093.690175,32.38677800000001,17.242154000000003,0.093376,0.04684,0.046536,0,9,0.0,0.0,2539,2407,2538,3108,1226,898,1103,4,2015-01-22 12:32:14,860
114127,139900,25268,23548,0,0,432249812.07714,530892044.57060003,1627,1624,0,0,0,0,57169,69950,0,0,0.0,0.0,7.530999999999999,5.727,0.0,0.0,0.0,0,0,0.0,0.0,2450,2331,2482,3169,1191,851,1110,0,2015-01-22 12:35:14,815
139864,150530,27131,25143,0,0,464528681.65264,569516830.95348,1850,1734,0,0,0,0,61540,75265,0,0,48.408656,0.0,43.75796500000003,5.791,0.0,0.0,0.0,0,2,0.0,0.0,2573,2540,2494,3055,1288,920,1145,1,2015-01-22 12:38:14,868
125406,156468,28294,25832,2,2,1021239723.901635,577103864.22695,1776,1770,255,255,2644200966,1665044876,62499,77249,0,0,4372.000826,169.507563,89.558111,100.484141,0.121642,0.049346,0.072296,0,6,0.0,0.0,2554,2572,2699,3036,1277,916,1121,3,2015-01-22 12:41:14,884
256670,137418,155149,22881,0,0,124111851710.17763,522009151.57054,3164,1578,0,0,0,0,128335,68709,0,0,0.0,0.0,12.928999999999998,5.467,0.0,0.0,0.0,0,858,0.0,0.0,10241,10162,5771,7129,4630,3358,4506,429,2015-01-22 12:44:14,1582
284629,111355,189396,18619,0,0,147191793876.59955,416074090.75811005,3379,1283,0,0,0,0,142351,55722,0,0,0.0,0.0,13.986,4.479000000000001,0.0,0.0,0.0,0,1100,0.0,0.0,14295,14234,6570,7120,5681,3953,5629,550,2015-01-22 12:47:14,1690
269270,124514,172544,21928,2,2,132752747439.33134,454626047.88973,3258,1426,255,255,1412641986,3646758803,134433,62040,0,0,3405.986214,137.931391,83.370222,75.07342999999999,0.208862,0.071867,0.136995,0,1000,0.0,0.0,11027,10964,5841,6425,4792,3534,4732,498,2015-01-22 12:50:14,1625
222172,142940,119796,23896,0,0,93427994246.91608,543513754.23841,2798,1648,0,0,0,0,111086,71470,0,0,0.0,0.0,11.195,5.668,0.0,0.0,0.0,0,616,0.0,0.0,6479,6396,4495,5156,3341,2657,3180,308,2015-01-22 12:53:14,1399
212740,145212,110779,24273,0,0,87551704415.9245,549238217.77369,2704,1674,0,0,0,0,106370,72606,0,0,0.0,0.0,11.004999999999999,5.970000000000001,0.0,0.0,0.0,0,556,0.0,0.0,5516,5411,4242,4626,2989,2447,2868,278,2015-01-22 12:56:14,1352
195670,191692,104533,23088,0,0,74601095543.70602,487356203.75025296,2482,2294,0,0,0,0,97904,65674,0,0,0.0,246.184031,10.308,39.579531,0.0,0.0,0.0,0,550,0.0,0.0,4887,4858,3778,4046,2633,2296,2574,272,2015-01-22 12:59:14,1242
