sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
110628,136036,24614,23026,0,0,411869269,506522925,1588,1588,0,0,0,0,55314,68018,0,0,0,0,0,0,0,0,0,0,0,0,0,2835,2767,2569,2848,1136,830,1037,0,2015-01-22 11:50:14,794
91420,112284,20212,18908,0,0,344577480,423259563,1304,1304,0,0,0,0,45710,56142,0,0,0,0,0,0,0,0,0,0,0,0,0,1671,1719,1776,2409,920,696,862,0,2015-01-22 11:53:14,652
97840,120112,21576,20184,0,0,368233534,452077754,1392,1392,0,0,0,0,48920,60056,0,0,0,0,0,0,0,0,0,0,0,0,0,1832,1791,2022,2512,944,724,912,0,2015-01-22 11:56:14,696
117212,142902,26003,24157,0,0,1693346810,537713201,1672,1666,0,0,0,0,58606,71451,0,0,0,0,0,0,0,0,0,0,0,0,0,2151,2158,2766,3821,1196,888,1211,0,2015-01-22 11:59:14,836
120838,148422,26722,24998,0,0,455318145,559302300,1724,1724,0,0,0,0,60419,74211,0,0,0,0,0,0,0,0,0,0,0,0,0,2336,2407,3033,4006,1200,896,1220,0,2015-01-22 12:02:14,862
109102,133838,23963,22417,0,0,410452860,503565989,1546,1546,0,0,0,0,54551,66919,0,0,0,0,0,0,0,0,0,0,0,0,0,2214,2212,2212,2726,1081,797,983,0,2015-01-22 12:05:14,773
107762,132178,23653,22127,0,0,411165959,504369538,1526,1526,0,0,0,0,53881,66089,0,0,0,0,0,0,0,0,0,0,0,0,0,2035,1884,2164,2455,1071,805,968,0,2015-01-22 12:08:14,763
114844,140436,25238,23374,0,0,520607674,528828761,1614,1612,0,0,0,0,57422,70218,0,0,0,0,0,0,0,0,0,0,0,0,0,2262,2270,2193,2573,1153,847,1023,0,2015-01-22 12:11:14,807
103202,126498,22568,21112,0,0,385213678,472200024,1456,1456,0,0,0,0,51601,63249,0,0,0,0,0,0,0,0,0,0,0,0,0,2072,2062,2084,2343,1027,775,937,0,2015-01-22 12:14:14,728
106988,130906,23343,21808,0,0,486200869,493547738,1506,1504,0,0,0,0,53494,65453,0,0,0,0,0,0,0,0,0,0,0,0,0,2275,2251,2147,2367,1069,795,950,0,2015-01-22 12:17:14,753
