sttl_ftp,Dintpkt_ftp,sbytes_http,sloss_http,Dintpkt_http,dttl_smtp,Djit_smtp,ackdat_ssh
2635.0,1780.8276069999995,588762,281,5257.839305999999,4321.0,2899.272524,0.028469
2077.0,1162.3148479999998,1291112,1031,19501.688513,5365.0,4318.668849,0.024102
2294.0,1425.4009940000003,1576797,1159,22719.136916,6033.0,4251.898378,0.021198
2387.0,1433.536336,1476746,1167,19248.081693,5601.0,7181.846448,0.020657
2604.0,3161.780931,1437146,1283,18616.549457,5597.0,4108.660044,0.013994
2852.0,3274.397195,1214946,1193,18701.82356,5046.0,3248.766606,0.011028
2325.0,2008.872345,1598734,1266,21864.980176,4640.0,2100.145257,0.001868
3938.0,7405.137490999999,1666754,1286,25827.691289,4787.0,2607.7583430000004,0.012299
2728.0,1662.418448,1715633,1327,27466.402134,4497.0,3014.5157360000003,0.017226
3224.0,2473.304195,1873142,1213,23895.645898,5686.0,4714.324987999999,0.028847
2387.0,1154.344553,1034388,894,17278.94106,5337.0,5606.959973,0.0450169999999999
2542.0,2081.80961,1218962,1057,21239.998659,5133.0,3072.944472,0.045765
3317.0,7496.698114000001,1412311,1072,19837.126574,5308.0,3224.24274,0.019254
3224.0,2449.939493,1122587,1033,20576.399481,5307.0,4346.446269,0.0112719999999999
2635.0,2274.032313,1143814,1066,20811.119837,5976.0,4852.095502,0.0122359999999999
2635.0,2596.3766730000007,989512,958,18895.986209,5481.0,3338.2274690000004,0.028517
2604.0,1929.525949,1720370,1153,22552.941997,5017.0,2236.254291,0.0270969999999999
2480.0,2550.491164,1414180,1085,21083.582819,5512.0,3792.810594000001,0.027768
2450.0,2180.464471000001,1340497,1126,22775.78411,5366.0,7892.86622,0.036946
3348.0,2584.23059,1251631,1104,22612.503879,4321.0,2209.4528370000003,0.035251
2387.0,1249.489817,1168538,1042,19928.06019,3712.0,1883.040434,0.022365
2914.0,3114.7972140000006,1269912,1060,21070.176346,4263.0,1847.5612220000005,0.0185959999999999
2666.0,2390.3188090000003,1646790,1271,25423.107125,4205.0,1820.420479,0.023547
3286.0,3124.329822,1816492,1204,25145.032681,4641.0,3390.585059,0.021793
2852.0,2494.894804,1369060,1094,21028.228103,5249.0,7674.070285999998,0.014068
3596.0,2418.662406,1302144,829,15500.016569,4990.0,2665.561017,0.0146429999999999
2697.0,1331.161877,1074822,913,17348.126081000002,5017.0,2633.4974220000004,0.0215479999999999
2666.0,1566.598272,1287114,990,18678.184609,4872.0,2623.0848960000003,0.028705
2263.0,1330.446487,1263059,1000,19388.126828,4756.0,2690.966244,0.014863
2604.0,3170.3461910000005,1046090,918,17804.254423,5105.0,4989.815986,0.00762
2263.0,1576.474603,1098851,1004,19761.866649,4756.0,3615.468205,0.008113
2853.0,1811.120296,1304564,987,18758.217188,4408.0,1965.70381,0.0075169999999999
3007.0,2759.262667,1090680,975,19618.606866,4901.0,2546.692195,0.010156
3906.0,5268.458135000001,1729863,1101,21396.610568,4350.0,2313.102921,0.0105209999999999
3410.0,4412.283864,1242131,1079,20641.602811,4321.0,3989.197539,0.015239
2016.0,901.58277,1154020,882,16658.248528000004,4176.0,2157.771753,0.0342909999999999
2666.0,1610.606099,970298,937,17941.981517,4525.0,2409.5507100000004,0.0280619999999999
2232.0,1767.687953,1391646,1042,19884.358893,4785.0,2867.507654,0.032375
2914.0,2228.512433,1300340,1053,19574.051635,4582.0,3438.966641,0.016105
3999.0,6395.815742,1044849,933,17228.206723,4437.0,4047.821021,0.0161429999999999
3348.0,2691.644991,948086,825,14924.175104,4615.0,3836.508074,0.002971
3565.0,4264.683964000001,1375339,998,19231.207345000003,4988.0,3561.503411,0.004137
2542.0,2735.491049,1155462,996,18781.238586,5075.0,2941.49365,0.0069319999999999
2542.0,1144.949333,1050646,893,17014.338683,5597.0,3408.468105,0.008555
2108.0,1367.37092,1299790,1051,20088.957502,5655.0,7415.24826,0.0041829999999999
3410.0,2916.670698000001,1080246,1059,20657.739988,5192.0,7318.505422999999,0.002875
5457.0,3961.913419,1483676,1156,22258.398151,4611.0,2989.122766,0.016838
2139.0,1091.061642,1459894,1117,20580.95345,4582.0,3750.738816,0.020773
3038.0,2981.471006,1421610,1121,21495.022488999995,5336.0,4168.006595999999,0.013651
3193.0,2653.9874130000003,1106483,1000,19881.598279,5104.0,4382.486575,0.012996
4061.0,5186.707723,1302395,1006,19148.854045,4902.0,7424.119542,0.018739
3906.0,4787.492767000001,1295496,960,18032.077122,4292.0,2698.7606910000004,0.0359289999999999
3255.0,4286.986432000001,1276818,1046,20485.400556,4930.0,2728.349695,0.027041
2511.0,1712.603297,1485762,1151,22718.804471,5568.0,3836.084279,0.009209
2945.0,2070.656256,1338035,1077,39214.991914,5424.0,4147.886465,0.008378
2790.0,1915.312065,1687919,1102,19605.508186,4873.0,5896.924256,0.0068799999999999
2945.0,2664.438564,1868987,1088,20136.300283,5133.0,3460.467368,0.018049
2604.0,1158.851245,1636586,1146,22400.549263,4872.0,2706.064386,0.020096
3038.0,1614.980024,1430616,1163,22396.062188,4582.0,2490.2018689999995,0.0167949999999999
2418.0,1265.5436960000002,1454716,1112,20994.532529,4903.0,6880.914863,0.008086
2791.0,2461.4730930000005,1595162,1168,23224.011024,4611.0,2366.426504,0.009995
2170.0,1206.0384090000005,1441620,1069,20015.714216,5075.0,2888.5656069999995,0.01211
2883.0,1809.887139,1534528,1082,20526.906696,4582.0,2373.401392,0.014946
2573.0,1624.8267039999998,1335156,1020,19022.460334,3886.0,1576.7403470000002,0.016824
2201.0,969.184871,1362599,984,17987.654606,4147.0,1763.1496420000003,0.041999
2914.0,4028.5583,1665757,1081,20943.048423,4090.0,1898.1704010000003,0.045367
3255.0,2897.878899,1477340,1099,21075.156169,4611.0,2335.5673759999995,0.050982
2604.0,1369.501086,1431352,1069,21095.897059,4292.0,2167.5095880000003,0.037793
2046.0,1316.428576,1146708,917,16860.843522,4582.0,2420.328939,0.01926
3565.0,3483.304937,1420651,987,17936.938202999998,4902.0,2621.851347,0.019433
2263.0,1405.420095,1185355,1027,16763.1868,4611.0,3235.8393990000004,0.01602
2790.0,1737.65086,1155280,1243,18244.868764,4698.0,3044.86608,0.01207
2604.0,2067.0170550000003,1507518,1286,19414.361289,4756.0,2459.019674,0.014048
3782.0,4157.494259000001,1580490,1157,19631.574036,4408.0,1934.109142,0.010213
3813.0,5290.403253999999,1211152,1057,19459.092296000003,3625.0,2675.752062,0.011377
3534.0,4817.664673,1271042,1047,19451.266393,4611.0,4397.497323,0.004304
3007.0,2093.892277,1228678,1059,19774.897682,4785.0,2917.669742,0.006921
2201.0,1032.472264,996822,954,18295.855246,5510.0,4135.009748,0.03865
3813.0,4877.724224,1184364,940,17400.544679,5104.0,3025.762603,0.037819
2542.0,1393.4957060000002,1429954,981,18740.208621,5743.0,4938.2236410000005,0.018415
2914.0,3085.953157,1498670,1069,21180.578216,5193.0,3406.483713,0.010021
2635.0,1323.563673,1378294,1093,21525.230673,5162.0,2790.008907,0.009087
3007.0,3344.4719400000004,1965610,1299,25817.865347,5220.0,2915.550938,0.011122
2325.0,1457.3146389999995,1316630,1105,21156.834896,4495.0,2826.366719,0.011105
2945.0,2221.179972,1373725,1150,24075.575392,4408.0,6162.269854,0.0115899999999999
3131.0,5414.103164,1559112,1188,24117.019148,5046.0,4274.692303000001,0.015511
3131.0,2685.899976,1772366,1274,23741.621009,5278.0,3313.323894,0.013711
2604.0,1490.8864299999998,1395852,1151,20882.442956,4756.0,2335.202993,0.00957
3906.0,7985.752270999999,1277396,1050,19999.131314,4902.0,2500.756836,0.0093339999999999
2821.0,1523.350116,1467456,1082,19868.678613,4874.0,2316.876672,0.003396
2635.0,2076.8703,1380156,1136,22630.146577,5162.0,3370.915824,0.003416
2294.0,1126.4296700000002,1573572,1201,24309.291555000003,5278.0,2515.9026590000003,0.0125
