ct_state_ttl_all,ct_dst_src_ltm_all,ct_dst_src_ltm_dns,sttl_ftp,Dintpkt_ftp,sbytes_http,sloss_http,Dintpkt_http,dttl_smtp,Djit_smtp,ackdat_ssh
25,8491,1037.0,3131.0,14037.481706,1022722.0,1161.0,208974.651192,4437.0,68030.79801099999,0.030025
38,6858,890.8,3100.0,1572.283878,1022722.0,915.8,16852.1558026,4698.0,2317.744665,0.045238
159,6631,912.0,3038.0,1845.779872,1369574.0,1018.0,17639.734036,4156.400000000001,1898.2818450000002,0.037104
193,10820,1211.0,4494.0,4347.794674,1683555.0,1302.0,18505.352744,4321.0,1898.2818450000002,0.03625
277,11615,1220.0,3211.0,1940.908118,1470124.0,1380.0,21038.48067,4524.0,1903.189726,0.0240009999999999
153,8330,983.0,3007.0,3650.358677,1621430.0,1146.0,20988.155533,4466.0,2066.891308,0.0234279999999999
1615,8243,968.0,4717.0,2629.302427,1397582.0,1061.0,21329.932011,4901.0,4210.028135,0.01774
690,6667,1023.0,2170.0,1248.359063,1846938.0,1280.0,25298.056065,4930.0,3934.294601000001,0.0167349999999999
286,6453,937.0,2387.0,2047.410275,1442976.0,1081.0,20845.402342,4524.0,2382.814425,0.026715
24,6208,950.0,2635.0,4258.056811,1844794.0,1131.0,21588.016008,4698.0,3617.587096,0.5672339999999999
86,6600,1069.0,3008.0,1951.691757,1362151.0,1150.0,22758.442327,5771.0,4851.073467,0.009246
31,6284,994.0,2387.0,1416.405304,1564166.0,1220.0,23488.087318,5133.0,2871.959218,0.012345
45,7019,1192.0,3472.0,3414.832846,1499740.0,1289.0,25092.020018000003,5336.0,3044.403301,0.016092
63,7485,1205.0,3007.0,1949.286557,1844352.0,1362.0,26391.051955,5191.0,3374.676735,0.015191
34,7899,1096.0,2790.0,1502.548268,1707258.0,1225.0,23415.889464,5107.0,3904.862051,0.0113579999999999
354,9730,1110.0,3224.0,4543.957869,1249826.0,1119.0,19852.112453,4872.0,3512.146175,0.006252
59,7621,1144.0,3565.0,5154.713748,1572652.0,1233.0,25775.247118,6090.0,5504.847767,0.0064619999999999
221,7240,1117.0,3596.0,3398.029703,1884012.0,1245.0,24702.160871,5916.0,5166.332911,0.027019
72,7343,2457.0,2170.0,1114.0899000000002,1518242.0,1162.0,23670.597764,5802.0,4749.210119,0.02932
214,8078,2934.0,2418.0,1182.635764,1097030.0,915.8,17870.228196999997,4383.0,2174.71616,0.0146289999999999
35,7745,2441.0,4574.0,1968.923416,1547388.0,1104.0,21805.410762,4669.0,2232.772724,0.005907
140,7402,1881.0,3038.0,2194.381419,1644796.0,1158.0,32803.387749,5220.0,3203.9003709999997,0.0117939999999999
150,7541,1808.0,3193.0,2181.383171,1687582.0,1199.0,23671.330767,5588.0,3819.267056,0.030259
167,6878,1594.0,3224.0,3457.814679,1208379.0,976.0,19406.031108,5075.0,2999.886292,0.020932
447,7826,2180.0,2357.0,1590.656516,1022961.0,1067.0,21584.319293,5221.0,4214.306183000001,0.010442
1110,9158,3147.0,3131.0,2975.674182999999,1682081.0,1263.0,23470.270693,5336.0,4074.111489,0.0149069999999999
57,8706,3187.0,2170.0,1114.0899000000002,1296980.0,915.8,17329.120018,4176.0,2472.122001,0.0191889999999999
93,8444,2396.0,2170.0,1114.0899000000002,1022722.0,915.8,16852.1558026,4156.400000000001,1898.2818450000002,0.00518379999999996
24,8186,1991.0,2170.0,1114.0899000000002,1022722.0,915.8,16852.1558026,4156.400000000001,1898.2818450000002,0.00518379999999996
42,7241,1349.0,2170.0,1114.0899000000002,1022722.0,915.8,16852.1558026,4156.400000000001,1898.2818450000002,0.00518379999999996
174,7186,890.8,2170.0,1114.0899000000002,1022722.0,915.8,16852.1558026,4156.400000000001,1898.2818450000002,0.00518379999999996
1837,7381,890.8,3441.0,2812.583663,1022722.0,915.8,16852.1558026,4156.400000000001,1898.2818450000002,0.020176
1079,7130,890.8,3410.0,3100.6183959999994,1022722.0,915.8,16852.1558026,4156.400000000001,1898.2818450000002,0.005785
294,6353,890.8,3069.0,1816.501831,1022722.0,915.8,16852.1558026,4156.400000000001,1898.2818450000002,0.00518379999999996
150,7297,1105.0,2666.0,2662.812633,1022722.0,915.8,16852.1558026,4156.400000000001,1898.2818450000002,0.008171
130,7097,890.8,2170.0,1838.892422,1022722.0,915.8,16852.1558026,4156.400000000001,1898.2818450000002,0.0121479999999999
38,6208,890.8,2852.0,1986.720451,1022722.0,915.8,16852.1558026,5104.0,3191.70872,0.01051
94,6369,890.8,3038.0,2821.234146,1022722.0,915.8,16852.1558026,5075.0,5578.749104,0.00518379999999996
39,7272,890.8,2976.0,2642.181299,1022722.0,915.8,16852.1558026,4756.0,3579.450408,0.016469
83,7817,890.8,2883.0,3083.553147,1022722.0,915.8,16852.1558026,5336.0,3216.739708,0.02319
24,7345,890.8,2635.0,1780.8276069999995,1022722.0,915.8,16852.1558026,4321.0,2899.272524,0.028469
24,6646,1002.0,2170.0,1162.3148479999998,1291112.0,1031.0,19501.688513,5365.0,4318.668849,0.024102
24,6705,1093.0,2294.0,1425.4009940000003,1576797.0,1159.0,22719.136916,6033.0,4251.898378,0.021198
24,8598,1142.0,2387.0,1433.536336,1476746.0,1167.0,19248.081693,5601.0,7181.846448,0.020657
24,11923,1205.0,2604.0,3161.780931,1437146.0,1283.0,18616.549457,5597.0,4108.660044,0.013994
16,11251,1093.0,2852.0,3274.397195,1214946.0,1193.0,18701.82356,5046.0,3248.766606,0.011028
24,9024,1228.0,2325.0,2008.872345,1598734.0,1266.0,21864.980176,4640.0,2100.145257,0.00518379999999996
24,7863,1164.0,3938.0,7405.137490999999,1666754.0,1286.0,25827.691289,4787.0,2607.7583430000004,0.012299
24,6650,1166.0,2728.0,1662.418448,1715633.0,1327.0,27466.402134,4497.0,3014.5157360000003,0.017226
24,6588,1074.0,3224.0,2473.304195,1873142.0,1213.0,23895.645898,5686.0,4714.324987999999,0.028847
24,6208,890.8,2387.0,1154.344553,1034388.0,915.8,17278.94106,5337.0,5606.959973,0.0450169999999999
24,6208,895.0,2542.0,2081.80961,1218962.0,1057.0,21239.998659,5133.0,3072.944472,0.045765
16,6208,933.0,3317.0,7496.698114000001,1412311.0,1072.0,19837.126574,5308.0,3224.24274,0.019254
24,6652,984.0,3224.0,2449.939493,1122587.0,1033.0,20576.399481,5307.0,4346.446269,0.0112719999999999
24,6363,1032.0,2635.0,2274.032313,1143814.0,1066.0,20811.119837,5976.0,4852.095502,0.0122359999999999
24,6319,965.0,2635.0,2596.3766730000007,1022722.0,958.0,18895.986209,5481.0,3338.2274690000004,0.028517
24,6208,1009.0,2604.0,1929.525949,1720370.0,1153.0,22552.941997,5017.0,2236.254291,0.0270969999999999
24,6421,1054.0,2480.0,2550.491164,1414180.0,1085.0,21083.582819,5512.0,3792.810594000001,0.027768
24,6343,1013.0,2450.0,2180.464471000001,1340497.0,1126.0,22775.78411,5366.0,7892.86622,0.036946
16,6369,1087.0,3348.0,2584.23059,1251631.0,1104.0,22612.503879,4321.0,2209.4528370000003,0.035251
16,6208,936.0,2387.0,1249.489817,1168538.0,1042.0,19928.06019,4156.400000000001,1898.2818450000002,0.022365
24,6208,965.0,2914.0,3114.7972140000006,1269912.0,1060.0,21070.176346,4263.0,1898.2818450000002,0.0185959999999999
24,6346,1129.0,2666.0,2390.3188090000003,1646790.0,1271.0,25423.107125,4205.0,1898.2818450000002,0.023547
16,6683,1114.0,3286.0,3124.329822,1816492.0,1204.0,25145.032681,4641.0,3390.585059,0.021793
24,6726,947.0,2852.0,2494.894804,1369060.0,1094.0,21028.228103,5249.0,7674.070285999998,0.014068
24,6208,890.8,3596.0,2418.662406,1302144.0,915.8,16852.1558026,4990.0,2665.561017,0.0146429999999999
16,6208,890.8,2697.0,1331.161877,1074822.0,915.8,17348.126081000002,5017.0,2633.4974220000004,0.0215479999999999
24,6208,890.8,2666.0,1566.598272,1287114.0,990.0,18678.184609,4872.0,2623.0848960000003,0.028705
24,6208,890.8,2263.0,1330.446487,1263059.0,1000.0,19388.126828,4756.0,2690.966244,0.014863
24,6208,895.0,2604.0,3170.3461910000005,1046090.0,918.0,17804.254423,5105.0,4989.815986,0.00762
16,6208,940.0,2263.0,1576.474603,1098851.0,1004.0,19761.866649,4756.0,3615.468205,0.008113
24,6529,896.0,2853.0,1811.120296,1304564.0,987.0,18758.217188,4408.0,1965.70381,0.0075169999999999
24,6275,890.8,3007.0,2759.262667,1090680.0,975.0,19618.606866,4901.0,2546.692195,0.010156
24,6305,968.0,3906.0,5268.458135000001,1729863.0,1101.0,21396.610568,4350.0,2313.102921,0.0105209999999999
16,6431,1004.0,3410.0,4412.283864,1242131.0,1079.0,20641.602811,4321.0,3989.197539,0.015239
24,6622,924.0,2170.0,1114.0899000000002,1154020.0,915.8,16852.1558026,4176.0,2157.771753,0.0342909999999999
24,6369,890.8,2666.0,1610.606099,1022722.0,937.0,17941.981517,4525.0,2409.5507100000004,0.0280619999999999
24,6482,982.0,2232.0,1767.687953,1391646.0,1042.0,19884.358893,4785.0,2867.507654,0.032375
24,6362,897.0,2914.0,2228.512433,1300340.0,1053.0,19574.051635,4582.0,3438.966641,0.016105
24,6355,893.0,3999.0,6395.815742,1044849.0,933.0,17228.206723,4437.0,4047.821021,0.0161429999999999
24,6390,890.8,3348.0,2691.644991,1022722.0,915.8,16852.1558026,4615.0,3836.508074,0.00518379999999996
24,6217,891.0,3565.0,4264.683964000001,1375339.0,998.0,19231.207345000003,4988.0,3561.503411,0.00518379999999996
24,6441,1017.0,2542.0,2735.491049,1155462.0,996.0,18781.238586,5075.0,2941.49365,0.0069319999999999
24,6404,910.0,2542.0,1144.949333,1050646.0,915.8,17014.338683,5597.0,3408.468105,0.008555
24,6646,962.0,2170.0,1367.37092,1299790.0,1051.0,20088.957502,5655.0,7415.24826,0.00518379999999996
24,6264,937.0,3410.0,2916.670698000001,1080246.0,1059.0,20657.739988,5192.0,7318.505422999999,0.00518379999999996
24,6491,1004.0,13950.0,22277.614279,1643595.0,1192.0,21913.237186,4930.0,2928.0032009999995,0.0067439999999999
24,6208,1095.0,29295.0,68724.60178199998,2183652.0,1306.0,25740.778273,4959.0,3323.86293,0.007775
24,6624,1100.0,32643.0,66651.48502200001,1833626.0,1249.0,23578.532823,4988.0,2468.131733,0.0111519999999999
24,7144,1109.0,18476.0,20468.7935,1094299.0,1126.0,21780.604587,4582.0,5033.788232000001,0.010005
24,6996,1091.0,18849.0,21571.849227,1496843.0,1119.0,20734.749276999995,4206.0,3372.2064480000004,0.009793
24,6952,1054.0,5457.0,3961.913419,1483676.0,1156.0,22258.398151,4611.0,2989.122766,0.016838
24,6991,950.0,2170.0,1114.0899000000002,1459894.0,1117.0,20580.95345,4582.0,3750.738816,0.020773
24,6208,942.0,3038.0,2981.471006,1421610.0,1121.0,21495.022488999995,5336.0,4168.006595999999,0.013651
16,6208,901.0,3193.0,2653.9874130000003,1106483.0,1000.0,19881.598279,5104.0,4382.486575,0.012996
24,6208,918.0,4061.0,5186.707723,1302395.0,1006.0,19148.854045,4902.0,7424.119542,0.018739
24,14754,2402.0,3906.0,4787.492767000001,1295496.0,960.0,18032.077122,4292.0,2698.7606910000004,0.0359289999999999
32,83922,6990.0,3255.0,4286.986432000001,1276818.0,1046.0,20485.400556,4930.0,2728.349695,0.027041
24,100797,6340.0,2511.0,1712.603297,1485762.0,1151.0,22718.804471,5568.0,3836.084279,0.009209
24,96322,2313.0,2945.0,2070.656256,1338035.0,1077.0,39214.991914,5424.0,4147.886465,0.008378
24,87819,2492.0,2790.0,1915.312065,1687919.0,1102.0,19605.508186,4873.0,5896.924256,0.0068799999999999
32,45223,1413.0,2945.0,2664.438564,1868987.0,1088.0,20136.300283,5133.0,3460.467368,0.018049
24,6208,942.0,2604.0,1158.851245,1636586.0,1146.0,22400.549263,4872.0,2706.064386,0.020096
24,6418,1046.0,3038.0,1614.980024,1430616.0,1163.0,22396.062188,4582.0,2490.2018689999995,0.0167949999999999
16,6727,993.0,2418.0,1265.5436960000002,1454716.0,1112.0,20994.532529,4903.0,6880.914863,0.008086
24,7539,1093.0,2791.0,2461.4730930000005,1595162.0,1168.0,23224.011024,4611.0,2366.426504,0.009995
24,6825,1033.0,2170.0,1206.0384090000005,1441620.0,1069.0,20015.714216,5075.0,2888.5656069999995,0.01211
24,6556,984.0,2883.0,1809.887139,1534528.0,1082.0,20526.906696,4582.0,2373.401392,0.014946
24,6208,890.8,2573.0,1624.8267039999998,1335156.0,1020.0,19022.460334,4156.400000000001,1898.2818450000002,0.016824
24,6595,919.0,2201.0,1114.0899000000002,1362599.0,984.0,17987.654606,4156.400000000001,1898.2818450000002,0.041999
24,6535,990.0,2914.0,4028.5583,1665757.0,1081.0,20943.048423,4156.400000000001,1898.2818450000002,0.045367
24,6506,1006.0,3255.0,2897.878899,1477340.0,1099.0,21075.156169,4611.0,2335.5673759999995,0.050982
