sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
1173224,1356450,12009,12039,732,865,230629912.394538,389285578.798455,3450,3226,94095,94095,798519926613,804551825262,90300,125143,0,0,2567103.4326259997,738799.6000029999,34951.524029,35083.354535,1.298464,0.92721,0.37125400000000003,0,6,0.0,0.0,1035,995,1703,1691,377,369,847,6,2015-01-22 11:50:43,369
856232,984948,8804,10176,538,638,464245865.691613,612434295.494688,2572,2412,69870,69870,633579488158,535265971199,65932,91412,0,0,371882.871266,124403.05317499998,5141.494607,5879.198768,1.3769550000000002,0.704223,0.672732,0,10,0.0,0.0,912,858,1200,1461,274,274,825,10,2015-01-22 11:53:43,274
1020136,1168150,10137,10647,636,749,373502535.153677,582359142.295658,3034,2838,81855,81855,712192337353,704386400645,78396,108165,0,0,509472.950692,163302.365074,6887.083843000001,7543.8074639999995,1.467355,0.7971400000000001,0.6702149999999999,0,6,0.0,0.0,1029,1045,1446,1478,321,321,923,6,2015-01-22 11:56:49,321
903240,1057878,9145,10107,566,673,279602265.871857,416777360.88790596,2684,2534,73185,73185,634641433904,627734858929,69560,98275,0,0,838057.3726939999,303552.97671200003,11582.569440000001,11923.948013000001,2.035602,1.2878189999999998,0.747783,0,8,0.0,0.0,927,849,1316,1477,293,287,799,8,2015-01-22 11:59:47,287
691460,805744,7223,8697,436,517,283326843.56257105,397313691.20930403,2090,1952,56865,56865,459904599549,471175125788,53282,75205,0,0,430081.698264,132828.301868,5956.629531999999,6505.2091550000005,1.787881,1.0407980000000001,0.747083,0,10,0.0,0.0,665,691,1062,1183,223,223,645,10,2015-01-22 12:02:44,223
972260,1159852,9920,11220,610,732,230682587.998093,361717127.727521,2908,2716,79050,79050,627274286934,663927245900,74858,106336,0,0,1241394.3245120002,295259.327247,16277.201636000002,18032.226957,2.015787,0.980694,1.0350929999999998,0,10,0.0,0.0,1010,1046,1256,1349,314,310,787,10,2015-01-22 12:05:46,310
1036352,1170900,10044,9784,643,748,371486271.867304,541362540.722745,3026,2806,82110,82110,681353341284,726373959830,79648,108619,0,0,525110.72464,171896.355738,7152.338025999999,8487.724565,0.589761,0.40920300000000004,0.180558,0,2,0.0,0.0,1040,1032,1442,1569,322,322,937,2,2015-01-22 12:08:44,322
659568,752826,6448,6420,410,480,290594557.022915,432424239.06846905,1942,1802,52530,52530,409528149224,417379901294,50684,69853,0,0,313418.851797,97944.72988099998,4273.048461,4784.9340250000005,0.593741,0.226323,0.3674179999999999,0,2,0.0,0.0,676,664,954,1023,206,206,593,2,2015-01-22 12:11:45,206
721760,841104,7626,9462,456,546,249681439.98525503,435716792.779447,2200,2050,59670,59670,511878155408,471523646244,55608,78368,0,0,464559.205195,151305.365498,6427.596427,6780.913949999999,1.3983720000000002,0.741208,0.6571639999999999,0,12,0.0,0.0,747,720,996,1132,236,234,676,12,2015-01-22 12:14:43,234
867996,1053248,8991,10350,544,665,241268157.041147,440560527.982056,2608,2468,71400,71400,554066984334,586851350710,67760,95900,0,0,1046832.1704040001,353302.0658450001,14032.693462000001,14313.804816,1.193959,0.635847,0.5581119999999999,0,10,0.0,0.0,914,920,1175,1348,284,280,759,10,2015-01-22 12:17:45,280
