sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
302134,386134,3633,4189,1146,1561,10896828.288720999,13909792.275094999,5362,5566,27030,27030,220897806391,212460150252,5921,7338,0,0,1515888.847391,63284.914915,14864.263073999999,14321.385744,0.342462,0.095332,0.24712999999999996,0,5,0.0,51.0,130,122,479,438,108,106,236,5,2015-01-22 11:50:34,106
310816,390968,3974,5672,1173,1592,26250961.751534,33385002.202827998,5436,5628,28305,28305,221973437006,228402118879,6591,7701,0,0,180875.93366900002,55938.20788200002,2467.8684630000007,2445.133121,1.0525109999999998,0.47261400000000003,0.5798970000000001,0,11,0.0,96.0,183,187,489,551,155,153,353,11,2015-01-22 11:53:20,111
296910,378418,3918,4858,1126,1532,20405296.295279995,26033091.467317,5264,5448,27030,27030,217040647980,221769633279,5955,7374,0,0,242318.94954799998,7960.653208000001,3360.5373910000003,3358.4147310000003,1.6231940000000002,0.785788,0.8374059999999999,0,8,0.0,87.0,122,114,461,464,108,106,289,8,2015-01-22 11:56:22,106
452278,445744,19852,20656,1517,1912,16923707.163321,21073463.062989,6538,6570,44370,44370,387966157540,357170771986,13825,11289,0,0,5405557.347719001,211687.617905,49801.381324,57006.778117999995,14.716868,7.918858,6.79801,0,74,0.0,78.0,234,231,632,637,190,186,379,65,2015-01-22 11:59:19,174
248838,317452,3955,6071,965,1305,19020758.234484,24268871.177883,4434,4572,23970,23970,210841176750,206976205878,5206,6506,0,0,244162.802143,51851.939737999994,3741.632429,3767.2443040000007,2.889633,1.557273,1.33236,0,15,0.0,67.0,107,109,379,428,96,94,233,12,2015-01-22 12:02:19,94
364968,406584,13279,14909,1261,1695,13162462.849972999,16433549.705559,5790,5946,36975,36975,309590225911,314005628414,10186,9576,0,0,2152095.067043,128025.36104500003,23217.436021999998,23350.231594999997,8.198149,4.276167,3.921982,0,48,0.0,76.0,235,231,508,529,157,153,328,48,2015-01-22 12:05:18,145
370225,437252,13793,14075,1289,1731,21075468.374615002,26553042.880911004,5924,6112,37485,37485,300715949408,322175506521,10049,10372,0,0,6999619.476542,248219.251259,67163.72016,66916.184728,5.810437,3.145044,2.665393,0,47,0.0,90.0,247,240,568,611,161,161,402,38,2015-01-22 12:08:18,147
205638,262094,2517,2757,777,1057,15985335.550127,20394882.711101,3650,3782,18360,18360,146865414106,149047436759,4017,4967,0,0,142979.83429199998,4750.008688,1777.723046,1772.236907,0.397537,0.21055999999999997,0.18697699999999998,0,3,0.0,64.0,78,90,334,341,72,72,203,3,2015-01-22 12:11:18,72
238354,303674,3137,4501,914,1240,15703257.084158,20034018.223747995,4220,4364,21930,21930,187494265197,178614892523,4835,5984,0,0,197173.866879,49514.255883000005,2841.3502620000004,2787.899439,0.8911270000000001,0.326487,0.56464,0,9,0.0,62.0,104,106,359,362,92,86,222,9,2015-01-22 12:14:19,86
261978,334042,3509,5237,1008,1364,14152806.487948999,18046761.826631002,4641,4804,24480,24480,190836401619,192563630851,5407,6680,0,0,350389.33015,49272.73702,5048.114696000001,4876.054276,0.663016,0.127873,0.535143,0,11,0.0,67.0,118,128,374,414,102,96,250,11,2015-01-22 12:17:20,96
286522,364487,3826,4578,1080,1466,19976854.858094998,25448720.749545,5060,5253,26520,26520,214643314867,214331297251,5914,7204,0,0,174335.951872,48190.963223000006,2439.3039400000002,2349.276908,0.433236,0.16558599999999998,0.26765,0,7,0.0,87.0,139,123,423,471,108,104,269,7,2015-01-22 12:20:18,104
