sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
296334,377840,3131,2929,1111,1515,10860588.889307,13858183.291704,5252,5454,25755,25755,213184245271,202646602395,5656,6969,0,0,1499894.5331829998,44821.227693999994,14571.310025,14037.481705999999,0.076856,0.059095999999999996,0.01776,0,0,0.0,46.0,125,117,465,424,103,101,222,0,2015-01-22 11:50:34,101
293400,374106,3100,2900,1100,1500,26087282.248602,33282347.150582,5200,5400,25500,25500,204010103104,207731891025,5600,6900,0,0,135235.950544,4539.291223999999,1634.400234,1572.283878,0.068698,0.054189,0.014508999999999998,0,0,0.0,96.0,172,176,468,525,144,142,334,0,2015-01-22 11:53:20,100
287532,366624,3038,2842,1078,1470,20379440.177359,26002004.622108,5096,5292,24990,24990,207696571799,205779008109,5488,6762,0,0,155116.012714,5068.358083,1918.8481450000002,1845.7798719999998,0.069428,0.052882,0.016546,0,0,0.0,87.0,114,106,451,450,100,98,279,0,2015-01-22 11:56:22,98
308730,392492,4494,4276,1164,1580,16390195.112172,20907320.221258998,5478,5676,27795,27795,236910985959,244783947958,6082,7461,0,0,314686.04192100005,9466.002204,4392.817556000001,4347.794674,1.041193,0.6230399999999999,0.418153,0,5,0.0,78.0,138,138,532,507,113,109,298,0,2015-01-22 11:59:19,109
233874,297676,3211,3047,881,1197,18984381.80919,24220448.229639,4150,4304,20910,20910,183164505460,177190331442,4574,5620,0,0,146130.85843700002,4684.834198,1982.799519,1940.9081179999996,0.6615489999999999,0.33796099999999996,0.32358799999999993,0,3,0.0,67.0,95,97,359,400,84,82,215,0,2015-01-22 12:02:19,82
284598,362880,3007,2813,1067,1455,12757913.774751,16274017.628455,5044,5238,24735,24735,203214154313,211154319590,5432,6693,0,0,286942.31729100004,8960.085123,3794.4543520000007,3650.3586769999997,0.07023499999999999,0.053936,0.016299,0,0,0.0,76.0,123,129,428,429,101,97,255,0,2015-01-22 12:05:18,97
304992,388414,4717,4499,1147,1565,20645902.47864,26336704.788126003,5414,5620,27795,27795,228346806712,232001103012,6067,7449,0,0,200657.58172100002,6254.73049,2762.437612,2629.3024269999996,1.014025,0.549053,0.46497200000000005,0,6,0.0,88.0,147,146,465,496,109,109,304,0,2015-01-22 12:08:18,109
202446,258138,2139,2001,759,1035,15977016.36336,20385239.675945,3588,3726,17595,17595,141428048784,144798012056,3864,4761,0,0,110392.163495,3571.689845000001,1297.8326670000001,1248.3590629999999,0.049958,0.038927,0.011031000000000003,0,0,0.0,64.0,75,87,331,329,69,69,200,0,2015-01-22 12:11:18,69
225918,288134,2387,2233,847,1155,15638939.538262,19958938.653428,4004,4158,19635,19635,166392489600,163273953393,4312,5313,0,0,159345.55352499997,4951.820457999999,2128.1925949999995,2047.4102750000002,0.06475,0.05028900000000001,0.014461000000000002,0,0,0.0,60.0,95,97,344,345,83,77,207,0,2015-01-22 12:14:19,77
248708,316906,2635,2465,934,1270,14052352.244789,17930696.650833007,4407,4572,21675,21675,166703496521,177264187888,4763,5869,0,0,317044.943344,11153.486018,4430.939455,4258.056811,0.06458699999999999,0.051314000000000005,0.013272999999999998,0,0,0.0,61.0,107,117,355,393,91,85,231,0,2015-01-22 12:17:20,85
