sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
296334,377840,3131,2929,1111,1515,10860536,13858130,5252,5454,25755,25755,213184245271,202646602395,5656,6969,0,0,1499836,44769,14522,13984,0,0,0,0,0,0,46,125,117,465,424,103,101,222,0,2015-01-22 11:50:34,101
293400,374106,3100,2900,1100,1500,26087235,33282301,5200,5400,25500,25500,204010103104,207731891025,5600,6900,0,0,135184,4483,1586,1521,0,0,0,0,0,0,96,172,176,468,525,144,142,334,0,2015-01-22 11:53:20,100
287532,366624,3038,2842,1078,1470,20379394,26001957,5096,5292,24990,24990,207696571799,205779008109,5488,6762,0,0,155073,5015,1865,1798,0,0,0,0,0,0,87,114,106,451,450,100,98,279,0,2015-01-22 11:56:22,98
308730,392492,4494,4276,1164,1580,16390146,20907265,5478,5676,27795,27795,236910985959,244783947958,6082,7461,0,0,314630,9410,4337,4291,0,0,0,0,5,0,78,138,138,532,507,113,109,298,0,2015-01-22 11:59:19,109
233874,297676,3211,3047,881,1197,18984343,24220408,4150,4304,20910,20910,183164505460,177190331442,4574,5620,0,0,146086,4634,1939,1900,0,0,0,0,3,0,67,95,97,359,400,84,82,215,0,2015-01-22 12:02:19,82
284598,362880,3007,2813,1067,1455,12757861,16273971,5044,5238,24735,24735,203214154313,211154319590,5432,6693,0,0,286895,8907,3744,3603,0,0,0,0,0,0,76,123,129,428,429,101,97,255,0,2015-01-22 12:05:18,97
304992,388414,4717,4499,1147,1565,20645851,26336656,5414,5620,27795,27795,228346806712,232001103012,6067,7449,0,0,200602,6194,2708,2573,0,0,0,0,6,0,88,147,146,465,496,109,109,304,0,2015-01-22 12:08:18,109
202446,258138,2139,2001,759,1035,15976978,20385207,3588,3726,17595,17595,141428048784,144798012056,3864,4761,0,0,110358,3539,1266,1207,0,0,0,0,0,0,64,75,87,331,329,69,69,200,0,2015-01-22 12:11:18,69
225918,288134,2387,2233,847,1155,15638903,19958904,4004,4158,19635,19635,166392489600,163273953393,4312,5313,0,0,159306,4908,2089,2008,0,0,0,0,0,0,60,95,97,344,345,83,77,207,0,2015-01-22 12:14:19,77
248708,316906,2635,2465,934,1270,14052309,17930652,4407,4572,21675,21675,166703496521,177264187888,4763,5869,0,0,316998,11110,4388,4217,0,0,0,0,0,0,61,107,117,355,393,91,85,231,0,2015-01-22 12:17:20,85
278542,355665,3008,2814,1042,1422,19889547,25374527,4936,5131,24735,24735,195539532620,193831817954,5444,6703,0,0,152055,26959,1987,1906,0,0,0,0,0,0,85,132,116,412,458,101,97,258,0,2015-01-22 12:20:18,97
