sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
1000790,25602234,14012,13108,1161,9397,44062391.666075,148551378.252654,12200,22032,115260,115260,989160632272,925936404324,56101,190091,327,10819440,23292705.64246,4939865.34203,274056.792892,208974.65119200002,0.414609,0.316519,0.09809000000000001,0,0,328.0,0.0,1132,1139,2031,2112,842,454,624,0,2015-01-22 11:50:41,452
858406,29428426,10489,9913,792,10409,54869649.54118,122653372.06604101,11816,22982,73440,73440,620884170801,589821835198,34096,162084,281,12827097,2068044.2950560001,1694712.742535,20060.456908,14540.859972,1.625723,0.9274039999999999,0.6983189999999999,0,7,293.0,0.0,509,506,864,933,342,292,371,0,2015-01-22 11:53:14,288
1369574,53940994,11563,10817,1018,18842,89005785.63248298,218999391.35618,20250,40498,95115,95115,795580084503,799374390878,43870,226634,372,22978061,2618743.564914,2169127.671948,25607.608275,17639.734036,0.273444,0.215661,0.057783,0,0,402.0,0.0,719,680,1103,1370,459,383,463,0,2015-01-22 11:56:15,373
1683555,54010818,15456,14502,1302,19041,239950097.167978,341670184.020885,21318,41546,121635,121635,1024701613695,1044398158892,60212,236016,467,24590183,2660213.759287,2177657.3767250003,26115.045093,18505.352744,0.9890839999999999,0.6322039999999999,0.35688,0,3,511.0,0.0,927,904,1584,2337,603,493,653,0,2015-01-22 11:59:14,477
1470124,49119006,16368,15312,1380,17473,255244342.2087,379496253.19633996,19984,38784,134640,134640,1152220611824,1137547785956,64125,257580,527,20604755,3071225.330859,2524712.54485,30083.670878,21038.48067,0.394432,0.303412,0.09101999999999999,0,0,581.0,0.0,1057,1121,1790,2638,666,546,732,0,2015-01-22 12:02:14,528
1621430,65132956,12865,12035,1146,22689,62866262.311211005,228898227.75858,24336,48547,105825,105825,882142788756,902070609260,47855,265090,414,29503898,3037121.519486,2541805.172252,29823.602684999998,20988.155533,0.354012,0.26887400000000006,0.08513799999999999,0,0,433.0,0.0,791,759,1256,1444,504,418,520,0,2015-01-22 12:05:14,415
1397582,53120970,11817,11069,1061,18549,17637290.8374,139981516.700508,20510,40013,95370,95370,784062761618,810320800916,43236,245912,369,24231255,2996621.5212080004,2515323.673279,29793.407892000003,21329.932010999997,0.40602800000000006,0.29015599999999997,0.115872,0,1,393.0,0.0,687,720,1037,1076,465,382,444,0,2015-01-22 12:08:14,374
1846938,74491580,14105,13195,1280,25934,32483390.897384,223630119.80530995,27872,55350,116025,116025,949416563793,995787002792,51813,305460,445,30226596,3552120.760933,2972828.912548,35478.421084999994,25298.056065,0.34854799999999997,0.259373,0.089175,0,0,481.0,0.0,901,930,1307,1302,542,465,565,0,2015-01-22 12:11:15,455
1442976,55456034,11842,11078,1081,19371,27751876.496328,181752547.91072,21272,41684,97410,97410,796199458304,800375098026,44360,250483,379,25284253,3012918.661772,2525804.527647,29581.96189,20845.402342,0.2849499999999999,0.225088,0.059862,0,0,433.0,0.0,720,775,1108,1130,483,398,464,0,2015-01-22 12:14:14,382
1844794,78894182,12555,11748,1131,27277,25622215.908941,212534457.6338,28760,57759,103275,103275,888414723571,885562657418,45580,285129,400,34210203,3093069.749169,2589912.403858,30403.647756,21588.016008000002,0.322507,0.258358,0.06414899999999998,0,0,431.0,0.0,811,842,1200,1207,503,417,494,0,2015-01-22 12:17:14,405
1362151,49186238,12587,11776,1150,17030,30201498.160657,211324775.550881,19312,37601,103530,103530,890252580547,829193044022,47721,264464,401,20134968,3253165.7911900003,2703813.290113,32056.057342000004,22758.442327,0.292367,0.224322,0.068045,0,0,450.0,0.0,783,830,1213,1149,479,418,482,0,2015-01-22 12:20:14,406
1564166,59122888,13392,12528,1220,20693,36252620.974759996,221761743.05187,22762,44704,110160,110160,922693549674,930129657621,50281,277548,427,24412672,3380928.801548,2818182.743358,33169.033164,23488.087318,0.32544399999999996,0.252773,0.07267100000000001,0,0,483.0,0.0,973,901,1204,1277,535,445,523,0,2015-01-22 12:23:14,432
1499740,53885664,14167,13253,1289,18962,47718877.030894995,219811659.23108,21092,41426,116535,116535,997238932665,986921197504,53610,281895,451,24973189,3532426.215244,2976871.941826,34963.887061,25092.020018000003,0.337819,0.26654700000000003,0.071272,0,0,487.0,0.0,922,909,1460,1537,584,467,576,0,2015-01-22 12:26:14,457
1844352,72790290,15221,14239,1362,25401,65717378.088424996,284170200.54767996,27304,54518,125205,125205,1050471669480,1033374596069,56661,319711,489,33130469,3751192.64028,3135223.020214,37332.580637,26391.051955,0.37202899999999994,0.284519,0.08751,0,0,555.0,0.0,983,1055,1630,1680,644,519,640,0,2015-01-22 12:29:14,491
1707258,68115079,14140,13229,1225,23311,98016390.259471,231369532.87759,25539,50837,116280,116280,953665085193,939489605644,52625,287508,450,32142555,3285620.8572380003,2749064.428324,33074.685405,23415.889464,0.356548,0.27531300000000003,0.081235,0,0,485.0,0.0,961,930,1462,1642,592,469,641,0,2015-01-22 12:32:14,456
1249826,43379133,12834,12006,1119,15196,110181299.30013299,236173189.79779,17334,33698,105570,105570,894035184414,869730225104,49448,234273,411,18416610,2839962.764514,2363841.01104,28232.13182,19852.112453,0.30133,0.237826,0.063504,0,0,472.0,0.0,825,851,1272,1645,530,434,551,0,2015-01-22 12:35:15,414
1572652,60206348,13609,12731,1233,21075,53280729.313820995,225647816.97473997,22848,45502,111945,111945,920974616223,921277937087,51009,279015,429,22852078,3515985.1910500005,2958060.864937,35991.657561,25775.247118,0.311763,0.24355000000000002,0.068213,0,0,518.0,0.0,889,922,1302,1353,572,475,561,0,2015-01-22 12:38:15,439
1884012,77616222,13764,12876,1245,26972,26588362.246443998,198165417.17251,28810,57340,113220,113220,976382867220,993071811848,50043,302407,231,15416286,3441788.970284,2911103.858342,34382.971104,24702.160871,0.344304,0.26575899999999997,0.078545,0,0,272.0,0.0,962,926,1394,1387,565,469,568,0,2015-01-22 12:41:15,444
1518242,58398501,14427,13597,1162,20275,32731544.392746,257659464.470012,22336,43965,105825,105825,871856416623,892133199449,47304,270076,8,1064438,3236769.69067,2668181.2291780002,32471.751031,23670.597764,1.583997,1.014267,0.56973,0,7,24.0,0.0,742,757,1170,1207,499,434,515,0,2015-01-22 12:44:14,415
1097030,39531578,9982,9342,907,13569,30588550.496579,166287987.07272,15669,30199,82110,82110,729052834358,654749421085,37866,207871,9,551756,2555731.972652,2110865.7515129996,25294.397482,17870.228196999997,0.227993,0.179373,0.04862,0,0,38.0,0.0,544,584,943,991,425,360,418,0,2015-01-22 12:47:14,322
1547388,62068274,12059,11281,1104,21609,22049019.497671,254482559.08244997,23154,46242,99195,99195,822116182780,832599224828,44963,263660,4,15696,3110618.6139439996,2586830.4001390003,31022.048956000002,21805.410762,0.276527,0.21704,0.059487,0,0,8.0,0.0,676,706,1117,1139,457,397,490,0,2015-01-22 12:50:15,389
1644796,66545992,12710,11890,1158,23162,22819238.96107,203347024.02814,24710,49492,104550,104550,877824755151,900523211884,47110,276682,7,19783,4915878.957133999,4073308.130513,47476.674139999996,32803.387749,0.31132000000000004,0.24680200000000002,0.064518,0,0,14.0,0.0,763,771,1243,1278,498,426,501,0,2015-01-22 12:53:14,410
1687582,65538328,13237,12383,1199,22858,27479170.134019002,172674078.93338,25280,48982,108885,108885,933194369674,955182493591,48761,280081,296,20333970,3303291.375642,2788850.6246990003,32927.26549600001,23671.330767,0.36438499999999996,0.28267,0.08171500000000001,0,0,314.0,0.0,784,779,1271,1255,503,431,517,0,2015-01-22 12:56:16,427
1208379,46531297,10603,9918,976,16157,14483762.455783,184367111.33876,17394,35198,87210,87210,726615319989,756185744736,40219,230265,341,19417737,2828911.337738,2295776.4337999998,28175.938423,19406.031108,0.24113300000000001,0.189745,0.051387999999999996,0,0,366.0,0.0,601,622,970,969,406,348,397,0,2015-01-22 12:59:14,342
1022961,30526838,11533,10789,1067,10818,25669292.150472,219672063.16069,13233,24685,94860,94860,801657784753,821513615228,44771,228437,369,13815960,3113813.4805500004,2622511.650943,30407.260201999998,21584.319293,0.269644,0.20849600000000001,0.061148,0,0,426.0,0.0,630,632,1083,1045,451,386,462,0,2015-01-22 13:02:14,372
1682081,54509660,13751,12907,1263,19091,30627824.450850002,220895013.72457698,21507,41475,107610,107610,879633693399,902178629555,51926,266666,411,24334441,3273793.167264,2756601.315153,32247.382486999995,23470.270693000002,0.690175,0.417466,0.272709,0,3,444.0,0.0,776,762,1179,1279,536,434,519,0,2015-01-22 13:05:14,422
1296980,52689656,10013,9367,899,18337,24023879.729576,155343711.28973,19564,39138,82365,82365,734404262066,750406999147,37112,215683,316,22458599,2496556.157489,2090676.3719829998,24742.363644,17329.120018,0.28025199999999995,0.22337,0.056882,0,0,344.0,0.0,605,585,917,936,394,329,402,0,2015-01-22 13:08:14,323
11684,71176,217,203,21,35,81073.49317,503462.10938,96,126,1785,1785,19055688820,14772524429,852,3955,7,23544,62538.48263099999,54127.26730399999,590.812579,440.97817299999997,0.004566000000000001,0.0035989999999999998,0.000967,0,0,22.0,0.0,9,9,19,19,11,9,10,0,2015-01-22 13:12:27,7
6632,40672,124,116,12,20,44101.084966999995,276275.71876,54,72,1020,1020,6375480246,8532926927,492,2260,4,8014,38080.574081000006,32672.923880000002,359.576903,263.876649,0.0026830000000000005,0.0021409999999999997,0.000542,0,0,8.0,0.0,4,4,12,6,5,4,4,0,2015-01-22 13:15:26,4
4844,30504,93,87,9,15,35454.162110000005,228934.16407,38,54,765,765,6332441492,4185989901,384,1695,3,11772,27825.865893000002,23023.143277000003,260.312869,177.558883,0.00295,0.001955,0.000995,0,0,6.0,0.0,3,3,8,14,3,3,5,0,2015-01-22 13:18:03,3
3264,20336,62,58,6,10,23462.0625,149694.05469,26,36,510,510,4614443627,2466961450,252,1130,2,4007,18300.449599,15356.617999,171.974466,120.749944,0.001485,0.001226,0.000259,0,0,4.0,0.0,2,2,6,5,2,2,2,0,2015-01-22 13:20:19,2
29306,1148898,217,203,20,400,104944.98927,2384457.13282,444,854,1785,1785,12303623566,16606416003,809,4848,7,547832,55691.84095800001,46598.77458900001,530.1440499999999,369.61289999999997,0.004862,0.0038459999999999996,0.001016,0,0,24.0,0.0,7,7,32,17,12,12,12,0,2015-01-22 13:23:33,7
3368,20336,62,58,6,10,21918.255859999997,134592.66405999998,28,36,510,510,5176139967,5200908768,240,1130,1,3924,18398.767461,16110.876753,175.634767,134.288706,0.001399,0.0010370000000000002,0.000362,0,0,2.0,0.0,2,2,4,11,3,2,3,0,2015-01-22 13:28:35,2
7418,49568,155,145,14,23,541739.98339,4733436.281250001,60,82,1275,1275,9100666099,6965723479,615,3150,5,15779,37484.87491299999,30823.213318000002,359.941819,242.48388799999998,0.0035580000000000004,0.00279,0.0007679999999999999,0,0,10.0,0.0,5,5,8,13,5,5,6,0,2015-01-22 13:29:23,5
25210,1128562,155,145,14,390,154878.03806,6716763.625,402,818,1275,1275,9420031615,13715998404,569,3718,5,536143,37775.557273,31000.895587,379.22062100000005,255.310015,0.0034389999999999998,0.002714,0.000725,0,0,10.0,0.0,5,5,16,11,5,5,6,0,2015-01-22 13:32:18,5
23526,1118394,124,116,11,385,55346.19043,1520543.8750000002,388,800,1020,1020,7722928230,9970792815,437,3153,4,11855,29004.511772000005,23823.519192,298.911613,200.4683,0.002813,0.0022040000000000002,0.0006090000000000001,0,0,8.0,0.0,4,4,12,14,4,4,6,0,2015-01-22 13:35:29,4
14428,91512,279,261,27,45,102157.68457,665739.48437,112,162,2295,2295,18161479446,22462320917,1164,5085,9,1592565,85083.08588299999,69756.328545,821.9160139999999,551.239116,0.006142,0.004855,0.0012870000000000002,0,0,28.0,0.0,9,9,20,36,14,14,15,0,2015-01-22 13:38:36,9
28474,1146218,217,203,20,399,182416.410209,7257525.968760001,428,852,1785,1785,14339428381,14404816804,785,4751,7,540067,55801.682927,48898.471663,541.376729,408.673231,0.005287000000000001,0.0035030000000000005,0.001784,0,0,14.0,0.0,7,7,16,17,9,7,9,0,2015-01-22 13:41:32,7
11832,75160,249,232,22,36,125073.457043,911841.03517,99,124,2040,2040,15505201611,17679761627,948,5018,8,547832,57763.5335,59432.697329999995,556.099857,522.194037,0.00513,0.004098,0.001032,0,0,16.0,0.0,8,8,27,28,10,8,10,0,2015-01-22 13:44:14,8
