sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
1104230,28091798,24360,31756,1349,10412,46576008,169329348,13242,24366,134130,134130,1127083878604,1087752944717,64017,221186,402,11310522,23504370,5008323,276682,212620,0,0,0,0,74,397,0,1262,1229,2112,2197,922,528,703,74,2015-01-22 11:50:16,526
1054894,31113939,33735,40405,1071,11162,58352887,137728746,13252,25028,104295,104295,890382740060,868289600592,48688,188018,375,13065328,2416226,1743107,25421,22408,0,0,0,0,128,387,0,1084,1026,1061,1157,537,413,564,121,2015-01-22 11:53:14,409
1913822,56707751,22487,29465,1348,19941,90977373,224575341,21660,43118,113985,113985,955138706615,961239431759,56488,252108,404,23300926,3105659,2298830,33633,26376,0,0,0,0,74,434,0,825,774,1201,1506,537,457,542,74,2015-01-22 11:56:15,447
4241404,54727464,36100,42222,2424,19413,252785167,344413133,24278,43154,149685,149685,1272851991150,1275611933075,109019,257326,508,24693689,3416569,2356511,37784,33162,0,0,0,0,113,552,0,1107,1058,1716,2509,726,603,767,110,2015-01-22 11:59:14,587
2389219,55385382,25786,30180,1899,19832,258475371,383854394,21980,43880,149685,149685,1278072459066,1269528686556,74987,277691,565,23169041,3400981,2644814,35180,26789,0,0,0,0,59,617,0,1130,1186,1865,2726,729,605,793,59,2015-01-22 12:02:14,587
1871280,70950576,23243,26903,1366,24937,63457974,234826719,25764,53341,120870,120870,1018892170195,1029803720047,54930,285572,444,29894569,3475776,2623771,36697,28816,0,0,0,0,59,463,0,868,826,1338,1544,572,477,585,59,2015-01-22 12:05:14,474
1577456,53931060,21681,26189,1234,18911,19318271,143754378,21284,41021,110670,110670,910314028877,934868454440,51523,263586,410,24337716,3232318,2589095,33617,25727,0,0,0,0,61,433,0,765,796,1115,1221,527,442,514,60,2015-01-22 12:08:14,434
1930128,75748203,20971,27055,1407,26468,33469775,229978654,28574,56664,130050,130050,1072331384428,1114876462797,58092,326267,487,30460133,3779195,3046331,39207,28988,0,0,0,0,55,522,0,966,985,1372,1406,599,520,623,55,2015-01-22 12:11:15,510
1670293,57038562,22196,28970,1296,20048,30913359,191552729,22268,43352,115515,115515,957175127091,961661618844,52917,274471,441,25971271,3194956,2592507,32428,24503,0,0,0,0,71,492,0,813,846,1183,1215,554,469,535,71,2015-01-22 12:14:14,453
2274145,80100695,23819,27876,1412,27799,34107629,225021785,29812,59101,119595,119595,1027564504509,1025228290882,57889,304659,460,34716203,3216712,2630993,31992,23962,0,0,0,0,64,479,0,905,916,1271,1294,569,481,561,64,2015-01-22 12:17:14,469
1542004,54680031,24088,30424,1331,19129,34731019,228012910,20705,42158,122400,122400,1040598114335,981301435939,58396,289400,471,20867281,3423045,2737245,34497,25988,0,0,0,0,74,517,0,887,912,1295,1239,559,492,560,74,2015-01-22 12:20:15,480
1982848,60210629,24632,31680,1512,21188,40617524,234984472,23890,46040,129540,129540,1103929138122,1091593595722,60152,300682,497,24914504,3539470,2854285,35545,27456,0,0,0,0,76,551,0,1075,991,1283,1357,611,521,599,76,2015-01-22 12:23:14,508
1714980,55986094,25487,30389,1491,19810,51679360,230144421,22110,43418,133875,133875,1144341066449,1141982602005,62950,301533,509,25735292,3688855,3027903,37187,28041,0,0,0,0,68,545,0,1002,983,1536,1610,652,535,647,68,2015-01-22 12:26:14,525
2030666,73743773,26727,32131,1569,25841,69710073,292503555,28212,55714,143310,143310,1220774747746,1194907386057,66991,339326,542,33422008,4002374,3210815,40774,31426,0,0,0,0,71,607,0,1089,1148,1708,1776,719,590,715,71,2015-01-22 12:29:14,562
1947235,72751164,26082,32885,1447,25048,102053968,254188166,26935,54815,136170,136170,1128579255538,1118745997732,61402,318202,514,33145578,3497255,2827399,35872,26838,0,0,0,0,78,548,0,1075,1030,1545,1736,676,547,721,78,2015-01-22 12:32:14,534
1463455,44867441,22544,30402,1322,15826,115987230,254292174,18300,35278,124185,124185,1062568914334,1032588975334,60368,264416,473,19075690,2965399,2431099,30128,21884,0,0,0,0,77,529,0,944,954,1356,1746,620,507,635,73,2015-01-22 12:35:15,487
1680988,63692951,23461,29363,1393,22445,54849659,236846470,23926,48536,128775,128775,1057905562797,1060721412742,58632,301235,485,24325527,3837968,3048859,40444,31345,0,0,0,0,66,572,0,975,998,1377,1448,646,541,631,66,2015-01-22 12:38:15,505
1943192,78554442,20134,24720,1349,27372,27633407,207072272,29384,58346,125205,125205,1078860593698,1072737017771,55061,321817,255,15627343,3563509,2949851,36211,26805,0,0,0,0,47,294,0,1017,979,1448,1463,612,516,618,47,2015-01-22 12:41:15,491
2199783,59844809,38119,44341,1654,20937,37005740,264096096,24156,45939,136935,136935,1139706152269,1164794651404,67240,295347,8,1064438,5069489,2817010,51121,48257,0,0,0,0,129,24,0,988,982,1383,1441,637,560,660,122,2015-01-22 12:44:14,537
1186912,40659757,19456,25218,1052,14048,31801052,172791809,16443,31437,98175,98175,882185564657,803049862146,44932,229662,9,551756,2795949,2181055,29314,22591,0,0,0,0,63,38,0,618,657,1020,1121,492,427,488,63,2015-01-22 12:47:14,385
1766790,67059121,21985,26653,1307,23476,24245663,258192163,24434,50250,114750,114750,951909464925,985199020230,55140,278406,4,15696,3426148,2660707,35587,28666,0,0,0,0,61,8,0,755,777,1231,1254,526,462,565,61,2015-01-22 12:50:15,450
6536081,68081818,21868,27262,3104,23796,25494573,209582186,29074,51570,120105,120105,1003603037870,1023174819307,57769,300224,7,19783,5344676,4144088,53861,39187,0,0,0,0,61,14,0,838,840,1326,1387,562,487,570,61,2015-01-22 12:53:14,471
2705184,69844400,23857,29015,1688,24485,30135832,178086442,27100,52644,125715,125715,1072686413361,1109110672046,58761,300558,322,20439587,3709670,2870691,39190,30542,0,0,0,0,66,340,0,872,855,1365,1377,577,497,593,66,2015-01-22 12:56:16,493
1296117,46732480,20529,25291,1143,16300,15164556,185874455,18048,35739,102765,102765,857612172953,901460898141,47876,244151,379,19433756,3316041,2388359,35542,26251,0,0,0,0,61,404,0,672,697,1054,1078,469,409,465,61,2015-01-22 12:59:14,403
1281285,32536678,28063,32713,1321,11649,27668928,226320817,14440,26786,117045,117045,974152826827,989499440100,56723,253863,423,14438709,4058177,2890514,43196,33989,0,0,0,0,91,480,0,777,763,1209,1222,564,473,571,87,2015-01-22 13:02:14,459
4521899,55552613,34823,43147,2574,19598,57135859,229767377,24841,43314,138210,138210,1132056483141,1157313745488,104513,295021,497,25683185,3802480,2839999,37983,32652,0,0,0,0,123,532,0,1001,979,1345,1531,673,556,655,120,2015-01-22 13:05:14,542
1357298,53685199,16841,19951,990,18756,24951338,160497941,20102,40166,93075,93075,818151478955,834579871321,41917,227538,346,22783639,2620336,2116697,26674,19524,0,0,0,0,42,374,0,649,629,973,1018,440,371,446,42,2015-01-22 13:08:14,365
11684,71176,217,203,21,35,81070,503459,96,126,1785,1785,19055688820,14772524429,852,3955,7,23544,62535,54125,588,439,0,0,0,0,0,22,0,9,9,19,19,11,9,10,0,2015-01-22 13:12:27,7
6632,40672,124,116,12,20,44099,276273,54,72,1020,1020,6375480246,8532926927,492,2260,4,8014,38080,32671,358,261,0,0,0,0,0,8,0,4,4,12,6,5,4,4,0,2015-01-22 13:15:26,4
4844,30504,93,87,9,15,35452,228932,38,54,765,765,6332441492,4185989901,384,1695,3,11772,27824,23022,259,177,0,0,0,0,0,6,0,3,3,8,14,3,3,5,0,2015-01-22 13:18:03,3
3264,20336,62,58,6,10,23461,149693,26,36,510,510,4614443627,2466961450,252,1130,2,4007,18299,15356,171,120,0,0,0,0,0,4,0,2,2,6,5,2,2,2,0,2015-01-22 13:20:19,2
29306,1148898,217,203,20,400,104940,2384454,444,854,1785,1785,12303623566,16606416003,809,4848,7,547832,55689,46595,527,368,0,0,0,0,0,24,0,7,7,32,17,12,12,12,0,2015-01-22 13:23:33,7
