sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
96284,17073051,1054,4284,119,6492,168812.89649300004,11286102.61361,2202,13052,4335,4335,28543980194,37235066045,786,14395,0,0,32342.973486,17977.701507,637.2512830000001,323.558751,0.869334,0.118901,0.750433,0,17,0.0,0.0,17,17,19,20,17,17,19,17,2015-01-22 11:50:57,17
30140,3693669,868,3528,96,1475,91126.84106499999,7909973.055907,670,3006,3570,3570,33144830869,22235807296,651,10659,0,0,55533.68444700001,16453.374871999997,1071.0200650000002,740.483109,1.463578,0.573071,0.8905069999999999,0,14,0.0,0.0,16,14,17,17,14,14,14,14,2015-01-22 11:54:04,14
13988,691300,682,2772,77,332,31598.841308000003,1457800.279432,300,710,2805,2805,20656952388,18099235596,515,7811,0,0,75971.27385499999,42699.96855700001,1483.1848320000001,927.4491760000001,2.5765589999999996,1.216658,1.359901,0,11,0.0,0.0,11,11,12,19,11,11,11,11,2015-01-22 11:57:32,11
36228,5456632,620,2520,70,2071,30726.909424,1968814.205137,820,4182,2550,2550,21578163132,23847932324,467,7248,0,0,68487.204368,32915.649397,1272.1106679999998,776.0716510000001,2.132317,1.071232,1.061085,0,10,0.0,0.0,10,10,14,19,10,10,11,10,2015-01-22 12:00:00,10
7792,830846,248,1008,28,342,17150.643798999998,1150429.07823,172,700,1020,1020,8768667161,6459836469,187,3481,0,0,17843.187244,12084.212052,352.036855,169.418996,0.539779,0.291617,0.248162,0,4,0.0,0.0,4,4,4,7,4,4,4,4,2015-01-22 12:03:44,4
1048,31051,62,252,7,18,2349.339844,71055.21094,22,40,255,255,4046401237,632518523,48,776,0,0,8680.939207,6168.250231,162.312089,85.553587,0.190912,0.072025,0.118887,0,1,0.0,0.0,1,1,1,1,1,1,1,1,2015-01-22 12:06:09,1
11008,378196,620,2520,70,209,50724.449949999995,1470238.13187,234,458,2550,2550,26560142064,22506026244,473,5422,0,0,45903.878432,22269.947384,831.6124290000001,593.913875,1.062374,0.569085,0.49328900000000003,0,10,0.0,0.0,10,10,12,20,10,10,12,10,2015-01-22 12:09:04,10
8084,698046,310,1260,35,296,21368.067383,1643410.8624099998,176,612,1275,1275,12041529363,9884169796,231,4766,0,0,21153.07996,9021.767798,436.14475100000004,181.23020199999996,0.7725230000000001,0.37177899999999997,0.400744,0,5,0.0,0.0,5,5,7,9,5,5,5,5,2015-01-22 12:12:55,5
7394,169628,434,1764,49,109,57309.302732000004,1127424.3105799998,156,246,1785,1785,17461895721,16466604548,332,3450,0,0,16457.004649000002,8072.802089999999,337.28042600000003,249.77802299999996,0.588743,0.22385400000000003,0.364889,0,7,0.0,0.0,7,7,7,7,7,7,7,7,2015-01-22 12:15:12,7
1152,48212,62,252,7,24,9928.135742,425228.1563,24,52,255,255,3678952150,1532753905,48,927,0,0,1947.861568,1293.240661,38.677956,16.83249,0.05856,0.011857,0.046703,0,1,0.0,0.0,1,1,1,1,1,1,1,1,2015-01-22 12:18:34,1
15850,2290934,372,1512,40,877,57143.318853000004,4819188.4531,356,1784,1530,1530,14003083239,12114696663,276,5543,0,0,11408.608559,6728.777116,231.523146,88.147933,0.37046,0.20206799999999997,0.168392,0,10,0.0,0.0,6,6,6,6,6,6,6,6,2015-01-22 12:21:05,6
7988,718634,310,1260,35,303,36357.479005,3325102.6251,174,626,1275,1275,11238539021,2845872811,229,5673,0,0,12768.915142000002,6512.306202,255.689904,69.7201,0.624648,0.36488699999999996,0.25976099999999996,0,5,0.0,0.0,5,5,8,9,5,5,5,5,2015-01-22 12:25:11,5
13388,539322,744,3024,84,279,111113.26417099999,3998610.0196700003,288,606,3060,3060,31905675945,22127118818,560,8792,0,0,23946.394625000004,15685.476354999999,489.389896,283.74242699999996,0.7879540000000002,0.18513100000000002,0.602823,0,12,0.0,0.0,12,12,13,13,12,12,13,12,2015-01-22 12:26:58,12
14410,1285314,558,2268,63,547,87122.0249,7745597.11719,314,1130,2295,2295,23083385752,21368878093,415,9332,0,0,18419.061306,11027.200297,367.323064,133.288931,0.6124189999999999,0.230493,0.381926,0,9,0.0,0.0,9,9,11,12,9,9,9,9,2015-01-22 12:30:04,9
11326,421538,620,2520,67,210,83001.01464899999,2753765.4786959994,241,470,2550,2550,21432321422,22006108398,472,7211,0,0,23376.783766,16276.117283999998,463.66551999999996,310.145412,0.6451779999999999,0.16355499999999998,0.48162299999999997,0,10,0.0,0.0,12,10,10,12,10,10,10,10,2015-01-22 12:33:05,10
7590,434590,372,1512,42,204,57993.183593,2406207.28135,162,432,1530,1530,14796390169,11130767280,285,3628,0,0,11626.529309000001,5184.457399999999,236.108779,152.291561,0.367782,0.094914,0.272868,0,6,0.0,0.0,6,6,8,7,6,6,7,6,2015-01-22 12:36:17,6
11020,419180,558,2268,63,217,52478.271484,1792692.49908,236,490,2295,2295,18237761628,15208284233,422,6516,0,0,60385.46039,38068.106288999996,848.1456679999999,446.830314,0.7677259999999999,0.38590599999999997,0.38182,0,9,0.0,0.0,9,9,10,14,9,9,9,9,2015-01-22 12:39:41,9
10916,952789,434,1764,49,409,46546.40088,2126804.44921,240,846,1785,1785,17761230556,16890122927,326,4980,0,0,22120.538431,10236.78879,436.85922899999997,233.10870300000005,0.6740039999999999,0.307465,0.366539,0,7,0.0,0.0,10,10,23,25,10,7,22,7,2015-01-22 12:42:28,7
6536,400330,310,1260,35,170,18168.704589,585055.66894,140,386,1275,1275,11278353215,15088599431,238,1967,0,0,27490.823962000002,2605.961358,524.067943,404.941885,0.851364,0.39720800000000006,0.454156,0,5,0.0,0.0,8,5,10,8,5,5,5,5,2015-01-22 12:45:41,5
1234,58198,62,252,7,28,4702.023438,226699.3281,26,60,255,255,3085156272,1357443732,47,970,0,0,4150.760074,2633.187351,80.782242,33.341526,0.118637,0.051665,0.066972,0,1,0.0,0.0,1,1,1,7,1,1,1,1,2015-01-22 12:48:32,1
10618,431987,558,2268,63,223,39012.874023000004,1530452.7226500001,226,482,2295,2295,23601056585,30008985627,425,5713,0,0,42941.650306999996,18059.284422,810.758325,552.852037,1.2457789999999997,0.732351,0.513428,0,9,0.0,0.0,9,9,17,13,9,9,9,9,2015-01-22 12:51:07,9
14914,1138751,620,2520,70,491,45064.951907,3051460.945901,322,1022,2550,2550,18147511623,13094428135,465,9298,0,0,47271.79626999999,24086.505355,890.1187399999999,416.29870299999993,1.3755279999999999,0.7587670000000001,0.6167610000000001,0,10,0.0,0.0,10,10,10,23,10,10,10,10,2015-01-22 12:53:59,10
17444,940229,868,3528,98,444,50877.815793,2358734.48344,374,944,3570,3570,29245738560,30295818724,659,9292,0,0,100449.52004,70497.96987200002,1564.0464789999999,1034.667369,1.942307,1.087088,0.8552190000000001,0,14,0.0,0.0,14,14,22,24,14,14,14,14,2015-01-22 12:57:14,14
27500,3065849,807,3276,93,1213,50201.930174999994,4895303.63689,609,2474,3315,3315,31874032738,26100230668,593,14145,0,0,69313.26088399999,40966.129241,1261.394955,458.61316,1.9316329999999997,0.922928,1.0087050000000002,0,13,0.0,0.0,13,13,21,26,13,13,13,13,2015-01-22 13:00:02,13
