sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
5708076,512980,4743,4437,2754,1224,608414737.0142269,54524296.463681,7956,6346,39015,39015,320164996061,335034525482,109765,12315,0,0,2006969.477179,68030.79801099999,14714.111571,18397.577839,0.14680200000000002,0.12234099999999999,0.024460999999999997,0,0,0.0,0.0,211,209,584,605,169,155,183,0,2015-01-22 11:50:26,153
6046048,538512,5022,4698,2916,1296,937610223.1888,83518762.8355,8424,6630,41310,41310,315284799242,361597692143,116320,13115,0,0,68249.603428,2317.744665,759.166273,981.3715420000001,0.113469,0.088476,0.024993,0,0,0.0,0.0,210,222,455,597,172,162,200,0,2015-01-22 11:53:14,162
5112796,456820,4247,3973,2466,1096,846501755.9693,75436520.64924,7124,5634,34935,34935,297632561391,291727367154,98365,11070,0,0,51881.32268700001,1771.952901,563.589173,721.78279,0.10266700000000001,0.081113,0.021554,0,0,0.0,0.0,181,177,409,453,145,143,178,0,2015-01-22 11:56:16,137
5630716,499668,4619,4321,2751,1192,1015024780.2033,89651193.33197999,7886,6182,37995,37995,292058759773,314283048060,106390,12000,0,0,49275.471218,1674.3386769999997,550.3836739999999,703.9850029999999,0.11371299999999998,0.085334,0.028378999999999998,0,0,0.0,0.0,182,193,473,543,157,151,193,0,2015-01-22 11:59:14,149
5896640,521456,4836,4524,2882,1248,989220786.2816,87148510.47523001,8260,6440,39780,39780,313067498877,318338559215,111366,12587,0,0,54876.66713,1903.1897259999998,596.0380210000001,768.8717260000001,0.11014,0.08579999999999999,0.02434,0,0,0.0,0.0,198,216,529,538,162,156,202,0,2015-01-22 12:02:14,156
5774560,516464,4774,4466,2805,1232,830898942.6724999,73558706.63904,8079,6390,39270,39270,299078004406,323357273884,110069,12397,0,0,60096.046492,2066.891308,685.6748620000001,864.2067509999998,0.12005199999999999,0.086892,0.03316000000000001,0,0,0.0,0.0,204,198,441,580,162,156,190,0,2015-01-22 12:05:18,154
6291996,564068,5239,4901,3033,1350,724643698.9068,64729268.346931,8772,6964,43095,43095,360892401951,349228742416,121194,13639,0,0,125436.174048,4210.028135,1453.1775149999999,1860.860127,0.15710100000000002,0.103652,0.053449,0,0,0.0,0.0,210,236,474,565,173,169,197,0,2015-01-22 12:08:17,169
6366744,571792,5270,4930,3117,1360,749623091.9858,66692303.977951005,8954,7086,43350,43350,343954468727,340426576998,120852,13664,0,0,118957.262681,3934.2946010000005,1444.5136830000001,1823.7702869999998,0.13319,0.101015,0.032175,0,0,0.0,0.0,229,213,502,589,178,170,212,0,2015-01-22 12:11:15,170
5849814,524576,4836,4524,2879,1248,847133826.5011001,75501698.35403,8254,6500,39780,39780,322912192946,358585311069,110532,12546,0,0,70380.87658,2382.814425,811.444516,1029.866641,0.112743,0.08859,0.024153,0,0,0.0,0.0,202,202,442,567,168,156,199,0,2015-01-22 12:14:14,156
6057320,541600,5022,4698,2971,1292,785014525.30573,69418337.97453901,8541,6696,41310,41310,347290171598,348820420006,114965,13058,0,0,108851.536497,3617.5870959999997,1291.237132,1633.7841559999997,0.117743,0.09156,0.026182999999999998,0,0,0.0,0.0,234,214,458,542,171,162,199,0,2015-01-22 12:17:17,162
