sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
6581925,541170,6187,7965,3164,1334,615062584,54769696,8860,6708,42585,42585,352484789686,363033786596,119477,13444,0,0,2026385,68594,14942,18828,0,0,0,0,14,0,0,228,225,598,620,183,169,197,14,2015-01-22 11:50:39,167
8106622,590682,7210,11250,3838,1493,948277911,83875072,10424,7334,47940,47940,381715713927,424635495423,134865,15158,0,0,122183,4004,1494,2212,0,0,0,0,26,0,0,236,251,486,634,198,188,229,26,2015-01-22 11:53:14,188
13316815,535736,5741,9265,5632,1256,850457536,75532260,13578,7030,40290,40290,339230835096,344920564398,116839,12645,0,0,156619,5497,1889,3362,0,0,0,0,23,0,0,202,198,435,487,166,164,200,21,2015-01-22 11:56:16,158
6786390,539318,6373,9109,3289,1344,1016778525,89732969,9076,6704,42840,42840,327849220202,354231510429,118375,13541,0,0,196736,6296,2511,3526,0,0,0,0,19,0,0,201,212,497,576,176,170,216,19,2015-01-22 11:59:14,168
8106266,564294,6398,9312,3824,1400,992899802,87269266,10262,7062,44625,44625,345672373003,352922557574,123922,14040,0,0,135633,4479,1721,2579,0,0,0,0,19,0,0,222,235,550,573,184,175,221,19,2015-01-22 12:02:14,175
29403641,686322,7074,13034,11863,1482,839608573,73719821,26411,9690,47940,47940,385073708741,407574884667,138399,14891,0,0,283043,10173,3142,5362,0,0,0,0,38,0,0,245,232,480,633,198,190,228,34,2015-01-22 12:05:18,188
8323832,622026,7167,11957,3967,1574,730491341,64960471,10808,7732,50235,50235,419870881259,405383312890,141784,15848,0,0,217735,7237,2690,3992,0,0,0,0,28,0,0,244,266,515,622,201,197,225,28,2015-01-22 12:08:17,197
22893977,702638,7514,12490,9524,1600,758387762,66926665,21950,9516,51000,51000,414868321137,393571783298,143527,15937,0,0,212473,6966,2750,4087,0,0,0,0,30,0,0,261,243,539,638,210,200,244,30,2015-01-22 12:11:15,200
8074627,574644,6838,10320,3835,1430,854455650,75786038,10304,7180,45645,45645,375062605178,409865666226,124979,14434,0,0,126952,4027,1642,2304,0,0,0,0,23,0,0,229,227,470,596,191,179,224,23,2015-01-22 12:14:14,179
8713415,582734,6268,8982,4051,1427,792650719,69681812,10809,7314,45645,45645,388592480850,385191296650,125792,14391,0,0,135751,4415,1649,2222,0,0,0,0,17,0,0,253,233,475,564,188,179,216,17,2015-01-22 12:17:17,179
11003266,718235,8290,12827,5087,1787,894964962,79029469,13589,8993,57885,57885,477976906522,504543374825,161364,18232,0,0,182792,7902,2090,3018,0,0,0,0,28,0,0,313,325,561,706,238,229,261,28,2015-01-22 12:20:14,227
7233355,633072,6981,10425,3614,1582,938910693,83344723,10186,7810,50490,50490,425558170976,437305271762,137667,16047,0,0,119240,3860,1437,1967,0,0,0,0,21,0,0,280,284,520,667,208,202,256,21,2015-01-22 12:23:16,198
9315658,666174,7198,10628,4430,1640,959091814,84328663,11932,8316,52275,52275,462977953431,469105892127,146740,16450,0,0,128324,4321,1530,2316,0,0,0,0,21,0,0,272,269,623,692,225,211,273,21,2015-01-22 12:26:14,205
7599181,638500,7173,10231,3753,1590,895382363,78919299,10492,7900,50745,50745,443510512974,438971844789,139982,16052,0,0,137991,4496,1646,2305,0,0,0,0,20,0,0,274,279,561,679,213,205,244,20,2015-01-22 12:29:15,199
9119599,624566,7210,9896,4174,1519,811470180,72497728,11374,7818,49725,49725,420445399147,415205381160,138294,15731,0,0,155708,12576,1820,2624,0,0,0,0,21,0,0,263,264,601,637,210,195,241,19,2015-01-22 12:32:14,195
7847179,605859,8480,11928,3759,1539,776284318,68936699,10383,7511,49980,49980,416731797735,415005350986,135369,15820,0,0,148859,6389,1850,2523,0,0,0,0,28,0,0,275,275,546,673,208,198,242,28,2015-01-22 12:35:15,196
21056384,813876,9330,13650,8919,1915,797616735,70724701,21378,10676,61200,61200,535864868487,546767911321,171667,19266,0,0,231894,7540,2875,4078,0,0,0,0,33,0,0,341,332,669,763,256,240,308,30,2015-01-22 12:38:14,240
14909914,752844,8456,11460,6529,1798,698222411,62125045,16464,9634,57630,57630,482805917044,474748683096,161971,18141,0,0,215015,6985,2585,3602,0,0,0,0,22,0,0,296,316,654,794,244,226,291,22,2015-01-22 12:41:14,226
8314016,698315,8344,9835,4037,1714,770520546,69020768,11373,8651,55080,55080,455378890734,449077642547,151538,17392,0,0,227301,22818,2646,3603,0,0,0,0,16,0,0,303,281,582,741,228,220,273,16,2015-01-22 12:44:14,216
6424554,531857,6374,8919,3152,1329,870516696,77734504,8848,6566,43095,43095,351459604729,364035464188,116995,13706,0,0,136412,18462,1716,2453,0,0,0,0,18,0,0,207,209,415,624,175,173,209,18,2015-01-22 12:47:15,169
7866729,576290,6875,9205,3764,1415,1011117409,89360682,10212,7194,45645,45645,375105238796,380275640060,125555,14357,0,0,128663,4221,1605,2381,0,0,0,0,18,0,0,237,245,484,554,189,185,217,18,2015-01-22 12:50:15,179
