sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
983592,1303678,4185,3915,2502,3009,141202841.32643402,189865653.353633,10734,10756,34425,34425,284374603794,288694262959,12537,17019,0,0,907430.4545360002,805784.170168,6915.371434999999,7008.710915,0.116475,0.08645,0.030025,0,0,0.0,0.0,167,177,453,458,143,135,151,0,2015-01-22 11:50:23,135
959728,1409256,7812,7308,1835,1856,532445137.81123996,776659072.61483,8324,6468,64260,64260,567531285400,554711487801,29405,56385,0,0,84804.01067300001,3895.0024759999997,1258.7468669999998,1650.7763009999999,0.199689,0.154451,0.045238,0,0,0.0,0.0,406,432,711,720,288,254,321,0,2015-01-22 11:53:17,252
886120,1307180,7378,6902,1666,1666,535903448.01218,782715143.79007,7594,5796,60690,60690,534144174493,506274403693,27890,53718,0,0,71513.86979900001,2480.097361,1055.529227,1388.123587,0.18176499999999998,0.14466099999999998,0.037104,0,0,0.0,0.0,367,357,649,645,256,238,274,0,2015-01-22 11:56:16,238
760200,1163096,5208,4872,1587,1752,381212015.00457,557374454.44978,7128,6068,42840,42840,335987558013,342491307617,19572,37594,0,0,45799.953009,3716.781656,738.856979,961.905102,0.148741,0.11249100000000001,0.03625,0,0,0.0,0.0,240,235,559,530,186,168,190,0,2015-01-22 11:59:16,168
917400,1492188,3906,3654,2252,2802,211675512.89383,309203925.81270105,9898,9636,32130,32130,272607204172,276929681869,14366,27529,0,0,211802.20639599997,15333.911806000004,2383.3457700000004,3152.599229,0.104878,0.08087699999999998,0.024000999999999998,0,0,0.0,0.0,155,160,452,469,138,128,166,0,2015-01-22 12:02:16,126
948384,1459550,4743,4437,2128,2523,295144727.06641203,425989121.46575904,9394,8758,39015,39015,340814515732,304343022013,17960,33363,0,0,114356.015044,13117.104147999999,1488.538314,1902.720312,0.11858700000000001,0.095159,0.023427999999999997,0,0,0.0,0.0,214,207,426,437,163,155,175,0,2015-01-22 12:05:16,153
1266624,1444188,3565,3335,2458,2738,133899160.38754001,154655446.34253997,10152,10030,29325,29325,255723664107,234303759858,15457,18303,0,0,74408.127389,65992.681458,1146.421601,1214.140689,0.092137,0.07439699999999998,0.017740000000000002,0,0,0.0,0.0,137,136,320,324,123,115,133,0,2015-01-22 12:08:16,115
1105672,1250158,3348,3132,2170,2306,170618035.6996,205140977.15108,8806,8508,27540,27540,221339796563,238527366663,14382,18241,0,0,58618.25753,43232.958881,879.9936479999999,942.8777730000002,0.10106,0.084325,0.016734999999999996,0,0,0.0,0.0,130,132,317,309,110,108,135,0,2015-01-22 12:11:18,108
969960,1211016,5084,4756,2268,2188,347689417.21151006,486069207.93038,9042,8016,41820,41820,348372507324,341992072178,18533,32300,0,0,53248.719711,14469.436387,721.42641,893.763005,0.127459,0.100744,0.026715000000000003,0,0,0.0,0.0,220,228,457,455,172,164,191,0,2015-01-22 12:14:16,164
970780,1318296,6446,4254,2450,2705,206636491.97347,288094416.984273,10071,9722,34680,34680,292809359222,281372522434,14112,23681,0,0,3692324.4815579993,23483.943182000003,45944.424751,4476.729485,1.153925,0.586691,0.5672339999999999,0,0,0.0,0.0,275,280,483,429,234,138,260,0,2015-01-22 12:17:16,136
