sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
983592,1303678,4185,3915,2502,3009,141202779,189865597,10734,10756,34425,34425,284374603794,288694262959,12537,17019,0,0,907371,805738,6857,6951,0,0,0,0,0,0,0,167,177,453,458,143,135,151,0,2015-01-22 11:50:23,135
959728,1409256,7812,7308,1835,1856,532445044,776658986,8324,6468,64260,64260,567531285400,554711487801,29405,56385,0,0,84690,3784,1168,1557,0,0,0,0,0,0,0,406,432,711,720,288,254,321,0,2015-01-22 11:53:17,252
886120,1307180,7378,6902,1666,1666,535903357,782715054,7594,5796,60690,60690,534144174493,506274403693,27890,53718,0,0,71401,2365,971,1301,0,0,0,0,0,0,0,367,357,649,645,256,238,274,0,2015-01-22 11:56:16,238
760200,1163096,5208,4872,1587,1752,381211950,557374400,7128,6068,42840,42840,335987558013,342491307617,19572,37594,0,0,45722,3639,678,895,0,0,0,0,0,0,0,240,235,559,530,186,168,190,0,2015-01-22 11:59:16,168
917400,1492188,3906,3654,2252,2802,211675464,309203874,9898,9636,32130,32130,272607204172,276929681869,14366,27529,0,0,211741,15271,2334,3109,0,0,0,0,0,0,0,155,160,452,469,138,128,166,0,2015-01-22 12:02:16,126
948384,1459550,4743,4437,2128,2523,295144663,425989064,9394,8758,39015,39015,340814515732,304343022013,17960,33363,0,0,114283,13046,1426,1843,0,0,0,0,0,0,0,214,207,426,437,163,155,175,0,2015-01-22 12:05:16,153
1266624,1444188,3565,3335,2458,2738,133899110,154655388,10152,10030,29325,29325,255723664107,234303759858,15457,18303,0,0,74359,65947,1099,1163,0,0,0,0,0,0,0,137,136,320,324,123,115,133,0,2015-01-22 12:08:16,115
1105672,1250158,3348,3132,2170,2306,170617990,205140935,8806,8508,27540,27540,221339796563,238527366663,14382,18241,0,0,58565,43188,832,895,0,0,0,0,0,0,0,130,132,317,309,110,108,135,0,2015-01-22 12:11:18,108
969960,1211016,5084,4756,2268,2188,347689350,486069147,9042,8016,41820,41820,348372507324,341992072178,18533,32300,0,0,53172,14399,661,832,0,0,0,0,0,0,0,220,228,457,455,172,164,191,0,2015-01-22 12:14:16,164
970780,1318296,6446,4254,2450,2705,206636427,288094359,10071,9722,34680,34680,292809359222,281372522434,14112,23681,0,0,3692262,23421,45890,4423,0,0,0,0,0,0,0,275,280,483,429,234,138,260,0,2015-01-22 12:17:16,136
