sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
7412098,116510108,92030,81422,15774,52982,6700857602,6005189403,106144,139878,565845,565845,4777214259573,4305833577482,231544,896171,1,0,19781488,5319446,1371977,622082,0,0,0,12,121,1,0,21610,19866,15274,15818,8580,2648,6428,69,2015-01-22 11:50:14,2558
7912383,133216441,122851,90520,16047,59082,19798855660,10116518887,117975,149554,489345,489343,3999516987240,4070573550004,217237,919804,0,0,2270420,821609,1339393,406539,0,0,0,12,264,0,0,16656,15951,7625,8597,3285,2455,4386,166,2015-01-22 11:52:47,2351
8365544,101840218,194372,181476,15895,47936,8124847817,10266340388,106964,126736,566610,566610,4752612070213,4759189496917,255609,849405,0,0,12661824,779925,1596476,741540,0,0,0,12,568,0,0,16655,15410,8161,9640,3808,2766,4893,362,2015-01-22 11:55:57,2614
14756161,117879189,199131,186620,20728,55868,38115926828,11425528953,123468,151223,707370,707370,5922607627797,5853808424505,415860,988867,10,0,7170768,1723439,1723562,573587,0,0,0,16,544,10,0,22272,21107,13453,15959,7342,3316,8436,275,2015-01-22 11:59:07,3176
12676701,121692363,200865,185123,21134,57635,16551872420,12606274449,125496,156890,729045,729045,6126168005572,6101396609632,349204,1010726,4,0,28733763,1401346,1669200,930329,0,0,0,12,559,4,0,25258,24371,14994,17359,8261,3506,9384,223,2015-01-22 12:02:17,3309
17791963,177194162,172427,100444,22470,74977,112045988658,9046784852,144379,188312,480675,480675,4100873649700,4085205416712,349153,935377,0,0,4619657,1764828,1532783,514769,15,3,2,12,812,0,0,15454,14349,8110,9113,3281,2693,4658,298,2015-01-22 12:05:27,2565
13871793,147990334,280889,129563,20237,65585,53244443111,9471607510,132034,167339,570272,570180,4816711390762,4791492909799,290572,936108,0,0,11061593,1037489,1856595,654560,12,1,3,12,2055,0,0,21101,19660,9198,10080,4654,3139,5961,214,2015-01-22 12:08:37,2951
9997581,163524537,243017,153308,18205,71426,42777053936,9793168530,135992,179862,536265,536265,4546851315884,4480334589624,262959,988517,1,0,31707112,2049267,2020339,859310,0,0,0,12,1193,1,0,21023,17347,8610,9683,3790,3305,5073,361,2015-01-22 12:11:47,2899
7968237,131715319,89201,78677,16010,59065,11441155894,10087957911,117050,151162,438600,438600,3754404828534,3727745326059,203060,915968,1,14336,4456074,857839,1393727,490154,0,0,0,12,163,1,0,14050,13310,6823,7356,2349,2253,3612,91,2015-01-22 12:14:57,2168
7831259,113765002,111420,72792,15601,51938,81114427429,10319033942,109522,137007,448290,448035,3828264730224,3752504136226,270187,946452,0,3924,1199380,794937,1614850,444318,0,0,0,16,359,0,0,16102,15318,7761,8548,3214,2423,4434,154,2015-01-22 12:18:07,2313
9264402,126557445,91386,81011,16847,57055,6663758055,10323513703,117534,148863,466140,465885,3915104440726,3929226536144,220238,979720,11,10271,1466746,913453,861679,438336,0,0,0,8,157,73,0,14370,13404,6730,7737,2460,2327,3643,109,2015-01-22 12:21:17,2218
8751386,127775978,121898,110828,17962,58856,12833729815,11208779749,123086,154870,512295,512295,4228657721844,4275569786695,242513,1077654,0,0,3009857,928296,1468099,524852,0,0,0,12,270,0,0,16929,15585,8234,9217,2909,2595,4340,200,2015-01-22 12:24:27,2499
12298402,170638921,121719,108491,20887,74956,9264916790,11608583701,146865,191915,528870,528870,4407175541476,4413100210808,275655,1251160,3,60411,4095852,1265292,1156838,444578,0,0,0,12,269,9,0,17559,16287,8984,10032,3213,2712,4685,188,2015-01-22 12:27:37,2584
11223374,125311729,110148,95869,19222,58361,8941464452,11292179866,127146,156364,524790,524025,4420964499098,4433448056202,309549,1137442,1,4664,1494823,856160,1350770,421892,0,0,0,12,210,1,0,17433,16400,9308,10633,3593,2642,5069,97,2015-01-22 12:30:47,2567
8687152,127910730,152461,87133,16872,57471,122075448688,10492363032,119040,151198,529380,526575,4338584723998,4382529362784,366286,1065241,4,1759837,1531562,830190,1296761,499002,0,0,0,8,584,21,0,24210,23268,11117,12295,6037,2920,7372,148,2015-01-22 12:33:57,2745
15393307,138021699,105624,91170,19582,61499,15913506304,10686489216,125866,158340,504390,504390,4202579171214,4252642523074,233317,1040607,9,12348,1672700,723405,1414814,459871,0,0,0,16,215,74,0,16694,15553,8745,10134,3593,2629,4981,133,2015-01-22 12:37:07,2461
10064766,170689279,161051,129063,20101,74899,27179943128,10434481533,144050,189396,504135,504135,4260253671159,4309989853516,254494,1134197,1,524288,8900490,1532994,1498117,581165,0,0,0,12,516,4,0,15281,14701,8184,9103,3010,2841,4438,188,2015-01-22 12:40:17,2564
