sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
7337180,116222742,76424,70838,15625,52773,1277983060,6002330930,105520,139262,555135,555135,4678573042631,4219299649741,222401,888934,0,0,19664379,5304467,1370245,619887,0,0,0,12,25,0,0,21515,19781,15205,15745,8511,2579,6359,0,2015-01-22 11:50:14,2489
7598256,133090444,81646,65452,15764,58918,2276859856,10114747647,116224,148748,464100,464098,3772637438423,3831850936703,184363,912279,0,0,1296187,781219,1328591,391506,0,0,0,12,31,0,0,15918,15316,7358,8292,3029,2265,4129,0,2015-01-22 11:52:47,2185
6924573,101588924,102616,97812,14647,47400,2328082763,10264846320,102368,123880,481950,481950,4040978365087,4086974796515,198252,826005,0,0,2636148,406407,1491501,585699,0,0,0,12,176,0,0,14707,13946,7630,8948,3272,2368,4420,0,2015-01-22 11:55:57,2252
12537930,116037554,132929,126332,19331,54771,2569877054,11422592285,118852,147535,646425,646425,5427691010003,5331501231631,360676,961944,5,0,2612102,1508301,1655447,504551,0,0,0,16,232,5,0,21429,20575,13086,15452,7008,3007,8115,0,2015-01-22 11:59:07,2901
10981044,119759634,147487,141011,19534,56619,2641274235,12601360082,120906,153068,685440,685440,5770920051396,5732601239656,310498,984924,3,0,9018772,543879,1469594,607205,0,0,0,12,261,3,0,24224,23663,14655,16934,7937,3213,9079,0,2015-01-22 12:02:17,3086
8821452,175131496,98846,67768,17359,74018,23683638840,9042682538,133401,183733,448035,448035,3838080583783,3825673490153,212756,916100,0,0,3105353,1614801,1463619,489299,15,3,2,12,298,0,0,14378,13526,7694,8602,2926,2361,4273,0,2015-01-22 12:05:27,2267
11492442,137676470,228645,94787,17960,61583,40118404672,9466286122,124790,157377,535082,534990,4531072239365,4515469822638,258558,920762,0,0,5479031,782694,1807073,580701,12,1,3,12,1725,0,0,19549,18443,8706,9497,4271,2841,5530,0,2015-01-22 12:08:37,2737
8652714,158033016,164486,108896,17391,69198,15685591624,9790349666,132274,174424,491385,491385,4135247586384,4111221156772,211330,974631,0,0,7444215,1158230,1439633,487231,0,0,0,12,620,0,0,17792,15243,7744,8551,2965,2642,4244,0,2015-01-22 12:11:47,2538
7732044,131137786,68199,63053,15788,58741,2233551235,10082451358,116124,150208,422790,422790,3617927898244,3617466738512,187934,905912,0,0,1067674,720023,1358843,433032,0,0,0,12,43,0,0,13864,13156,6712,7236,2241,2154,3501,0,2015-01-22 12:14:57,2077
7609905,113307663,74224,59880,15420,51652,33302186171,10314853635,108421,136191,435285,435030,3720478103867,3650408271013,220649,936479,0,3924,1047234,779013,1612078,441650,0,0,0,16,98,0,0,14829,14069,7191,7942,2647,2245,3867,0,2015-01-22 12:18:07,2159
