sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
15857774,146103786,157396,154390,23372,68729,7954592005,6993394372,143510,186818,846855,846855,7080109247023,6633458779888,523504,1277233,336,9497264,49641374,11538458,1713095,903094,0,0,0,12,218,332,39,26533,24657,22162,22939,11105,4485,9021,164,2015-01-22 11:50:14,4361
20220780,189627201,209093,193682,25218,84333,22222946096,12252244681,164733,215820,823905,823903,6879899798810,6854693235199,564869,1380544,412,14751653,5880009,3075601,1380001,445063,0,0,0,12,466,417,101,21441,20682,13729,15807,5785,4555,7768,361,2015-01-22 11:52:47,4355
26050936,161739410,268299,266613,26607,73258,10984341209,12500124173,160420,193250,897600,897600,7610648639170,7543730415961,596344,1351883,407,23374619,16769239,3283428,1643586,783386,0,0,0,12,694,437,89,21050,19733,14434,16967,6208,4823,8070,484,2015-01-22 11:55:57,4629
29070291,178711144,310205,307238,30877,82363,42279932213,13560319625,178202,221987,1094715,1094715,9157115007571,9107617515277,840899,1528998,553,24772825,17524637,4845945,1831208,684700,0,0,0,16,784,597,86,27589,26341,21551,26209,10339,5815,12326,499,2015-01-22 11:59:07,5589
25755942,191885742,282786,275538,30903,87804,19013466368,14537226140,180020,235062,1058760,1058760,8895288591841,8883632003434,704623,1524012,594,25822024,33395277,4371470,1725267,976010,0,0,0,12,699,652,70,30201,29472,22844,27439,11000,5765,12915,347,2015-01-22 12:02:17,5513
52754975,265467861,261045,201208,40435,111363,113907587413,10654258812,222554,281461,819315,819315,6906289883094,6911764942853,720063,1492385,467,35222172,12456038,5237048,1619930,595301,15,3,2,12,994,480,79,20501,19324,14517,16463,5904,4892,7868,471,2015-01-22 12:05:27,4718
27897531,211242855,365015,222943,30637,93562,55194308987,11009774982,188870,242620,899732,899640,7558556331946,7589808126804,670689,1458032,447,24983083,21414605,4295600,1962041,753772,12,1,3,12,2209,488,96,25899,24445,15751,17379,7226,5338,9342,352,2015-01-22 12:08:37,5080
36328499,228734792,311532,233411,32490,98816,47134549910,11369618157,198252,252656,824160,824160,6875010688878,6854108069946,594656,1491544,484,25155189,36294407,5312522,2070443,900933,0,0,0,12,1310,519,64,25359,21575,14423,16045,6185,5290,7951,473,2015-01-22 12:11:47,4828
20743178,210150409,163394,164630,25423,91066,14026017937,11825837774,174694,231898,744855,744855,6333182574083,6296338441534,534103,1438339,499,34672187,8860408,3972745,1441165,529950,0,0,0,12,295,544,61,18720,18048,12748,13866,4821,4308,6558,220,2015-01-22 12:14:57,4166
23061354,185235055,190346,159067,26456,82809,84682381700,11912152613,168942,217923,765255,765000,6413102685669,6389726685353,631312,1472686,468,25897432,9862556,3953512,1715931,496754,0,0,0,16,488,517,90,21067,20411,14142,15551,5811,4551,7709,277,2015-01-22 12:18:07,4371
22921445,200411498,166255,166665,27113,88739,9780397458,11796016502,176553,231923,756585,756075,6374893255104,6384392582189,569058,1493609,546,28496889,5943861,4158036,908795,477960,0,0,0,8,289,662,65,19349,18298,12550,14158,4915,4391,6604,234,2015-01-22 12:21:17,4223
21590338,200809236,197233,195027,28536,91236,14806983505,12822522251,183830,240306,825180,825180,6851687832424,6910168698225,604909,1615185,512,29588778,7681232,4135962,1518371,567307,0,0,0,12,375,534,78,22046,20592,15023,16726,5536,4743,7583,305,2015-01-22 12:24:27,4595
27335037,229691676,205677,204413,32269,102171,11186350332,13238581306,205839,267097,876435,876435,7491458961523,7392012471546,684129,1824032,553,24898897,9191836,4861262,1212258,492368,0,0,0,12,403,631,96,23166,21862,16873,18553,6177,5126,8380,320,2015-01-22 12:27:37,4894
23268754,218149572,196330,192506,28525,95799,11373745919,13016743527,190117,250717,869295,868530,7349188057957,7352280584270,682565,1744296,574,38994422,6667280,4520412,1407781,468948,0,0,0,12,347,604,97,23096,22072,17074,19216,6524,5026,8801,231,2015-01-22 12:30:47,4890
23315181,187763865,228978,179860,26831,83384,124134605883,12011520093,172126,221132,835890,833085,6878744885063,6988782279758,723881,1579251,505,28108056,5708966,3755910,1342679,537971,0,0,0,8,750,591,87,29097,28008,17611,20021,8636,5056,10637,299,2015-01-22 12:33:57,4808
29850234,208882058,188521,189707,30849,93357,17713743187,12299619747,188130,243156,842775,842775,7179476165981,7145327728384,632189,1592269,542,26026392,7339019,4386293,1479463,516204,0,0,0,16,369,709,90,22205,20992,15697,18321,6427,4941,8526,286,2015-01-22 12:37:07,4691
41487668,240742029,244698,219660,38149,106777,29634444317,12049620153,221818,277380,870060,870060,7356872308184,7343861391367,676026,1723133,388,20754481,14892204,5023166,1566989,644252,0,0,0,12,628,427,95,20889,20326,15882,17478,5977,5262,8091,292,2015-01-22 12:40:17,4922
24312479,217161366,1111820,213015,27973,94828,556366303559,12998497482,196051,244544,818040,817020,6800305001880,6802849768789,982137,1617374,8,544074,18172977,4501978,1064446,715047,0,0,0,8,7405,24,75,64466,59825,30999,40292,21390,20124,23892,3821,2015-01-22 12:43:27,8274
19950875,173349123,425658,225110,25624,77596,183780161391,13449243813,165954,207013,841500,839205,7198405001190,7097246856887,652527,1414758,26,1092892,30317665,4548241,1741188,924521,0,0,0,12,1912,160,68,32018,30745,17719,20539,10361,8355,12117,983,2015-01-22 12:46:37,5551
19720047,152421048,388729,210455,24002,70770,187093240637,14619692987,149811,186999,814470,814215,6848800009871,6905026258643,687127,1387081,6,19620,9140495,3523333,1264658,425666,0,0,0,12,1664,12,85,28890,28060,17347,19642,9482,7728,11201,972,2015-01-22 12:49:47,5420
27738126,196632562,348643,224853,29200,88407,117035923743,12894836913,183956,230362,829515,829515,6716693854529,6838141100828,685416,1529757,7,19783,16261275,5606008,1519137,620301,0,0,0,12,1344,14,85,24334,22971,16552,18792,7934,6895,9795,748,2015-01-22 12:52:57,5293
29783843,262103729,345438,222898,31416,111555,105087510106,10953681181,214700,282584,864450,863940,7227003797678,7325777675290,665395,1671689,328,20463131,13223333,5219373,1714597,602595,3,0,0,16,1179,346,94,22921,21477,16841,18385,7536,6745,9646,668,2015-01-22 12:56:07,5369
26215350,122055054,315912,225698,26979,61448,89106329609,13261675746,153739,173479,813960,813450,6690703735614,6765423937179,697726,1368930,396,20002967,20404751,3809731,1528034,749714,0,0,0,12,1123,421,80,21950,20717,15326,16613,6932,6272,8701,598,2015-01-22 12:59:17,4996
36337231,164706058,364406,238823,31947,77103,156186164333,12850253994,180346,209178,827220,824925,6975512160296,6905633621267,699242,1445529,470,19782372,14465466,4318667,1399623,555269,8,2,1,12,2015,589,67,26306,24909,16927,18431,8745,7441,10501,803,2015-01-22 13:02:27,5443
29243396,236056698,408505,252685,30475,102258,204516265364,9373088240,201269,259586,845756,846091,7049714636168,7151358454681,849891,1511443,533,21027395,12293121,5268356,1505240,723067,1,0,0,12,2589,570,87,32386,31530,19249,21152,11380,8552,13124,950,2015-01-22 13:05:37,5890
37415607,227871132,401643,174914,31515,98248,199859374360,9702316319,198407,250689,758880,758625,6387331213472,6394739750739,713023,1466816,275,20984004,6531342,4303491,1154104,507174,0,0,0,12,1829,303,43,42658,41893,20068,21450,11647,8891,13643,1007,2015-01-22 13:08:47,5661
50067032,170924991,389811,158371,36577,77689,209587317173,14058007708,186200,208965,764745,764235,6424101192193,6379341504369,671123,1441066,7,23544,5035219,3479797,1249439,393012,0,0,0,12,1823,22,1,52483,49977,18753,20595,10624,8249,12414,954,2015-01-22 13:11:57,5529
19181499,149620548,347249,182204,24729,69531,152326319022,14243646958,153507,188957,803760,802740,6817996675631,6641590382927,666327,1407018,5,11938,5768576,3449894,1574466,491679,0,0,0,16,1431,10,0,48629,45671,17578,19179,9346,7388,11160,829,2015-01-22 13:15:07,5260
21074950,175432457,300951,207795,27982,81710,108380511858,15252751394,169845,217559,832830,832830,7127934577115,6925532358100,619854,1421912,4,11855,7373158,3261137,1471735,631538,0,0,0,12,1191,8,0,45049,43295,16171,17653,7391,6545,9409,680,2015-01-22 13:18:17,5055
19939119,155099215,314779,216031,28131,75235,108908002250,16969597615,164036,205518,881829,844815,7162899244503,7219316693709,615428,1423285,3,532136,11217593,4312271,1380588,494428,0,0,0,12,2060,6,0,44805,41472,15702,17582,6868,6341,9141,583,2015-01-22 13:21:27,5127
