sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
15358380,141062170,129372,120370,22774,66482,2364730248,6963269605,140960,181722,812430,812430,6814483485654,6343563006863,501013,1228661,272,9073672,49276073,11423598,1707738,896823,0,0,0,12,25,273,36,26288,24458,21978,22747,10935,4321,8839,0,2015-01-22 11:50:14,4197
16899168,169658816,139286,119474,23261,76199,4681930301,12223438508,156318,197964,748935,748933,6232425546330,6186788125291,491743,1327444,314,14505910,4305855,2897415,1359615,417554,0,0,0,12,38,320,99,20046,19449,13157,15163,5260,4170,7218,0,2015-01-22 11:52:47,3994
16184735,157981524,161299,152709,21861,71078,4731700109,12490020600,147710,185558,782340,782340,6640636028739,6595965453787,509572,1293241,371,22993511,5978934,2737841,1525877,613385,0,0,0,12,176,401,89,18954,18129,13745,16060,5546,4303,7462,0,2015-01-22 11:55:57,4145
22592315,174946826,202659,191510,27231,79904,6378290580,13552590997,167612,214105,977670,977670,8174320718147,8151567672088,710367,1464455,505,24669319,6728767,4138896,1699947,541959,0,0,0,16,240,549,86,26415,25511,20889,25306,9755,5270,11751,0,2015-01-22 11:59:07,5090
20796474,177850340,212888,202194,27657,81956,4997290996,14525190635,169896,220720,985575,985575,8302265645007,8260103940146,637282,1465403,555,23258407,12959693,3282382,1510258,639939,0,0,0,12,265,615,70,29022,28632,22344,26799,10545,5348,12474,0,2015-01-22 12:02:17,5166
19234404,255027276,160226,125188,25554,106709,25533888664,10642368574,189974,265978,742815,742815,6265447240264,6281938323146,536365,1434326,436,34828612,7696839,4662765,1512931,531556,15,3,2,12,298,449,79,19135,18236,13843,15623,5352,4379,7251,0,2015-01-22 12:05:27,4247
22961520,199344134,291927,154087,26954,88518,41933412015,10997572380,177676,229550,830372,830280,6981499174084,7014164626323,605695,1412968,402,24877270,9666061,3735691,1851188,617473,12,1,3,12,1732,444,94,24141,23035,15035,16469,6691,4890,8712,0,2015-01-22 12:08:37,4728
18662774,220357724,221257,161783,25170,95160,17583137361,11357247598,180580,242110,751740,751740,6229967789499,6263881960631,511069,1444149,436,24436133,11559712,4294044,1481904,520406,0,0,0,12,621,472,64,22000,19359,13415,14702,5244,4515,6999,0,2015-01-22 12:11:47,4355
18097996,208562948,126138,117254,23913,89962,4172066854,11808511484,170334,228632,696915,696915,5906304084156,5907585182171,494263,1398780,434,34346178,5137756,3719457,1400828,465983,0,0,0,12,43,482,57,18381,17763,12487,13580,4584,4080,6301,0,2015-01-22 12:14:57,3946
18224383,179217160,136500,116167,24236,80128,36486867400,11885696598,162411,211325,722160,721905,6048894556044,6051890931731,548844,1428038,399,25344561,9437768,3839797,1709042,489275,0,0,0,16,98,461,84,19632,19023,13428,14771,5113,4250,7001,0,2015-01-22 12:18:07,4094
20113253,196278960,123905,114381,25588,86755,5775850971,11777469595,171574,226775,704055,703545,5897524734779,5925318000991,522302,1455484,465,27656163,5389907,4060309,899350,466248,0,0,0,8,20,583,63,18821,17830,12250,13846,4631,4151,6312,0,2015-01-22 12:21:17,3989
19636636,197130740,134739,125859,27174,89362,4024931661,12798216569,179004,235110,755310,755310,6282044286996,6314091516271,546199,1565063,446,28623004,5652908,3972024,1497762,535611,0,0,0,12,37,470,78,20869,19489,14582,16239,5119,4432,7162,0,2015-01-22 12:24:27,4290
23187812,227005580,143981,134549,29854,100387,3656320199,13217950835,199079,261875,805800,805800,6849889213930,6776492781868,591043,1773190,494,24841818,6406601,4624757,1186717,455736,0,0,0,12,39,572,96,22058,20810,16374,18013,5723,4796,7897,0,2015-01-22 12:27:37,4574
22072352,212921786,154166,144565,27568,93424,4915161599,12994394038,186367,244852,820845,820080,6928157578730,6931787571960,635976,1698578,514,38665529,5954009,4290664,1396925,456050,0,0,0,12,72,546,93,22728,21755,16797,18902,6281,4795,8537,0,2015-01-22 12:30:47,4659
18836202,183890613,176840,124046,24532,81251,90654912300,11976436074,165585,215477,779535,776730,6455050346464,6499600295606,655164,1516269,435,26886707,5099099,3523207,1296758,527976,0,0,0,8,354,525,79,27073,26046,16798,19166,7853,4753,9834,0,2015-01-22 12:33:57,4509
20024336,202542330,137957,125831,26337,90196,11097584575,12276845521,176392,234618,778260,778260,6608433604802,6604296714040,578558,1540901,480,24462992,6216916,4139896,1462450,497032,0,0,0,16,48,649,84,21525,20368,15312,17895,6073,4635,8155,0,2015-01-22 12:37:07,4405
22769164,238060326,185314,169452,30509,105216,14958896047,12035135322,204910,271364,819315,819315,6925790148016,6963908375603,625569,1680064,345,20519679,11602807,4821144,1536478,595242,0,0,0,12,239,387,93,19983,19587,15381,16876,5474,4816,7624,0,2015-01-22 12:40:17,4630
20692993,214099454,156838,131090,26071,93107,67190246010,12984503661,182711,239092,735930,734910,6071916812847,6110910720729,585945,1565402,8,544074,5452438,3820668,887530,435131,0,0,0,8,72,24,75,18780,17383,14341,16007,5890,5071,7697,0,2015-01-22 12:43:27,4453
17964612,170800229,194792,155496,24228,76029,123929868192,13438095577,158717,202429,771120,768825,6568615116342,6518816661081,564910,1364914,26,1092892,17236662,3782126,1604268,730604,0,0,0,12,214,160,68,23235,22092,14122,16403,6931,5728,8632,0,2015-01-22 12:46:37,4568
17183683,143391218,158929,121691,22087,66467,112206926555,14604578026,141679,176729,725730,725475,6078520836912,6099899895812,575753,1334654,6,19620,4410810,3196172,1215143,363764,0,0,0,12,60,12,78,21125,20465,13971,15611,6269,5412,7971,0,2015-01-22 12:49:47,4448
19678324,192729940,175739,148629,25501,86234,71131023074,12883262027,172996,223790,752760,752760,6108317998632,6203772905709,587152,1477085,7,19783,10586927,5267738,1448527,547059,0,0,0,12,146,14,85,20408,19113,14419,16295,5956,5249,7794,0,2015-01-22 12:52:57,4545
21358290,254612084,194006,141586,27619,108381,70602490600,10940400848,202298,272950,782595,782085,6505724422968,6605338606829,595466,1605819,302,20357514,7590877,4723283,1639919,510965,3,0,0,16,157,320,94,19717,18653,15065,16463,5962,5315,8024,0,2015-01-22 12:56:07,4701
19094266,118978681,179185,155269,23482,59797,58737771817,13254280555,144249,167420,744345,743835,6091280700636,6209114041890,595446,1327354,354,19985272,12517623,3327616,1440104,614342,0,0,0,12,190,379,80,19094,18048,13817,14954,5482,4978,7296,0,2015-01-22 12:59:17,4398
18906980,159544303,181564,171035,24861,74634,100952937800,12837419107,162482,200988,759390,757095,6376578458817,6357375319498,612450,1390073,410,18108857,7134185,3662704,1324993,457737,8,2,1,12,649,529,67,20895,20017,14437,15691,6397,5538,8181,0,2015-01-22 13:02:27,4640
22764315,230979800,184869,196957,27441,99865,126721529849,9359505068,190928,253136,789911,790246,6600979932814,6668628186350,694073,1464190,441,20727209,11192868,5063918,1484653,704122,1,0,0,12,899,474,85,24017,23313,15775,17317,8022,6114,9744,0,2015-01-22 13:05:37,4940
22309516,224969468,162569,117170,25861,96674,139301109433,9685697363,182389,244889,700995,700740,5914551949246,5923557081088,616993,1420530,250,20661984,5732585,4149895,1140622,489953,0,0,0,12,31,278,43,31700,31024,15971,17150,7714,6238,9680,0,2015-01-22 13:08:47,4654
17592962,169100980,165351,113587,24095,76506,138676174834,14040860879,158165,202259,719610,719100,6051518250198,6007102992642,573685,1397254,7,23544,4556128,3376461,1232706,383772,0,0,0,12,86,22,1,41818,39697,14932,16509,6919,5731,8679,0,2015-01-22 13:11:57,4575
16704836,145330201,152040,116178,23189,67377,98628228239,14225129042,147218,183177,736950,735930,6233228266758,6112093893814,571314,1361151,5,11938,4795267,3279308,1558785,471929,0,0,0,16,39,10,0,41354,38563,14325,15771,6244,5291,8018,0,2015-01-22 13:15:07,4431
17682991,171534196,157220,136359,25819,79405,72084750255,15236022153,162601,211326,760665,760665,6514976519182,6323860373397,536846,1359393,4,11855,5168919,3051899,1444499,598857,0,0,0,12,112,8,0,40688,39247,14180,15213,5518,5029,7491,0,2015-01-22 13:18:17,4375
16759558,148286764,185321,159631,26502,72241,65167846158,16961440734,157508,198116,825729,788715,6733619038095,6733635312617,536033,1378883,3,532136,7110105,3912474,1320883,433009,0,0,0,12,1082,6,0,41425,38706,14044,15920,5499,5046,7748,0,2015-01-22 13:21:27,4544
19181162,219148072,244364,170624,27582,95658,59587553648,12711922527,181747,246466,868938,804525,6658255660240,6815599389740,566153,1393250,13,28044,7478508,3741267,1433652,538285,21,9,4,12,1827,80,0,44036,41072,14613,16297,5465,5003,7917,0,2015-01-22 13:24:37,4677
19283719,207920074,172063,165189,26551,90853,48168817802,13185388809,174648,235253,773670,772395,6463102338288,6556235685249,552516,1353139,4,11855,6955427,4062406,1478351,618116,0,0,0,12,314,8,0,40867,38015,12608,14449,4762,4391,6518,0,2015-01-22 13:27:47,4205
17538528,195872127,153856,134932,25694,86547,102430090408,14520231072,167731,225639,764235,762705,6463528427547,6572869018808,557195,1420364,7,543991,4725701,3183407,1358599,503104,0,0,0,12,168,14,0,40713,38445,13746,15530,5629,4996,7461,0,2015-01-22 13:30:57,4410
