sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
115470,141998,25699,24041,0,0,430245103,529153934,1658,1658,0,0,0,0,57735,70999,0,0,0,0,0,0,0,0,0,0,0,0,0,2934,2852,2668,2967,1187,867,1077,0,2015-01-22 11:50:14,829
97704,119976,21576,20184,0,0,368762655,452872285,1392,1392,0,0,0,0,48852,59988,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,1864,1892,2578,980,738,907,0,2015-01-22 11:53:24,696
103270,126854,22847,21373,0,0,389498114,478483786,1474,1474,0,0,0,0,51635,63427,0,0,0,0,0,0,0,0,0,0,0,0,0,1849,1844,2185,2683,977,765,981,0,2015-01-22 11:56:34,737
128552,154984,29350,26352,2,1,2068534193,581432199,1824,1806,255,255,2429152679,3648792468,64012,77403,0,0,2742,128,52,90,0,0,0,0,9,0,0,2447,2377,2971,4262,1338,966,1307,5,2015-01-22 11:59:44,908
163426,154386,28730,26178,2,1,521968573,579166882,2016,1796,255,255,841473388,4088422545,63190,77060,0,0,8863,183,1225,126,0,0,0,0,11,0,0,2449,2553,3075,4089,1242,930,1277,4,2015-01-22 12:02:54,898
125192,139520,25178,23316,0,0,429981722,527253031,1646,1608,0,0,0,0,57196,69760,0,0,1261,0,977,0,0,0,0,0,6,0,0,2226,2195,2303,2529,1099,835,988,1,2015-01-22 12:06:04,805
138092,163454,26802,24614,0,0,566895979,552218208,1884,1878,0,0,0,0,59464,72817,0,0,106,105,91,90,0,0,0,0,10,0,0,2314,2211,2324,2739,1202,890,1077,4,2015-01-22 12:09:14,842
113948,138866,25306,23084,0,0,642779452,520664873,1600,1592,0,0,0,0,56974,69433,0,0,0,0,0,0,0,0,0,0,6,0,0,2198,2168,2191,2565,1132,842,1011,3,2015-01-22 12:12:24,800
112706,138082,24583,22997,0,0,420933853,515752377,1586,1586,0,0,0,0,56353,69041,0,0,0,0,0,0,0,0,0,0,0,0,0,2420,2419,2253,2488,1140,840,1006,0,2015-01-22 12:15:34,793
121711,145624,27270,24362,0,0,2197506246,549890142,1697,1678,0,0,0,0,60892,72897,0,0,0,0,0,0,0,0,0,0,8,0,0,2403,2567,2473,2694,1197,903,1103,4,2015-01-22 12:18:44,849
121275,148044,26729,24873,0,0,744980164,555062685,1707,1700,0,0,0,0,60674,74022,0,0,0,0,0,0,0,0,0,0,5,0,0,2577,2533,2315,2716,1180,896,1086,2,2015-01-22 12:21:54,854
126622,155044,27937,26149,2,1,477045197,585226698,1796,1794,255,255,774416470,437961244,63108,77389,0,0,3464,122,59,72,0,0,0,0,1,0,0,2651,2593,2795,3167,1322,940,1141,1,2015-01-22 12:25:04,894
131492,161126,29084,26970,0,0,543874531,610939222,1862,1860,0,0,0,0,65746,80563,0,0,0,0,0,0,0,0,0,0,2,0,0,2813,2733,2944,3261,1363,989,1241,1,2015-01-22 12:28:14,931
142096,164055,30402,27722,0,0,799157780,619084125,1936,1891,0,0,0,0,67291,82072,0,0,185,0,174,0,0,0,0,0,10,0,0,2928,2840,2868,3421,1383,995,1240,4,2015-01-22 12:31:24,951
118129,154016,26299,24467,2,5,576025011,548700881,1685,1684,255,255,325819295,2337179359,59023,72698,0,0,1320,1093,25,11,0,0,0,0,1,0,0,2424,2356,2567,3227,1211,883,1136,1,2015-01-22 12:34:34,841
146746,159012,28681,26593,0,0,489169792,599881591,1950,1834,0,0,0,0,64981,79506,0,0,48,0,36,0,0,0,0,0,2,0,0,2739,2645,2655,3359,1350,964,1214,1,2015-01-22 12:37:44,918
134238,167316,30247,27659,2,2,1055434823,619110648,1902,1896,255,255,2644200966,1665044876,66915,82673,0,0,4372,169,81,94,0,0,0,0,6,0,0,2756,2818,2894,3188,1376,985,1209,3,2015-01-22 12:40:54,947
262756,144880,156482,24128,0,0,124134695915,550021496,3250,1664,0,0,0,0,131378,72440,0,0,0,0,0,0,0,0,0,0,858,0,0,10352,10265,5901,7299,4693,3403,4563,429,2015-01-22 12:44:04,1625
299401,116793,200687,19518,0,0,155170810152,436830754,3559,1345,0,0,0,0,149737,58441,0,0,0,0,0,0,0,0,0,0,1170,0,0,15002,14941,6918,7495,5985,4175,5933,585,2015-01-22 12:47:14,1780
284648,133644,182379,23465,2,2,140648189812,489147550,3456,1532,255,255,1412641986,3646758803,142122,66605,0,0,3405,137,68,69,0,0,0,0,1056,0,0,11626,11553,6175,6804,5079,3729,4985,526,2015-01-22 12:50:24,1724
229388,155666,119741,26013,0,0,97454284773,590385914,2912,1794,0,0,0,0,114694,77833,0,0,0,0,0,0,0,0,0,0,602,0,0,6252,6147,4650,5300,3330,2700,3177,301,2015-01-22 12:53:34,1456
222500,151676,115979,25569,0,0,85257834356,575428916,2828,1748,0,0,0,0,111250,75838,0,0,0,0,0,0,0,0,0,0,585,0,0,5575,5517,4385,4721,3063,2557,2948,292,2015-01-22 12:56:44,1414
233620,196855,115577,24405,0,0,80364284156,504064431,2894,2353,0,0,0,0,106173,68300,0,0,1546,246,1116,34,0,0,0,0,648,0,0,5855,5560,4088,4450,2964,2538,2845,320,2015-01-22 12:59:54,1342
348041,142233,177241,23946,2,1,146066820829,541265096,3759,1639,255,255,2616376622,2928289208,143012,71072,0,0,4855,73,2498,53,0,0,0,0,1011,0,0,10666,10648,6145,6537,4996,3748,4866,498,2015-01-22 13:03:04,1742
355370,144650,239474,24186,0,0,194575481642,547815795,4262,1668,0,0,0,0,177685,72325,0,0,0,0,0,0,0,0,0,0,1400,0,0,18006,17919,8216,8716,7091,4851,6974,700,2015-01-22 13:06:14,2131
275928,59886,213985,10005,0,0,173129750176,224836328,3166,690,0,0,0,0,137964,29943,0,0,0,0,0,0,0,0,0,0,1330,0,0,16358,16325,6770,7045,6215,4199,6141,665,2015-01-22 13:09:24,1583
232474,3270,208377,551,0,0,187440007822,12549513,2554,38,0,0,0,0,116237,1635,0,0,0,0,0,0,0,0,0,0,1364,0,0,15310,15310,5764,5774,5640,3891,5669,682,2015-01-22 13:12:34,1277
167930,3820,149220,638,0,0,118956385603,13911310,1846,44,0,0,0,0,83965,1910,0,0,0,0,0,0,0,0,0,0,974,0,0,9444,9444,4116,4250,4044,2839,4056,487,2015-01-22 13:15:44,923
124304,2510,109683,435,0,0,92703741089,9910067,1362,30,0,0,0,0,62152,1255,0,0,0,0,0,0,0,0,0,0,714,0,0,5153,5145,2537,2744,2468,2071,2488,357,2015-01-22 13:18:54,681
85770,1554,76051,261,0,0,69787790558,5825557,940,18,0,0,0,0,42885,777,0,0,0,0,0,0,0,0,0,0,496,0,0,2700,2700,1624,1542,1491,1418,1489,248,2015-01-22 13:22:05,470
44318,2752,37202,464,0,0,38628738306,10508441,486,32,0,0,0,0,22159,1376,0,0,0,0,0,0,0,0,0,0,238,0,0,879,879,832,799,709,705,708,119,2015-01-22 13:25:14,243
