sbytes_all,Sjit_all,ct_state_ttl_all,ct_dst_src_ltm_all,ct_dst_src_ltm_dns,dttl_ftp,Dintpkt_ftp,sbytes_http,sloss_http,Dintpkt_http,Djit_smtp
15358380.0,49276073.0,25.0,8839.0,1077.0,3161.0,14167.0,1016380.0,1190.0,209323.0,68080
16899168.0,4305855.0,38.0,7218.0,907.0,2987.0,1568.0,913982.0,866.0,15952.0,2528
16184735.0,5978934.0,176.0,7462.0,981.0,3248.0,2279.0,1394282.0,1062.0,17423.0,1563
22592315.0,6728767.0,240.0,11751.0,1301.0,4887.0,4368.0,1768535.0,1459.0,21235.0,1699
20796474.0,12959693.0,265.0,12474.0,1273.0,2610.0,3296.0,1800924.0,1422.0,21273.0,1874
19234404.0,7696839.0,298.0,7251.0,987.0,3647.0,2297.0,1833276.0,1171.0,22975.0,2790
22961520.0,9666061.0,1732.0,8712.0,1073.0,3694.0,2427.0,1387634.0,1163.0,23024.0,5049
18662774.0,11559712.0,621.0,6999.0,1008.0,1943.0,1074.0,1666984.0,1289.0,25176.0,2780
18097996.0,5137756.0,43.0,6301.0,1006.0,2030.0,2017.0,1835668.0,1227.0,23438.0,2392
18224383.0,9437768.0,98.0,7001.0,1095.0,3335.0,4919.0,1527821.0,1156.0,22511.0,5792
20113253.0,5389907.0,20.0,6312.0,1084.0,2176.0,1141.0,1689106.0,1272.0,24313.0,3166
19636636.0,5652908.0,37.0,7162.0,1140.0,3335.0,3588.0,1644080.0,1308.0,25057.0,3193
23187812.0,6406601.0,39.0,7897.0,1240.0,2987.0,1794.0,1547150.0,1348.0,25704.0,3799
22072352.0,5954009.0,72.0,8537.0,1234.0,2755.0,1819.0,2070488.0,1415.0,27301.0,3019
18836202.0,5099099.0,354.0,9834.0,1134.0,2988.0,2243.0,1382796.0,1139.0,20196.0,4214
20024336.0,6216916.0,48.0,8155.0,1213.0,3364.0,4183.0,1671226.0,1311.0,26376.0,5385
22769164.0,11602807.0,239.0,7624.0,1205.0,4031.0,6701.0,1957296.0,1320.0,26019.0,5428
20692993.0,5452438.0,72.0,7697.0,2514.0,1914.0,742.0,1589514.0,1229.0,24889.0,4756
17964612.0,17236662.0,214.0,8632.0,3065.0,2349.0,1156.0,1127466.0,964.0,19092.0,2163
17183683.0,4410810.0,60.0,7971.0,2566.0,4655.0,2037.0,1785664.0,1167.0,22561.0,2385
19678324.0,10586927.0,146.0,7794.0,1958.0,3132.0,2460.0,1757028.0,1271.0,35033.0,3215
