sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
1203696,1392328,12536,13308,754,894,252576275,418508731,3566,3338,97410,97410,831025636058,825465047778,92716,128551,0,0,2584834,740800,35035,35159,0,0,0,0,10,0,0,1077,1022,1756,1752,390,382,882,10,2015-01-22 11:50:43,382
864448,993122,8649,9255,540,637,477699619,607843843,2568,2408,69615,69615,638549808841,542275716638,66492,92063,0,0,364379,127333,4890,5619,0,0,0,0,6,0,0,911,863,1194,1472,273,273,831,6,2015-01-22 11:53:53,273
1224520,1405574,12183,12561,765,902,360671022,571771588,3646,3420,98685,98685,830665665038,842205850784,94179,130304,0,0,804509,250579,10678,11419,0,0,0,0,6,0,0,1218,1232,1684,1760,391,387,1049,6,2015-01-22 11:57:04,387
778328,923126,8153,9955,491,590,330321293,485023214,2340,2212,64005,64005,554508380586,540181669424,60019,85946,0,0,637386,243750,8854,8984,0,0,0,0,12,0,0,849,737,1193,1403,253,251,750,12,2015-01-22 12:00:13,251
1011572,1167564,10292,11568,634,746,314474481,438608330,3032,2812,82110,82110,697798712234,693679894433,77834,108880,0,0,1053036,278762,13855,15560,0,0,0,0,10,0,0,1037,1056,1369,1473,326,322,818,10,2015-01-22 12:03:23,322
921484,1083552,9238,10194,575,684,275540192,442017522,2720,2538,73950,73950,574406424052,619995769247,70888,98955,0,0,716205,173438,9365,10425,0,0,0,0,8,0,0,896,926,1298,1406,290,290,839,8,2015-01-22 12:06:33,290
979264,1116206,9517,9291,608,711,367065184,548806051,2876,2674,77775,77775,636538172559,685294566874,75236,103463,0,0,470615,155164,6257,7397,0,0,0,0,2,0,0,1037,987,1413,1483,305,305,898,2,2015-01-22 12:09:43,305
690768,797536,7099,8193,434,515,292738422,443660270,2074,1928,56355,56355,455341734450,443278957101,53192,74222,0,0,382476,119122,5175,5627,0,0,0,0,8,0,0,657,741,992,1077,223,221,666,8,2015-01-22 12:12:54,221
700596,848648,7254,8726,440,536,221100313,413050880,2108,1988,57120,57120,453903668646,439616454950,53920,76873,0,0,458101,166444,6224,6607,0,0,0,0,10,0,0,680,684,918,1048,224,224,594,10,2015-01-22 12:16:03,224
1057892,1206694,10479,10579,657,771,328740061,514013115,3121,2888,85170,85170,702806840019,758448897931,82302,112698,0,0,1097349,352256,14466,15369,0,0,0,0,4,0,0,1152,1070,1406,1644,340,334,905,4,2015-01-22 12:19:16,334
785020,902052,7969,8588,491,580,1362303331,615403078,2341,2171,64005,63750,549817669316,540947626907,62145,84218,0,0,369416,120652,4857,5756,0,0,0,0,6,0,0,863,863,1123,1309,261,251,755,6,2015-01-22 12:22:24,251
1105208,1273948,10850,10926,688,808,324574794,480422945,3246,3014,88230,88230,762439925246,755801279447,85000,118427,0,0,738100,242643,9997,11391,0,0,0,0,4,0,0,1056,1056,1570,1694,348,346,930,4,2015-01-22 12:25:37,346
