sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
1200056,1363728,11532,10788,744,868,252514983,417917102,3486,3246,94860,94860,815672005159,804432509547,92256,126304,0,0,2543031,728464,34412,34626,0,0,0,0,0,0,0,1065,1010,1730,1724,380,372,856,0,2015-01-22 11:50:43,372
862264,981106,8277,7743,534,623,477677097,607676499,2520,2356,68085,68085,630681200145,532301519446,66216,90749,0,0,316979,119805,4144,4961,0,0,0,0,0,0,0,905,857,1182,1458,267,267,821,0,2015-01-22 11:53:53,267
1222336,1395378,11811,11049,759,888,360660316,571717452,3598,3368,97155,97155,815058056122,819912509810,93903,129218,0,0,721093,229145,9444,10359,0,0,0,0,0,0,0,1212,1226,1676,1752,385,381,1041,0,2015-01-22 11:57:04,381
773960,884326,7409,6931,479,558,330298783,484820268,2244,2100,60945,60945,530720834408,514643206258,59467,81968,0,0,479000,155016,6452,7134,0,0,0,0,0,0,0,837,725,1173,1379,241,239,734,0,2015-01-22 12:00:13,239
1007760,1155280,9672,9048,624,728,314454447,438554482,2948,2736,79560,79560,681407177732,677083843833,77376,107320,0,0,837290,272636,10997,12628,0,0,0,0,0,0,0,1027,1046,1351,1449,316,312,800,0,2015-01-22 12:03:23,312
918400,1037228,8742,8178,567,656,275526598,441777056,2652,2450,71910,71910,567941375136,593803852547,70522,96269,0,0,435157,149544,5775,7093,0,0,0,0,0,0,0,888,918,1282,1386,282,282,823,0,2015-01-22 12:06:33,282
978536,1114214,9393,8787,606,707,367061496,548795971,2860,2658,77265,77265,632327380987,682674670412,75144,103213,0,0,443895,154434,5863,7029,0,0,0,0,0,0,0,1035,985,1411,1479,303,303,896,0,2015-01-22 12:09:43,303
687856,785000,6603,6177,426,497,292706760,443510612,2010,1860,54315,54315,436492626192,424891972545,52824,72844,0,0,330368,109066,4387,4945,0,0,0,0,0,0,0,649,733,978,1061,215,213,652,0,2015-01-22 12:12:54,213
696784,786128,6634,6206,430,498,221051813,412228364,2024,1872,54570,54570,434690289962,420783115618,53462,72961,0,0,404551,139256,5470,6051,0,0,0,0,0,0,0,670,674,900,1028,214,214,576,0,2015-01-22 12:16:03,214
1056436,1202298,10231,9571,653,763,328722287,513959473,3089,2856,84150,84150,694453567779,749519517309,82118,112148,0,0,1075107,351618,14140,15071,0,0,0,0,0,0,0,1148,1066,1400,1636,336,330,899,0,2015-01-22 12:19:16,330
782836,891372,7597,7076,485,566,1362278029,615274564,2293,2119,62475,62220,534732000294,528610562263,61869,83070,0,0,333974,110422,4341,5320,0,0,0,0,0,0,0,857,857,1111,1293,255,245,743,0,2015-01-22 12:22:24,245
1103752,1262100,10602,9918,684,798,324558024,480258693,3214,2978,87210,87210,753601755848,740870919901,84816,117199,0,0,713180,235331,9629,11081,0,0,0,0,0,0,0,1052,1052,1562,1686,344,342,922,0,2015-01-22 12:25:37,342
959088,1093746,9207,8613,594,693,337601231,555176458,2802,2604,75735,75735,658205372797,658834920823,73656,101380,0,0,413020,129903,5390,6272,0,0,0,0,0,0,0,927,1053,1465,1468,301,297,868,0,2015-01-22 12:28:43,297
857708,1011632,8587,8034,540,639,320854294,488646463,2551,2404,70635,70635,615849001124,565400255148,67338,94973,0,0,397079,151822,5336,6102,0,0,0,0,0,0,0,869,793,1184,1359,277,277,795,0,2015-01-22 12:31:54,277
1014216,1163996,10015,9367,633,744,322322512,527115518,3006,2788,82365,82365,723942492934,706960383465,78719,108882,0,0,791806,241000,10762,11429,0,0,0,0,0,0,0,1009,959,1395,1542,325,323,870,0,2015-01-22 12:35:05,323
1182808,1359370,11408,10672,734,860,344287976,555223685,3470,3228,93840,93840,818301567225,803695801826,90874,126040,0,0,1353171,414884,18049,19489,0,0,0,0,0,0,0,1208,1221,1622,1687,374,368,934,0,2015-01-22 12:38:13,368
1196760,1330178,11253,10527,735,844,386404854,629496157,3424,3146,92565,92565,814897649289,790003605741,91779,123365,0,0,869608,301268,11859,13860,0,0,0,0,0,0,0,1185,1218,1626,1792,371,363,1001,0,2015-01-22 12:41:23,363
619684,705820,5984,5597,381,447,333367311,503365616,1805,1682,49215,49215,438337661962,435061614445,48282,65478,0,0,178305,65983,2356,2784,0,0,0,0,0,0,0,549,525,882,989,193,193,619,0,2015-01-22 12:44:34,193
744416,843036,7162,6699,460,535,402937358,577847624,2168,2016,58905,58905,519006834336,508275781462,57826,78774,0,0,241151,87237,3148,3797,0,0,0,0,0,0,0,715,689,1051,1218,231,231,699,0,2015-01-22 12:47:45,231
862680,982488,8277,7743,534,623,449261362,633290492,2528,2344,68085,68085,539363757823,576362524649,66216,91044,0,0,293659,99489,3760,4583,0,0,0,0,0,0,0,897,877,1171,1340,271,267,753,0,2015-01-22 12:50:53,267
1074528,1225806,10323,9657,666,777,366226668,540178102,3126,2936,84915,84915,684841182075,695241871146,82584,113515,0,0,591284,205991,7678,8408,0,0,0,0,0,0,0,1195,1077,1405,1619,341,333,880,0,2015-01-22 12:54:03,333
1104824,1278464,10726,10034,688,810,302132484,463480246,3234,3028,88230,88230,685068716211,761180382452,85028,118446,0,0,853345,312635,11560,12803,0,0,0,0,0,0,0,1206,1170,1411,1521,354,346,847,0,2015-01-22 12:57:13,346
803400,945230,7967,7453,503,599,443343080,622271111,2400,2248,65535,65535,490176842951,500338953565,62148,87842,0,0,285248,105006,3725,4349,0,0,0,0,0,0,0,805,878,1250,1308,257,257,768,0,2015-01-22 13:00:23,257
888568,983129,8525,7976,551,624,312246704,483955196,2552,2334,70125,70125,573046458879,567397544294,68497,93510,0,0,491303,172959,6618,7653,0,0,0,0,0,0,0,799,853,1183,1344,275,275,756,0,2015-01-22 13:03:33,275
949520,1085678,9114,8526,588,686,297597355,383228051,2776,2570,74970,74970,587365678862,682268714335,72912,100795,0,0,582592,204129,7807,8835,0,0,0,0,0,0,0,876,870,1188,1331,298,294,762,0,2015-01-22 13:06:44,294
232232,265252,2294,2146,141,168,69356905,85821894,674,626,18870,18615,152179707968,168418664096,18734,24737,0,0,106162,37666,1448,1697,0,0,0,0,0,0,0,224,224,350,397,78,76,233,0,2015-01-22 13:09:55,74
581272,673238,5642,5278,362,426,211652813,377856672,1698,1588,46410,46410,386720199076,388385702608,44746,62458,0,0,196711,73572,2568,3083,0,0,0,0,0,0,0,670,692,822,967,184,182,540,0,2015-01-22 13:52:33,182
1197120,1358282,11501,10759,739,857,336041561,543621789,3476,3248,94605,94605,813785779576,787699558076,92430,126559,0,0,689899,233625,9198,10808,0,0,0,0,0,0,0,1367,1279,1665,1750,383,371,985,0,2015-01-22 13:54:13,371
1048672,1258972,10448,9774,656,789,346437910,504802589,3124,2933,85935,85935,719067128189,688710165297,81847,117103,0,0,627027,223422,8498,9254,0,0,0,0,0,0,0,1097,1283,1565,1622,337,337,946,0,2015-01-22 13:57:28,337
