sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
325606,416064,3881,4421,1234,1681,12093084,15436469,5778,5998,29070,29070,238884077784,232771553261,6369,7890,0,0,1530238,63698,15004,14448,0,0,0,0,5,0,59,140,134,515,472,116,114,259,5,2015-01-22 11:50:34,114
320818,403518,4321,6011,1209,1641,27275663,34691107,5604,5802,29325,29325,231688618968,235442605622,6859,8019,0,0,190022,56127,2546,2514,0,0,0,0,12,0,95,185,187,507,570,159,157,360,12,2015-01-22 11:53:29,115
352130,441742,7654,8540,1381,1842,21556299,27488015,6232,6408,33915,33915,272852327657,280692965755,7482,9027,0,0,1522895,50178,12696,14197,0,0,0,0,21,0,99,167,163,551,538,143,141,345,21,2015-01-22 11:56:39,133
431912,426654,17275,19251,1412,1799,19867920,24842129,6212,6254,41820,41820,377551001990,336605664763,13166,10757,0,0,4212012,189761,41811,47601,0,0,0,0,69,0,76,209,200,602,633,172,168,358,57,2015-01-22 11:59:48,164
275572,351290,3540,4878,1050,1426,14096555,17985174,4890,5064,25245,25245,209013299508,204166829663,5548,6858,0,0,550163,43367,6262,6142,0,0,0,0,9,0,70,121,124,404,429,103,99,236,9,2015-01-22 12:03:11,99
405296,404336,21221,22799,1296,1721,18213149,22502554,5854,5980,43605,43605,336167202112,368899052159,13500,10990,0,0,7574237,327735,74316,74429,0,0,0,0,83,0,80,302,287,569,625,189,187,418,76,2015-01-22 12:06:08,171
330455,441062,5374,5710,1259,1712,21496247,27468224,5876,6092,30600,30600,259039912695,265726895970,6650,8917,0,0,253473,8413,3595,3479,0,0,0,0,10,0,94,161,171,530,536,124,124,331,8,2015-01-22 12:09:19,120
205382,262042,2449,3455,785,1067,17162980,21901700,3640,3766,18615,18615,159679154941,142527290243,4088,5079,0,0,124052,40470,1696,1670,0,0,0,0,6,0,63,83,89,326,323,73,73,205,6,2015-01-22 12:12:30,73
218364,279180,3044,4802,845,1145,14468204,18463611,3876,4014,20655,20655,188769659909,168828983315,4531,5639,0,0,191530,42199,2692,2620,0,0,0,0,11,0,61,91,97,322,342,87,81,213,11,2015-01-22 12:15:41,81
342886,433950,4576,5099,1291,1749,18680016,23768072,6044,6256,31110,31110,236296911831,253078566308,6978,8444,0,0,386242,38547,5446,5259,0,0,0,0,7,0,87,160,160,475,540,130,122,296,7,2015-01-22 12:18:50,122
224564,285531,2889,3688,847,1151,16988381,21649992,3955,4113,20655,20655,164412744713,184116327912,4651,5616,0,0,119718,36270,1575,1512,0,0,0,0,6,0,68,109,93,337,387,85,81,229,6,2015-01-22 12:22:05,81
352228,441964,4699,5603,1318,1789,18417528,23398958,6152,6374,31620,31620,274712461311,265265623788,7359,8562,0,0,311868,40060,4365,4247,0,0,0,0,9,0,89,142,144,545,573,132,126,325,9,2015-01-22 12:25:08,124
