sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
1016380,25694568,14322,13398,1190,9443,44657004,149618606,12322,22204,117810,117810,1009871977629,948801764581,57385,195258,337,10846990,23376153,5008801,274622,209323,0,0,0,0,0,338,0,1143,1152,2063,2143,852,464,637,0,2015-01-22 11:50:41,462
913982,30742488,11295,10667,866,10895,61698202,129996822,12434,24154,80070,80070,675025547614,637662996877,37282,176218,306,13437959,2277484,1871658,22056,15952,0,0,0,0,7,324,0,568,560,942,1036,382,320,401,0,2015-01-22 11:53:25,314
1394282,53976936,12214,11426,1062,18887,122479881,253425777,20462,40724,100470,100470,846111581127,849908852883,46684,229322,394,23499900,2633520,2161088,25421,17423,0,0,0,0,0,430,0,742,722,1157,1495,470,406,482,0,2015-01-22 11:56:34,394
1768535,54459550,17223,16155,1459,19286,244577580,347977721,21994,42460,136170,136170,1141928969693,1166118699925,67458,261459,524,24752297,3075770,2523177,30058,21235,0,0,0,0,3,568,0,1052,1050,1822,2646,687,550,747,0,2015-01-22 11:59:44,534
1800924,68774992,16895,15805,1422,24156,257612003,436778347,26138,52266,138975,138975,1192695780818,1176065772635,64905,287606,544,28503571,3153643,2600241,30570,21273,0,0,0,0,0,599,0,1096,1107,1801,2648,689,562,737,0,2015-01-22 12:02:54,545
1833276,76040774,13212,12374,1171,26368,16792592,159275564,28274,55996,106845,106845,880836839911,899182845159,47094,287350,415,35351590,3249844,2737541,32116,22975,0,0,0,0,1,427,0,801,804,1200,1234,512,421,512,0,2015-01-22 12:06:04,419
1387634,50348424,12617,11803,1163,17679,26582896,159737272,19692,38510,103785,103785,856512838043,894814486909,47724,261917,402,21222950,3322637,2765261,32656,23024,0,0,0,0,0,444,0,743,795,1119,1153,490,419,482,0,2015-01-22 12:09:14,407
1666984,62617890,14105,13195,1289,21911,33554652,237281789,24324,47326,116025,116025,946885100903,975026221894,52722,294671,447,26564677,3573946,3013263,35138,25176,0,0,0,0,0,489,0,889,908,1345,1295,545,467,570,0,2015-01-22 12:12:25,455
1835668,75422830,13516,12644,1227,26218,28426081,208769872,27982,55776,111180,111180,922174532932,918157488378,49857,298033,433,34338164,3418074,2865457,33510,23438,0,0,0,0,0,476,0,886,962,1249,1337,551,452,530,0,2015-01-22 12:15:34,436
1527821,58520173,12742,11924,1156,20282,33059129,232168637,22476,43992,104805,104805,893963394316,874367198097,47605,272384,404,24317634,3200233,2699310,31257,22511,0,0,0,0,0,453,0,766,790,1238,1205,494,423,484,0,2015-01-22 12:18:45,411
