sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
99042,17470575,1116,4536,126,6647,180952,13059472,2264,13366,4590,4590,31686831353,40984365763,830,15661,0,0,33874,18617,658,319,0,0,0,0,18,0,0,18,18,20,21,18,18,20,18,2015-01-22 11:50:57,18
27382,3296145,806,3276,89,1320,78975,6136593,608,2692,3315,3315,30001979710,18486507578,607,9393,0,0,53986,15800,1036,728,0,0,0,0,13,0,0,15,13,16,16,13,13,13,13,2015-01-22 11:54:31,13
16164,743190,806,3276,91,364,36719,1576370,346,782,3315,3315,24671187096,20899328661,610,9231,0,0,94712,57249,1782,1106,0,0,0,0,13,0,0,13,13,14,23,13,13,13,13,2015-01-22 11:57:32,13
34052,5404742,496,2016,56,2039,25597,1850231,774,4110,2040,2040,17563928424,21047839259,372,5828,0,0,49734,18357,963,587,0,0,0,0,8,0,0,8,8,12,15,8,8,9,8,2015-01-22 12:00:47,8
8840,861897,310,1260,35,360,19497,1221482,194,740,1275,1275,12815068398,7092354992,235,4257,0,0,26522,18250,512,253,0,0,0,0,5,0,0,5,5,5,8,5,5,5,5,2015-01-22 12:03:44,5
3214,96472,186,756,21,56,13433,523446,68,124,765,765,9273443112,8016805698,142,1841,0,0,19822,6431,303,227,0,0,0,0,3,0,0,3,3,5,8,3,3,5,3,2015-01-22 12:09:04,3
8766,285078,496,2016,56,161,41714,962057,186,354,2040,2040,20071862769,16409807662,380,3749,0,0,30359,15930,610,444,0,0,0,0,8,0,0,8,8,10,13,8,8,8,8,2015-01-22 12:10:06,8
9232,731920,372,1512,42,314,28936,1841468,200,652,1530,1530,16220893572,10982586974,278,5838,0,0,23212,14128,474,182,0,0,0,0,6,0,0,6,6,6,10,6,6,6,6,2015-01-22 12:13:46,6
6426,180612,372,1512,42,107,55237,1339319,136,238,1530,1530,14176319845,14980354159,284,3137,0,0,12057,4153,245,176,0,0,0,0,6,0,0,6,6,6,6,6,6,6,6,2015-01-22 12:16:24,6
7152,658708,310,1260,33,273,46863,2882744,156,572,1275,1275,10825525105,10016517674,233,4196,0,0,9700,6065,194,81,0,0,0,0,9,0,0,5,5,5,5,5,5,5,5,2015-01-22 12:21:05,5
11482,1830554,186,756,21,692,23114,2872070,260,1396,765,765,4923675620,2980705161,135,3503,0,0,7665,3882,147,39,0,0,0,0,3,0,0,3,3,5,3,3,3,3,3,2015-01-22 12:23:50,3
10030,762226,434,1764,49,332,55563,3728444,218,692,1785,1785,20295012377,15178382617,324,6290,0,0,15971,7965,325,146,0,0,0,0,7,0,0,7,7,8,11,7,7,7,7,2015-01-22 12:26:11,7
17526,1006726,868,3528,98,470,135858,7226030,378,996,3570,3570,37336235371,21312612978,652,11871,0,0,27916,19409,556,268,0,0,0,0,14,0,0,14,14,17,16,14,14,15,14,2015-01-22 12:29:00,14
16008,996962,744,3024,84,446,105968,5927677,345,949,3060,3060,27953051945,27574495332,560,10640,0,0,26024,18755,514,252,0,0,0,0,12,0,0,14,12,12,16,12,12,12,12,2015-01-22 12:32:28,12
