sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
6043696,542984,5022,4698,2916,1296,659644200,59132764,8424,6716,41310,41310,341760417615,360934874734,116222,13042,0,0,2010631,68080,14667,18365,0,0,0,0,0,0,0,223,224,608,637,178,164,194,0,2015-01-22 11:50:26,162
6531364,581724,5425,5075,3150,1400,980826903,87310594,9100,7162,44625,44625,348581082647,390854821571,125657,14168,0,0,76610,2528,758,1001,0,0,0,0,0,0,0,225,239,498,650,187,175,220,0,2015-01-22 11:53:24,175
5198684,463060,4309,4031,2514,1112,933256431,82988111,7252,5708,35445,35445,296206322398,292299210693,99681,11238,0,0,47132,1563,439,578,0,0,0,0,0,0,0,185,177,419,452,145,145,176,0,2015-01-22 11:56:34,139
6120216,543400,5022,4698,2988,1296,1105912079,97682320,8568,6724,41310,41310,314251329680,340783507958,115722,13045,0,0,52166,1699,492,654,0,0,0,0,0,0,0,192,208,512,585,170,164,214,0,2015-01-22 11:59:46,162
6012412,531908,4929,4611,2941,1272,977341091,86047162,8426,6572,40545,40545,305444291347,327898881730,113454,12823,0,0,55829,1874,524,706,0,0,0,0,0,0,0,214,220,527,603,169,159,203,0,2015-01-22 12:02:54,159
6262724,563288,5208,4872,3031,1342,752909972,66947564,8757,6972,42840,42840,344220256605,352069975933,120120,13518,0,0,84326,2790,909,1160,0,0,0,0,0,0,0,216,224,474,565,174,170,206,0,2015-01-22 12:06:04,168
7062828,631332,5859,5481,3417,1512,829949162,74005316,9858,7794,48195,48195,405399281092,381889039379,135402,15254,0,0,154700,5049,1711,2215,0,0,0,0,0,0,0,245,251,548,649,193,189,227,0,2015-01-22 12:09:14,189
6485970,582868,5363,5017,3191,1384,903209880,80334128,9150,7230,44115,44115,329214741051,360770933355,122598,13896,0,0,85556,2780,932,1194,0,0,0,0,0,0,0,226,218,505,623,187,173,218,0,2015-01-22 12:12:24,173
6225944,556608,5146,4814,3062,1328,860817890,76503103,8780,6886,42330,42330,357662336247,369635887205,117722,13369,0,0,72044,2392,731,958,0,0,0,0,0,0,0,226,225,460,574,172,166,209,0,2015-01-22 12:15:34,166
7172812,644092,6045,5655,3506,1539,830294151,73662116,10148,7957,49725,49725,427848038184,440272750233,137699,15722,0,0,177178,5792,1970,2525,0,0,0,0,0,0,0,281,271,533,658,208,195,229,0,2015-01-22 12:18:44,195
7191614,644817,6015,5626,3530,1542,986518358,88178451,10170,7969,49470,49470,407241834256,427965701958,137107,15646,0,0,92414,3166,903,1185,0,0,0,0,0,0,0,278,284,543,652,202,196,243,0,2015-01-22 12:21:55,194
7072534,631072,5828,5452,3478,1504,975379284,86257368,9964,7812,47940,47940,420212498644,443834684782,133493,15131,0,0,96895,3193,1032,1334,0,0,0,0,0,0,0,265,265,593,699,202,198,246,0,2015-01-22 12:25:04,188
7678704,683176,6324,5916,3768,1632,994193893,87773683,10800,8446,52020,52020,451294606351,457280342909,145068,16448,0,0,115636,3799,1235,1608,0,0,0,0,0,0,0,288,292,637,744,228,210,276,0,2015-01-22 12:28:14,204
6714568,604336,5642,5281,3268,1437,915090668,82274476,9439,7481,46410,46410,393708883917,382754145752,129041,14659,0,0,89687,3019,943,1217,0,0,0,0,0,0,0,252,246,583,646,194,182,222,0,2015-01-22 12:31:24,182
6435456,579666,5456,5104,3094,1395,736556522,65661232,9017,7130,44880,44880,371856479985,378802698606,125342,14274,0,0,128710,4214,1397,1806,0,0,0,0,0,0,0,246,264,544,658,186,178,224,0,2015-01-22 12:34:34,176
