sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
22564129,203925578,221400,208162,31041,94733,10705108433.953259,11095354256.282923,191914,252642,1100070,1100068,9217843721062,8728519478604,695181,1701219,474,14704383,51248177.445105,12549564.836555999,2138397.573005,1014095.7320269999,44.553904,30.365877999999995,14.188026,16,317,469.0,71.0,33705,31664,26584,27854,13046,5887,11569,240,2015-01-22 11:50:14,5711
32207681,241740074,313141,307208,34974,106890,25129681169.725136,15895194230.240643,220821,276452,1116645,1116645,9348197575580,9293652784913,754890,1821950,548,25266640,17710789.654351,4460907.234604999,2069835.692648,892148.1306179999,102.542055,54.576722000000004,47.965333,16,812,578.0,116.0,26914,25685,17925,20773,7397,6116,9877,584,2015-01-22 11:53:47,5850
35222427,222762623,392671,389740,38369,103127,46968904381.5616,17420748335.5549,224756,277411,1382355,1382355,11583238171289,11472511602778,1028346,1932824,656,32369118,19865949.446333,5590356.136663999,2030146.696823,816996.4147369999,184.384594,96.910068,87.474526,16,988,706.0,121.0,34162,32395,25988,31575,12291,7331,14937,664,2015-01-22 11:57:57,7039
39451550,250729432,351622,337232,41991,114302,28710048111.369293,18672146240.168655,236604,305254,1336965,1336965,11249973240531,11238380693272,906968,1982635,757,33575405,36720144.554051995,5788064.238283,2509199.00954,1238264.517005,111.354631,61.462628,49.892002999999995,20,893,822.0,92.0,37503,36175,28052,33846,13433,7340,15834,453,2015-01-22 12:02:07,7036
57607786,316891367,454600,288297,49261,135918,149164277642.14124,13798304155.897293,280634,348285,1134842,1134750,9560553142226,9556006648111,960864,1931679,569,39289973,24685642.207885996,6371629.124484,2390113.6511319997,859006.494338,186.378971,92.655441,93.72353000000001,16,2506,598.0,122.0,31450,29661,20087,22076,8716,6789,11583,599,2015-01-22 12:06:17,6533
44327581,306542096,400536,294153,41510,132208,53509394946.193375,14851967566.20091,258020,336570,1090125,1090125,9093367880994,9141130337455,791775,1959667,641,36097662,36083745.492401995,6513798.4377069995,2626422.3079739995,1048295.510852,130.435924,70.132825,60.303099,16,1781,676.0,91.0,31726,27894,18822,20896,8021,6893,10349,575,2015-01-22 12:10:27,6333
26581959,262855350,225450,222848,32868,114902,20304488155.62766,15550436471.212215,223376,294232,983790,983790,8355367789489,8236409132374,703766,1882927,657,44804614,19424079.182132,5403150.534976,1983205.908557,704847.6211089999,29.55229,12.972156,16.580134,16,439,724.0,83.0,24896,23879,16843,18299,6489,5717,8794,302,2015-01-22 12:14:37,5501
32874372,245073945,245963,218295,36239,110041,85403643441.58401,15534385479.006285,227357,291895,1020255,1019745,8576239648864,8598348660192,847906,1942476,632,33892730,8081506.787091,5090937.664301001,1618028.996932,639553.634462,18.343799,7.180369000000001,11.163430000000002,12,569,681.0,122.0,27179,26070,18480,20528,7368,5987,9915,359,2015-01-22 12:18:47,5783
26989787,278301542,240834,241690,35865,123149,17140671544.798082,16191233875.34475,239570,319216,1039125,1039125,8637131490123,8737705029030,745583,2059341,683,37265026,9377622.562557999,5544030.055469001,1763305.515894,774294.76412,33.015616,15.605664,17.409952,16,450,799.0,88.0,27998,26214,18111,20335,6887,5985,9355,367,2015-01-22 12:22:57,5773
35356563,291243313,270466,268324,42403,131069,14265415096.359106,17487398114.535957,267449,344759,1148265,1148265,9767820192371,9674418659688,905294,2372886,725,32615843,11544950.404880999,6361920.102979001,1916725.3194710002,650044.279379,36.894565,17.539551000000003,19.355013999999997,20,533,827.0,117.0,29964,28483,22075,24215,7997,6707,10846,405,2015-01-22 12:27:07,6425
31086785,281892402,289920,233300,35540,121712,128193491066.8677,16349514890.120358,239936,317285,1103130,1099815,9212823400488,9284905794086,957682,2205900,744,53192100,8109258.657186,5486950.157078,1953382.5239930004,658118.4928550001,21.834635999999996,9.526530000000001,12.308105999999999,16,832,803.0,119.0,35518,34353,23406,26299,10583,6607,13343,325,2015-01-22 12:31:17,6403
29690901,255343978,250740,254099,37390,116114,20612420093.87526,16372184464.768494,236943,306786,1140615,1140360,9600799824389,9641739616733,833461,2113658,690,29615481,8715368.642403001,5416065.861575,1324523.117029,563263.39117,28.939312,12.696947999999999,16.242364000000002,12,482,884.0,119.0,31474,29437,21440,25097,8980,6613,11836,381,2015-01-22 12:35:27,6261
55465987,311979082,304126,274128,48925,137411,34377135713.3957,15789571089.004206,283650,355608,1116645,1116645,9387594277913,9363974770797,870577,2225287,496,27671455,17352815.394225,6508010.383539,2083516.937989,849600.0453109998,50.209119,26.919859,23.28926,16,780,548.0,131.0,26829,26098,20322,22365,7636,6740,10343,390,2015-01-22 12:39:37,6344
30736203,274144397,1268409,294738,36040,119479,631915770055.5862,16996151123.548351,247877,310476,1090380,1088085,9247751367937,9089090257040,1183456,2032621,31,1625194,31546297.328001,6205574.699828999,1694351.1639669999,1081535.551664,75.63686700000001,40.318743,35.318124,12,8141,178.0,85.0,74306,69127,36282,46795,24796,23010,27777,4208,2015-01-22 12:43:47,10062
25066440,198707110,536663,279295,32028,92585,246732540142.38934,19031582379.583916,201651,247670,1083240,1081965,9119875726492,9175323888515,884186,1833600,8,27468,22823751.083940003,5033037.448027,1955013.411812,807217.260397,71.489485,38.66115,32.828335,16,2358,16.0,111.0,41668,40551,23848,26860,13517,10713,15932,1301,2015-01-22 12:47:57,7281
34232871,246677841,459758,293100,37179,111619,166192891284.39407,17321989692.336117,233494,291888,1086300,1086300,8888948791073,9075825913454,894269,1975724,7,19783,19025421.466192998,6707155.464938,2217544.842968,802136.070686,87.61782399999998,46.62424,40.993584,20,1799,14.0,110.0,32735,30849,21532,24849,10542,9131,12874,991,2015-01-22 12:52:07,6931
38180890,299027979,440549,293041,39606,130258,129663819358.87868,15112966853.642624,261156,335012,1124040,1123530,9292241950070,9466547545071,879378,2110935,484,28255822,20899159.908836998,6594647.317027,1973211.173054,881694.0574930001,118.42659800000001,61.937858000000006,56.48874,16,1502,508.0,118.0,29114,27730,21952,23478,9608,8684,12288,852,2015-01-22 12:56:17,6954
