sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
148154,182106,32891,30769,0,0,553566736.670429,680504531.943819,2122,2122,0,0,0,0,74077,91053,0,0,0.0,0.0,9.959999999999999,7.429,0.0,0.0,0.0,0,0,0.0,0.0,3543,3483,3304,3842,1535,1125,1385,0,2015-01-22 11:50:14,1061
128370,157586,28303,26477,0,0,482930171.87591994,592875495.3440001,1826,1826,0,0,0,0,64185,78793,0,0,0.0,0.0,8.684999999999999,6.655000000000001,0.0,0.0,0.0,0,0,0.0,0.0,2365,2363,2529,3254,1255,953,1183,0,2015-01-22 11:54:24,913
160100,195614,35520,33060,0,0,1855405180.1763997,736915321.0945001,2286,2280,0,0,0,0,80050,97807,0,0,0.0,0.0,10.223999999999998,8.165000000000001,0.0,0.0,0.0,0,0,0.0,0.0,2986,2959,3760,5186,1621,1207,1649,0,2015-01-22 11:58:34,1143
161358,198126,35619,33321,0,0,608397836.0098,747098908.266,2298,2298,0,0,0,0,80679,99063,0,0,0.0,0.0,10.332999999999998,8.07,0.0,0.0,0.0,0,0,0.0,0.0,3171,3275,3754,4930,1589,1193,1591,0,2015-01-22 12:02:44,1149
149058,182818,32705,30595,0,0,565483568.84056,693626800.54339,2110,2110,0,0,0,0,74529,91409,0,0,0.0,0.0,9.244,7.347,0.0,0.0,0.0,0,0,0.0,0.0,2819,2691,3038,3387,1461,1103,1318,0,2015-01-22 12:06:54,1055
155256,189968,34073,31639,0,0,672770655.70801,715333368.5083,2184,2182,0,0,0,0,77628,94984,0,0,0.0,0.0,9.418,7.536,0.0,0.0,0.0,0,0,0.0,0.0,3080,3034,2991,3483,1554,1148,1384,0,2015-01-22 12:11:04,1092
146240,179168,31899,29841,0,0,547292193.06343,670584889.55092,2058,2058,0,0,0,0,73120,89584,0,0,0.0,0.0,9.464,7.774000000000001,0.0,0.0,0.0,0,0,0.0,0.0,3088,3088,2957,3274,1480,1090,1316,0,2015-01-22 12:15:14,1029
160656,193660,34904,32366,0,0,2193648452.3526797,728690868.3364501,2246,2230,0,0,0,0,80401,96915,0,0,0.0,0.0,9.267,7.5280000000000005,0.0,0.0,0.0,0,0,0.0,0.0,3275,3458,3170,3565,1564,1190,1437,0,2015-01-22 12:19:24,1124
163092,199892,35650,33350,0,0,615535493.80522,754508061.76601,2300,2300,0,0,0,0,81546,99946,0,0,0.0,0.0,10.419,8.244,0.0,0.0,0.0,0,0,0.0,0.0,3394,3334,3406,3853,1638,1196,1449,0,2015-01-22 12:23:34,1150
175152,214864,38471,35989,0,0,662690988.7241701,813029079.36001,2482,2482,0,0,0,0,87576,107432,0,0,0.0,0.0,11.401,8.847000000000001,0.0,0.0,0.0,0,0,0.0,0.0,3789,3682,3939,4435,1845,1327,1666,0,2015-01-22 12:27:44,1241
167712,205009,37016,34620,0,0,1013659020.7005899,777399242.15691,2382,2371,0,0,0,0,83994,102549,0,0,0.0,0.0,10.359,7.965,0.0,0.0,0.0,0,0,0.0,0.0,3598,3487,3667,4375,1719,1251,1571,0,2015-01-22 12:31:54,1193
166801,204552,36674,34278,0,0,629403508.0720799,772253280.8833001,2365,2364,0,0,0,0,83437,102276,0,0,0.0,0.0,10.809,8.382000000000001,0.0,0.0,0.0,0,0,0.0,0.0,3533,3433,3450,4449,1735,1235,1582,0,2015-01-22 12:36:04,1183
171336,209906,37731,35061,0,0,726655068.14863,794468769.1958001,2420,2418,0,0,0,0,85668,104953,0,0,0.0,0.0,10.552,8.171000000000001,0.0,0.0,0.0,0,0,0.0,0.0,3506,3504,3640,4132,1777,1264,1544,0,2015-01-22 12:40:14,1210
276279,174329,61551,29088,0,0,121059350152.37512,659629763.28944,3027,2005,0,0,0,0,138176,87209,0,0,0.0,0.0,12.190999999999999,6.82,0.0,0.0,0.0,0,0,0.0,0.0,7068,6928,4747,5300,3393,2469,3243,0,2015-01-22 12:44:24,1514
324472,171424,72444,28536,0,0,155969468499.172,637540958.78971,3366,1968,0,0,0,0,162236,85712,0,0,0.0,0.0,14.809,7.321000000000001,0.0,0.0,0.0,0,0,0.0,0.0,10075,10126,5598,6089,4186,2970,4114,0,2015-01-22 12:48:34,1683
261990,192078,58257,32103,0,0,99271018133.62149,727648794.39481,3012,2214,0,0,0,0,130995,96039,0,0,0.0,0.0,12.399,7.679,0.0,0.0,0.0,0,0,0.0,0.0,5907,5767,4516,5088,2934,2246,2745,0,2015-01-22 12:52:44,1506
237307,193004,52684,32277,0,0,67737315827.333176,731817541.42989,2831,2226,0,0,0,0,118690,96502,0,0,0.0,0.0,12.197999999999999,8.025,0.0,0.0,0.0,0,0,0.0,0.0,4553,4506,4066,4444,2433,1989,2277,0,2015-01-22 12:56:54,1416
258792,175638,57695,29350,0,0,101095037023.5227,665462073.5631001,2902,2022,0,0,0,0,129599,87908,0,0,0.0,0.0,11.475999999999999,6.969,0.0,0.0,0.0,0,0,0.0,0.0,5632,5604,4397,4813,2902,2312,2809,0,2015-01-22 13:01:04,1454
358158,195220,80086,32625,0,0,173202056504.56683,739883093.41461,3758,2250,0,0,0,0,179079,97610,0,0,0.0,0.0,15.639999999999999,7.7490000000000006,0.0,0.0,0.0,0,0,0.0,0.0,11185,11022,6270,6798,4835,3333,4634,0,2015-01-22 13:05:14,1879
247706,60938,55881,10179,0,0,162152010747.2493,228732830.81298,2202,702,0,0,0,0,123853,30469,0,0,0.0,0.0,8.305,2.441,0.0,0.0,0.0,0,0,0.0,0.0,9544,9511,4217,4395,3689,2499,3617,0,2015-01-22 13:09:24,1101
184728,4128,41964,696,0,0,146844141045.6095,15341775.7813,1422,48,0,0,0,0,92364,2064,0,0,0.0,0.0,4.884,0.13999999999999999,0.0,0.0,0.0,0,0,0.0,0.0,7471,7473,2851,2860,2814,1969,2816,0,2015-01-22 13:13:34,711
113254,3902,25733,667,0,0,84954006531.0939,15155569.8125,880,46,0,0,0,0,56627,1951,0,0,0.0,0.0,3.456,0.184,0.0,0.0,0.0,0,0,0.0,0.0,2981,2971,1510,1538,1466,1216,1463,0,2015-01-22 13:17:44,440
73150,3270,16609,551,0,0,58024706615.7189,12626502.25,572,38,0,0,0,0,36575,1635,0,0,0.0,0.0,2.0780000000000003,0.15999999999999998,0.0,0.0,0.0,0,0,0.0,0.0,1378,1378,814,817,785,734,783,0,2015-01-22 13:21:55,286
28700,3140,6498,522,0,0,21578580245.3126,11831618.5938,234,36,0,0,0,0,14350,1570,0,0,0.0,0.0,0.8470000000000001,0.124,0.0,0.0,0.0,0,0,0.0,0.0,429,427,324,340,291,283,289,0,2015-01-22 13:26:05,117
101034,3466,22940,580,0,0,94805380638.5938,13190249.875,784,40,0,0,0,0,50517,1733,0,0,0.0,0.0,2.4880000000000004,0.137,0.0,0.0,0.0,0,0,0.0,0.0,2625,2625,1290,1322,1257,1042,1253,0,2015-01-22 13:30:19,392
76386,4322,17335,725,0,0,60798986171.922,16009096.5938,602,50,0,0,0,0,38193,2161,0,0,0.0,0.0,2.064,0.187,0.0,0.0,0.0,0,0,0.0,0.0,1911,1909,979,977,930,777,938,0,2015-01-22 13:34:24,301
3930,4826,868,812,0,0,14947417.344,18353617.1875,56,56,0,0,0,0,1965,2413,0,0,0.0,0.0,0.24900000000000005,0.232,0.0,0.0,0.0,0,0,0.0,0.0,36,38,116,87,44,36,45,0,2015-01-22 13:38:41,28
4676,5732,1023,957,0,0,17505914.84004,21464692.15625,66,66,0,0,0,0,2338,2866,0,0,0.0,0.0,0.27,0.183,0.0,0.0,0.0,0,0,0.0,0.0,35,37,94,115,41,35,40,0,2015-01-22 13:42:51,33
4484,5508,992,928,0,0,16795842.9066,20626701.4063,64,64,0,0,0,0,2242,2754,0,0,0.0,0.0,0.30400000000000005,0.199,0.0,0.0,0.0,0,0,0.0,0.0,34,34,101,107,42,34,39,0,2015-01-22 13:46:58,32
103658,127146,22754,21286,0,0,387043848.22054005,474744853.80114996,1468,1468,0,0,0,0,51829,63573,0,0,0.0,0.0,7.061,5.497,0.0,0.0,0.0,0,0,0.0,0.0,2252,2239,2197,2566,1080,786,947,0,2015-01-22 13:51:23,734
159372,195322,34999,32712,0,0,682630510.4424801,735116115.06288,2258,2256,0,0,0,0,79686,97661,0,0,0.0,0.0,10.603,8.194,0.0,0.0,0.0,0,0,0.0,0.0,3496,3486,3358,3785,1659,1221,1501,0,2015-01-22 13:55:14,1129
161376,198094,35743,33408,0,0,671120695.1056,744901166.36759,2306,2304,0,0,0,0,80688,99047,0,0,0.0,0.0,10.419999999999998,8.265,0.0,0.0,0.0,0,0,0.0,0.0,3382,3304,3778,5169,1650,1212,1608,0,2015-01-22 13:59:24,1153
159694,196206,35371,33089,0,0,594610191.03479,730582120.6800799,2282,2282,0,0,0,0,79847,98103,0,0,0.0,0.0,10.544999999999998,8.331000000000001,0.0,0.0,0.0,0,0,0.0,0.0,3254,3310,3927,5458,1685,1209,1605,0,2015-01-22 14:03:34,1141
175530,215402,38626,36134,0,0,653146591.30816,801565391.3604,2492,2492,0,0,0,0,87765,107701,0,0,0.0,0.0,11.515999999999998,9.223,0.0,0.0,0.0,0,0,0.0,0.0,3904,3823,4001,5172,1860,1324,1696,0,2015-01-22 14:07:44,1246
174217,212347,38100,35439,0,0,1239429830.06561,804115071.1842899,2457,2443,0,0,0,0,87141,106214,0,0,0.0,0.0,10.17,7.9959999999999996,0.0,0.0,0.0,0,0,0.0,0.0,3986,3848,3726,4166,1777,1293,1579,0,2015-01-22 14:11:54,1229
164668,201172,35991,33553,0,0,875627808.6967,754545352.22701,2322,2314,0,0,0,0,82334,100586,0,0,0.0,0.0,10.886,8.106000000000002,0.0,0.0,0.0,0,0,0.0,0.0,3578,3554,3481,3809,1649,1237,1520,0,2015-01-22 14:16:04,1161
134720,165120,29450,27550,0,0,502662281.88479996,616166260.0626,1900,1900,0,0,0,0,67360,82560,0,0,137457.86,137457.79200000002,137467.07599999997,137464.84999999998,0.0,0.0,0.0,0,0,0.0,0.0,2744,2660,2606,3203,1309,1011,1234,0,2015-01-22 14:20:14,950
139516,170940,30442,28478,0,0,518307106.75244,635084496.9848001,1964,1964,0,0,0,0,69758,85470,0,0,0.0,0.0,9.873000000000001,7.351000000000001,0.0,0.0,0.0,0,0,0.0,0.0,2759,2799,2897,3176,1326,1030,1258,0,2015-01-22 14:24:24,982
145587,177382,31964,29698,0,0,1281941533.8614001,662760139.7895901,2059,2046,0,0,0,0,72903,88776,0,0,0.0,0.0,9.655,6.932,0.0,0.0,0.0,0,0,0.0,0.0,3050,3009,3075,3540,1474,1116,1385,0,2015-01-22 14:28:34,1031
148678,182034,32676,30479,0,0,1151410951.05569,685733316.40655,2106,2102,0,0,0,0,74412,91017,0,0,0.0,0.0,9.170000000000002,7.199000000000001,0.0,0.0,0.0,0,0,0.0,0.0,3131,3152,3044,3372,1500,1110,1356,0,2015-01-22 14:32:44,1054
152162,186498,33263,31117,0,0,572614086.2906001,701875975.5003,2146,2146,0,0,0,0,76081,93249,0,0,0.0,0.0,9.657,7.883000000000001,0.0,0.0,0.0,0,0,0.0,0.0,3129,3249,3127,3532,1488,1136,1396,0,2015-01-22 14:36:54,1073
157960,192724,34757,32248,0,0,825355630.0125101,724142404.96552,2236,2224,0,0,0,0,79195,96362,0,0,0.0,0.0,9.825,7.933,0.0,0.0,0.0,0,0,0.0,0.0,3478,3560,3314,3724,1620,1184,1445,0,2015-01-22 14:41:04,1121
