sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
1490736,1694204,14322,13398,924,1078,411045214.5978581,660386324.715522,4336,4036,117810,117810,1023226587183,987667179469,114576,156892,0,0,2615806.75846,754271.574779,35551.643302,36014.09243800001,0.8488910000000001,0.720145,0.128746,0,0,0.0,0.0,1374,1334,2190,2255,470,462,1173,0,2015-01-22 11:50:43,462
1249976,1422474,11997,11223,774,903,560766438.089827,740879917.992411,3656,3422,98685,98685,876350154570,793971956646,95976,131540,0,0,551404.4236709999,196531.033504,7401.993274,8571.629157,0.279174,0.21212499999999998,0.067049,0,0,0.0,0.0,1291,1197,1686,1918,387,387,1108,0,2015-01-22 11:54:53,387
1297176,1471100,12400,11600,802,932,447138518.635793,674389650.765012,3774,3522,102000,102000,878347445259,875152346292,99590,136303,0,0,851357.538934,275134.05963100004,11512.896980000001,12578.111326,0.286972,0.222118,0.064854,0,0,0.0,0.0,1304,1264,1861,2078,406,400,1153,0,2015-01-22 11:59:03,400
1183024,1367704,11439,10701,735,862,374480080.648717,532915287.81822604,3474,3232,94095,94095,795628514323,803833724723,90927,127123,0,0,921467.1777900001,304811.77115600003,12304.464679,14095.460831,0.283883,0.22233,0.061553,0,0,0.0,0.0,1209,1231,1615,1730,373,369,976,0,2015-01-22 12:03:21,369
1393696,1580170,13361,12499,863,1003,436178686.832271,654009130.851237,4050,3756,109905,109905,888310042934,950472748180,107084,146630,0,0,716758.072439,239125.713283,9723.130055000001,11778.141716999999,0.34497500000000003,0.26392899999999997,0.081046,0,0,0.0,0.0,1371,1412,1946,2081,431,431,1236,0,2015-01-22 12:07:23,431
881816,1005330,8463,7917,546,637,414120250.32237697,631648957.50772,2580,2388,69615,69615,549565600050,553872765865,67704,93231,0,0,336527.957149,116466.890791,4533.15891,5251.016839,0.19575,0.149335,0.046415,0,0,0.0,0.0,891,906,1307,1411,273,273,847,0,2015-01-22 12:11:33,273
1104688,1261588,10602,9918,684,798,289889794.509694,519831471.885464,3232,3000,87210,87210,704101051180,700918360581,84816,117019,0,0,1255097.632239,414457.99647600006,16859.299654,17402.549131,0.2531,0.195921,0.057179,0,0,0.0,0.0,1102,1084,1396,1590,346,342,887,0,2015-01-22 12:15:46,342
1150896,1307704,11225,10470,712,832,1510533355.8206255,771159363.059011,3362,3107,92310,92055,773166616128,813018906565,91163,122314,0,0,446050.444315,148698.90506299998,6008.904087999999,7555.710647000001,0.267588,0.207527,0.06006099999999999,0,0,0.0,0.0,1278,1206,1590,1907,368,362,1091,0,2015-01-22 12:19:56,362
1307488,1494778,12555,11745,810,945,396862011.81040704,658916920.82635,3814,3534,103275,103275,882261873139,863478601590,100440,138769,0,0,833645.00464,277813.997309,11361.085438,12973.065974000001,0.29173,0.22069699999999998,0.07103300000000001,0,0,0.0,0.0,1309,1315,1810,1989,415,405,1076,0,2015-01-22 12:24:24,405
1357112,1557502,13082,12238,842,986,437619992.15193,733236212.0886,3978,3692,107610,107610,938750934342,927073558670,104266,144411,0,0,615247.262612,195336.28113100003,8296.251166,9791.042209,0.364722,0.282864,0.08185800000000001,0,0,0.0,0.0,1313,1422,2051,2110,426,422,1234,0,2015-01-22 12:28:16,422
1095428,1276466,11038,10325,689,813,449084850.018308,677443331.68379,3265,3046,90780,90780,801169205849,751911958195,86325,120407,0,0,475634.11539399996,173127.12919099999,6551.507459,7743.64077,0.26141800000000004,0.199346,0.062072,0,0,0.0,0.0,1099,988,1608,1774,358,356,1060,0,2015-01-22 12:32:23,356
1424384,1626066,13671,12789,882,1029,459575992.15349805,782665930.093017,4166,3876,112455,112455,981911701834,970662688270,109368,150759,0,0,1215551.551807,419645.83232600003,16427.69413,17693.84603,0.314245,0.24216300000000002,0.072082,0,0,0.0,0.0,1451,1403,1897,2063,443,441,1165,0,2015-01-22 12:36:33,441
1577152,1789928,15128,14152,977,1137,466507054.161542,737258366.916051,4576,4240,124440,124440,1105434184442,1057714036761,121219,166214,0,0,1541230.338736,462594.304641,21203.942676,23376.233601,0.407467,0.276611,0.130856,0,0,0.0,0.0,1544,1650,2159,2329,500,488,1278,0,2015-01-22 12:40:46,488
865468,1001308,8465,7917,535,634,488928467.398247,731177517.7169211,2553,2386,69615,69615,599883116387,611775487084,67546,93361,0,0,222857.58396300004,88835.206976,3010.164044,3540.7560750000002,0.22029700000000002,0.16945400000000002,0.050843,0,0,0.0,0.0,789,771,1239,1433,273,273,867,0,2015-01-22 12:44:53,273
1061168,1188208,10075,9425,654,754,527272546.01044893,763670066.304302,3074,2850,82875,82875,700231966424,705188238422,81714,110202,0,0,382443.76939300005,130500.659,5106.456656,6156.616592,0.26097499999999996,0.207646,0.053329,0,0,0.0,0.0,1050,998,1436,1665,329,325,930,0,2015-01-22 12:49:03,325
1375312,1578266,13268,12412,854,1000,515040039.040776,745868898.247822,4012,3764,109140,109140,886177090840,917444605808,105754,146192,0,0,700757.5090109999,243323.36464600003,9324.244847,10335.404276,0.325136,0.24808199999999997,0.077054,0,0,0.0,0.0,1554,1424,1831,2083,436,428,1145,0,2015-01-22 12:53:15,428
