sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
1512842,38406829,38247,48369,1807,14170,65844357.317782,207649197.211895,18040,33044,178245,178245,1512058197417,1440316241385,84876,300619,569,15953352,24549342.872558,5804070.51579,287590.954099,221501.16676000002,8.423487,3.1181920000000005,5.305294999999999,0,126,570.0,0.0,1798,1755,2586,2704,1173,703,961,126,2015-01-22 11:50:16,699
2106363,67872445,38504,48466,1650,23926,87747277.038871,242724014.10441202,26192,51916,149685,149685,1270289750280,1266361446078,70807,312241,521,27868492,3904991.220052,2791741.351525,42763.879375000004,36330.088971000005,23.114659000000003,11.750714,11.363945,0,141,551.0,0.0,1211,1145,1510,1704,713,597,734,134,2015-01-22 11:54:24,587
4863655,66210597,44239,52279,2993,23611,330640999.66966903,465676170.671552,29646,52952,198900,198900,1684173424619,1701613312458,135354,344598,689,29794189,4609324.860521,3272572.532578,50826.301628,42752.0659,29.073091999999995,15.412580000000002,13.660511999999999,0,133,739.0,0.0,1461,1405,2321,3420,959,798,1020,130,2015-01-22 11:58:34,780
3247473,88892486,34971,39987,2452,31621,275932121.278446,492515019.1793339,33116,68682,192780,192780,1639117358244,1617671344032,94760,389681,724,35380862,4636327.210802,3574030.2449209997,48349.022189,37449.048325,13.841821,7.3302499999999995,6.511571,0,81,789.0,0.0,1451,1451,2325,3210,933,775,985,81,2015-01-22 12:02:44,756
2195982,83704558,29844,35744,1654,29245,23726865.171370003,202332842.537605,32166,62934,153510,153510,1276079961886,1308501632708,69256,372153,568,38040909,4576033.059483,3583896.211461,48083.289636999994,37497.678351,11.123649,5.839377000000001,5.284272,0,82,591.0,0.0,1055,1084,1563,1715,725,610,713,81,2015-01-22 12:06:54,602
2614910,96757025,30070,38664,1957,33905,50092477.360891,315642134.29728997,36986,72886,177225,177225,1464049695146,1500762195124,80307,436191,663,40339254,5114352.227568,4113528.058745,53458.01307,39770.40276,12.634481000000001,6.723776000000001,5.910705,0,83,720.0,0.0,1296,1324,1872,1881,821,711,846,83,2015-01-22 12:11:04,695
2702677,98611376,31264,38610,1863,34415,41427772.423363,277861632.969694,37200,73498,164985,164985,1370654465597,1392530463580,76732,410609,642,44262306,4553660.9161559995,3700489.1422699997,45919.092248999994,34278.957366,5.540417,1.344042,4.196375,0,89,679.0,0.0,1239,1282,1680,1801,785,665,769,89,2015-01-22 12:15:14,647
2410409,77755622,35231,43704,1913,27164,53060459.475036,320681465.009834,29809,59623,168555,168555,1455007987839,1370895547141,82471,394199,635,29454805,4583390.972859,3687602.293277,46320.28427,35848.479907,6.810955,1.8706829999999997,4.940272,0,110,692.0,0.0,1250,1226,1792,1717,785,677,775,110,2015-01-22 12:19:24,661
2875377,94809234,33806,42540,2122,33266,58856260.033114,347046820.514881,36284,71758,183855,183855,1551797759588,1577152766818,85123,439111,707,41179424,5047439.682035001,4112268.064689,51332.098026,38341.069612,7.160736999999999,2.4725070000000002,4.688229999999999,0,97,773.0,0.0,1484,1392,1937,2024,880,736,854,97,2015-01-22 12:23:34,721
2410621,78021878,36823,43401,2093,27541,80549937.385208,368807326.239464,31558,60432,189465,189465,1634613989225,1581953238141,89841,426014,717,35272846,5272219.635993,4259889.725795,53605.421062,41590.136958999996,8.813600000000001,3.6957649999999997,5.117835,0,98,806.0,0.0,1404,1470,2233,2325,937,779,941,98,2015-01-22 12:27:45,743
2696419,104064252,34091,43194,1948,35852,150206417.236367,369721080.07598996,38397,77953,185640,185640,1540903297891,1532568444275,83277,438198,708,46914508,4648669.157734999,3787029.0245120004,47933.902699,35496.45004,5.854646000000001,1.839105,4.015541000000001,0,103,748.0,0.0,1445,1394,2114,2447,925,744,967,99,2015-01-22 12:31:55,728
2275287,74276522,31508,42172,1965,26222,128722993.08457601,358832261.455641,29800,57642,182580,182580,1558219620503,1517022681215,87419,403347,691,31122697,4965908.09678,4036785.8064369997,52338.084501000005,38860.95596000001,7.885065,3.182801,4.7022639999999996,0,96,828.0,0.0,1427,1487,1974,2322,916,767,929,96,2015-01-22 12:36:04,716
2613745,99318811,32324,38646,1934,34779,39800779.278457,254733321.00861502,37020,74486,173145,173145,1458406339942,1462260256536,77608,428025,398,22474609,4964200.692142,4000672.135565,50880.691934999995,39364.854136,8.629486,4.157433,4.472053,0,85,437.0,0.0,1358,1308,1938,1956,845,706,842,85,2015-01-22 12:40:14,679
2765815,84279997,43704,51788,1988,29213,50888691.00046001,353473533.051541,33120,63758,169065,169065,1442740724914,1433834479584,81078,381194,13,1604422,5907021.288724001,3453132.6972129997,60202.758408999995,55588.829024,20.341145,10.793647,9.547498000000001,0,146,54.0,0.0,1181,1185,1744,1814,823,716,827,139,2015-01-22 12:44:24,663
2089050,74933598,30681,38663,1757,26285,34645374.564638,310989235.45578396,28333,57282,157590,157590,1340709746673,1311007690253,74417,371468,8,27468,4693560.038032999,3669806.3462549997,49400.915317,39027.407997,12.150374,6.070925,6.079449,0,93,16.0,0.0,998,1062,1650,1730,728,642,777,93,2015-01-22 12:48:35,618
8146467,95684540,30570,37738,3917,33443,37125827.501535,270261040.737651,39808,72182,163200,163200,1364049356681,1424968756096,80537,404953,7,19783,6594594.573578,5118123.481481,67123.761306,49276.044266,13.157979999999998,6.930811,6.227169,0,86,14.0,0.0,1131,1114,1797,1885,760,656,762,86,2015-01-22 12:52:44,640
2157604,79253776,31053,37845,1775,27769,29827973.664919,265059777.989132,30714,60273,162180,162180,1372165161204,1405314295299,74289,384979,557,31606923,4995811.386012999,3761199.365339,53596.495512,40858.075186,14.102361,7.3358099999999995,6.766551,0,87,587.0,0.0,1114,1125,1707,1727,746,644,766,87,2015-01-22 12:56:54,636
1770540,50336406,35192,41660,1738,17838,35538664.653318,290622439.96398103,21302,40338,154530,154530,1292116514518,1318133654898,74334,344126,561,22681585,5256096.483533,3751572.618227,56049.315562,43562.412537,14.044595999999999,7.2399629999999995,6.804632999999999,0,112,631.0,0.0,1016,1006,1604,1628,729,622,736,108,2015-01-22 13:01:04,606
5087093,77682815,42354,51694,3027,27340,64829343.944213,296493634.068051,33021,60016,180030,180030,1491656653640,1529204798331,123391,399285,654,34064814,5059234.085034,3857738.991378,51054.957605999996,42035.890495,15.112025000000001,7.801553,7.310472000000001,0,140,690.0,0.0,1273,1254,1770,1970,866,720,846,137,2015-01-22 13:05:14,706
797260,31585501,9403,11491,546,11029,17293681.866674,93983779.86355598,11966,23518,52020,52020,471744624408,469436812034,23387,124969,192,14417706,1389907.0286190002,1122768.800882,14294.993504000002,10725.360832,2.514351,1.203481,1.31087,0,25,224.0,0.0,380,355,561,585,252,210,259,25,2015-01-22 13:09:24,204
10000,61008,186,174,18,30,66691.774427,414997.57814,82,108,1530,1530,12158960136,14326863929,732,3390,6,15862,55702.27901300001,48100.98808,529.9407530000001,394.133001,0.004033,0.003195,0.000838,0,0,20.0,0.0,8,8,16,10,9,8,8,0,2015-01-22 13:13:54,6
6528,40672,124,116,12,20,47381.72363000001,302177.32813,52,72,1020,1020,8660142807,6510460694,504,2260,4,11855,36598.569594,30705.194485000004,340.97778999999997,239.235001,0.00358,0.0024560000000000003,0.001124,0,0,8.0,0.0,4,4,9,17,4,4,6,0,2015-01-22 13:18:03,4
27518,1138730,186,174,17,395,93112.87500999999,2317421.46876,428,836,1530,1530,10368050682,12524536572,701,4283,6,543908,47618.606047,38861.199394,456.05898399999995,302.22819599999997,0.004445,0.0035450000000000004,0.0009000000000000001,0,0,12.0,0.0,6,6,23,11,6,6,6,0,2015-01-22 13:23:00,6
8316,50840,155,145,15,25,56801.02636999999,354408.51563,68,90,1275,1275,11644447408,11677007271,612,2825,4,11855,45530.763855,39200.466496,432.50365199999993,319.92535399999997,0.0033450000000000003,0.0026100000000000003,0.000735,0,0,18.0,0.0,5,5,19,21,11,10,11,0,2015-01-22 13:26:07,5
31048,1167962,279,261,25,408,685101.8661799999,11373870.60937,450,882,2295,2295,16274705469,18429993468,1052,6303,9,551839,65729.416601,54146.661148,647.688166,438.61578499999996,0.006323,0.004957,0.001366,0,0,18.0,0.0,9,9,23,22,9,9,11,0,2015-01-22 13:30:28,9
23526,1118394,124,116,11,385,55346.19043,1520543.8750000002,388,800,1020,1020,7722928230,9970792815,437,3153,4,11855,29004.511772000005,23823.519192,298.911613,200.4683,0.002813,0.0022040000000000002,0.0006090000000000001,0,0,8.0,0.0,4,4,12,14,4,4,6,0,2015-01-22 13:35:29,4
