sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
10439182,774128,8791,12535,4927,1916,923129209.577337,81812743.570631,13444,9632,61200,61200,506805079148,530125641267,173311,19308,0,0,2069774.8989700002,70188.154777,15538.049068999997,19702.63328,1.609629,0.611507,0.9981220000000001,0,25,0.0,0.0,313,323,785,862,258,242,292,25,2015-01-22 11:50:39,240
14850831,765594,8859,13001,6529,1853,1265696115.137449,112349124.75254402,16502,9800,59415,59415,479030587703,519055013007,167515,18733,0,0,185325.428134,6269.546542,2441.646858,3795.677308,4.094670000000001,1.9264899999999998,2.1681799999999996,0,30,0.0,0.0,303,303,626,771,247,237,284,28,2015-01-22 11:54:24,233
11603480,776056,9008,13902,5400,1922,1471152417.394835,129927474.05445603,14346,9738,61455,61455,480832537537,505951741285,172543,19382,0,0,274665.682258,9176.578926,3575.744157,5365.537959,6.616287999999999,3.22415,3.392138,0,31,0.0,0.0,285,301,695,796,251,245,307,31,2015-01-22 11:58:34,241
23436393,842720,9318,14968,9902,1967,1304647879.936967,114587414.01821199,23410,11182,62985,62985,489076836705,530809918786,175134,19771,0,0,291252.31977000006,9906.719246,3616.8078550000005,5438.714749999999,5.953276,2.9476590000000007,3.005617,0,39,0.0,0.0,333,321,709,836,262,247,311,35,2015-01-22 12:02:45,247
20071325,900978,9988,17312,8711,2177,1004766089.54064,89037524.410541,21405,11660,69870,69870,582719540821,559724013558,200846,21890,0,0,316330.448482,11270.759829999999,3840.901528,6185.2903989999995,5.882680000000001,3.243973,2.638707,0,42,0.0,0.0,334,362,724,860,282,276,314,42,2015-01-22 12:06:54,274
25447869,924220,9994,16750,10798,2160,1056727593.5215502,93550137.452828,25518,12262,68850,68850,549031794853,535175843031,192082,21583,0,0,275590.152973,9035.841825,3755.1914699999998,5427.705061000001,5.472835,2.989289,2.483546,0,40,0.0,0.0,350,326,735,869,286,270,335,40,2015-01-22 12:11:04,270
12726567,810952,9324,13242,5877,1990,1180633369.0760899,104104515.17496,15468,10202,63495,63495,544095251006,565601981518,174450,20037,0,0,144441.491822,4817.455844,1895.687903,2572.037523,1.676776,0.42847,1.248306,0,27,0.0,0.0,341,325,657,799,261,249,303,27,2015-01-22 12:15:14,249
15378539,938153,10429,15604,6988,2302,1232427191.9837098,108791451.85985899,18404,11813,74460,74460,616037436230,645738239856,208350,23429,0,0,245963.36369700002,10125.087405999999,2980.1956130000003,4182.799939,2.125253,0.718618,1.406635,0,32,0.0,0.0,400,414,715,929,306,294,340,32,2015-01-22 12:19:24,292
11108200,907160,10025,14645,5448,2254,1320444689.4060202,116727160.55378601,15120,11232,71910,71910,616314268594,636097672084,197993,22790,0,0,179580.49749500002,6006.66323,2300.654426,3171.8651050000003,2.013214,0.7028969999999999,1.310317,0,29,0.0,0.0,392,390,814,938,300,290,363,29,2015-01-22 12:23:34,282
11871043,924610,10304,15488,5767,2302,1260654876.38239,110923967.05873299,15824,11484,73440,73440,645566065794,637981277367,204218,23175,0,0,196256.204762,6622.93108,2499.8203460000004,3582.610347,2.59489,1.006681,1.588209,0,32,0.0,0.0,397,400,818,985,314,296,376,32,2015-01-22 12:27:45,288
12375657,838759,10551,14825,5697,2062,1107822139.3500452,98989922.05149299,15418,10510,67575,67575,582220544301,557624244234,186632,21322,0,0,202214.742938,15830.674878999998,2530.209256,3610.1068,1.862271,0.501088,1.361183,0,34,0.0,0.0,354,365,791,869,286,265,325,32,2015-01-22 12:31:54,265
11854658,954792,11853,16815,5719,2409,1108343651.1208,98261928.092879,15931,11827,77265,77265,652662036401,684987005609,211642,24431,0,0,264050.406667,8568.715413999998,3467.79947,4619.097869,2.7975499999999993,1.1704510000000001,1.627099,0,36,0.0,0.0,430,427,850,1018,317,305,387,36,2015-01-22 12:36:05,303
