sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
1303040,1768286,6665,6235,3133,3661,339140449.303314,477511633.41663295,13572,13036,54825,54825,462223239218,466577411584,21782,34577,0,0,919197.7327320001,807001.8233389999,7089.9402,7231.192578,0.18168499999999999,0.135463,0.046222,0,0,0.0,0.0,293,299,661,686,231,217,253,0,2015-01-22 11:50:23,215
1314216,1938354,10943,10237,2471,2471,758833919.56523,1108378353.40811,11262,8588,90015,90015,803297944660,764688518567,41369,79731,0,0,124373.68429199999,4496.301091,1840.9435819999999,2424.938686,0.27338300000000004,0.215737,0.057645999999999996,0,0,0.0,0.0,577,591,988,980,397,353,425,0,2015-01-22 11:54:26,353
1166448,1804394,7471,6989,2509,2839,519561111.65262306,759671943.18631,11220,9822,61455,61455,493756838161,504577973187,28009,53747,0,0,93737.80969000001,7496.623181,1289.725515,1680.1132870000001,0.203073,0.156031,0.047042,0,0,0.0,0.0,325,327,760,737,261,241,277,0,2015-01-22 11:58:37,241
1260688,2026452,6014,5626,3002,3662,356411113.40634704,520697337.28751796,13252,12620,49470,49470,425204272064,393056839698,22257,42606,0,0,246469.628511,17965.178828000004,2938.3519880000003,3868.3188579999996,0.156596,0.12221500000000002,0.034381,0,0,0.0,0.0,261,260,648,646,210,198,244,0,2015-01-22 12:02:47,194
1582296,1930022,5394,5046,3127,3507,248915108.037552,319990823.140092,13142,12690,44370,44370,385803389336,362240598060,22472,31544,0,0,114399.389161,63727.353233,1654.8402330000001,1897.263685,0.140041,0.113146,0.026895000000000002,0,0,0.0,0.0,218,212,477,509,188,174,199,0,2015-01-22 12:06:56,174
1423000,1650890,5053,4727,2856,2979,292675685.8247,373361162.13176,11602,10956,41565,41565,346657535761,355271813833,20833,29413,0,0,73163.57416,48271.915715,1084.065605,1189.689094,0.14401999999999998,0.117401,0.026619000000000004,0,0,0.0,0.0,205,207,475,461,165,163,197,0,2015-01-22 12:11:13,163
1361528,1693432,9484,7096,3213,3138,421583646.92121,591521113.004243,12866,11474,59670,59670,492057301162,478515258223,25575,44079,0,0,3723010.55648,28365.331217,46333.175662999995,5017.749581,1.2302350000000002,0.648179,0.582056,0,0,0.0,0.0,410,423,743,702,340,236,375,0,2015-01-22 12:15:16,234
1384912,2154188,2605,2436,3961,5149,65587085.31262999,85587122.30898,16785,18232,21420,21420,165839020388,187336503398,7245,9365,0,0,65104.28638800001,53930.66723500001,1005.0743429999999,937.4098829999999,0.06331,0.050441,0.012869,0,0,0.0,0.0,100,92,248,232,84,84,97,0,2015-01-22 12:19:30,84
1377320,2125262,2542,2378,3930,5098,62786987.70531,81773737.74248001,16604,18006,20910,20910,172484751839,159635620521,7112,9121,0,0,46730.390908,37883.28745,746.8824399999999,694.5602089999999,0.086588,0.065787,0.020800999999999997,0,0,0.0,0.0,92,95,294,249,84,82,99,0,2015-01-22 12:23:41,82
1980288,2218438,3844,3596,3485,3973,171760669.39487004,176587350.02,14654,14106,31620,31620,256242919489,271332787730,19478,22879,0,0,101623.01176699999,76783.281257,1517.9938940000002,1667.1399239999998,0.10464300000000001,0.083458,0.021184999999999996,0,0,0.0,0.0,146,149,412,368,126,124,150,0,2015-01-22 12:27:46,124
