sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
14342984,132159800,122924,114338,21437,62359,2174578914,6389891934,132286,170840,772905,772905,6484640817665,6007543247295,473279,1156519,256,8498207,49060442,11283053,1658713,848061,0,0,0,12,25,257,31,25229,23518,21223,21967,10695,4109,8491,0,2015-01-22 11:50:14,3987
16067716,160085260,133462,114022,22175,72132,4331714529,11534364342,148604,187782,713745,713743,5922274665520,5892037556865,468433,1267378,304,12400746,4260068,2865787,1446041,464172,0,0,0,12,38,310,95,19068,18511,12694,14352,5010,3998,6858,0,2015-01-22 11:52:37,3812
15416508,153407424,147871,139899,20574,68435,4427575178,11617921547,140656,177428,718845,718845,6059542880935,6035610223718,473207,1226064,339,21892776,5597849,2602988,1473521,520650,0,0,0,12,159,369,79,17668,16618,12227,14295,4884,4004,6631,0,2015-01-22 11:55:37,3836
18866611,158915984,182928,172602,24434,73004,6108148737,12695511268,153290,195806,910350,910350,7621700784920,7585457166173,639661,1347244,445,22965569,6221225,3860981,1465551,534104,0,0,0,12,193,489,91,23865,23581,19374,23022,8773,4900,10820,0,2015-01-22 11:58:37,4736
22453990,164037126,206235,196144,27401,76269,4741123866,13685660534,162714,206895,929220,929220,7798089516756,7759437747820,635214,1386987,528,20056841,8557571,2969744,1478730,537725,0,0,0,12,277,570,60,27416,26734,20631,25302,9886,5043,11615,0,2015-01-22 12:01:37,4867
17934118,214949914,153041,136395,23980,91867,7102708950,11274897162,169258,233430,771885,771885,6570180795447,6530373384320,534745,1354811,445,30535394,10621221,4050782,1600345,665151,0,0,0,12,153,476,77,20541,19554,15449,17916,6495,4427,8330,0,2015-01-22 12:04:37,4269
21562958,198770320,275494,138376,25591,87297,59745222494,10290274879,172410,224428,773762,773670,6511285511922,6489627811750,568017,1339883,359,25240508,9334023,3699365,1672679,468310,24,4,5,12,1615,383,90,22853,21847,14394,15586,6279,4593,8243,0,2015-01-22 12:07:37,4455
18848100,226613368,205916,146356,24363,96484,12762001607,10121887364,177912,243004,724965,724965,6030719788394,6129658775707,506110,1399030,439,28638036,8177696,4150769,1451994,457845,3,0,0,12,690,475,67,19865,18215,12793,13962,5025,4312,6667,0,2015-01-22 12:10:37,4164
16931572,193917248,161012,134458,22733,84250,8470754679,11138155150,161640,215082,688245,688245,5815821220496,5842454295755,478623,1315070,391,26368228,8939685,3553078,1552543,530228,0,0,0,12,286,433,64,18989,17540,12318,13537,4626,4091,6453,0,2015-01-22 12:13:37,3929
16374278,171041946,116412,106222,22332,76291,3835387167,11810014795,152220,198174,658155,658155,5517767560420,5459331587406,456885,1319055,389,31062529,8503599,3269737,1361629,376223,0,0,0,12,24,420,53,17610,16778,11700,12790,4387,3843,5901,0,2015-01-22 12:16:37,3701
19502785,172067709,130114,111329,24491,77176,37073165203,10816805493,159089,206343,686715,686460,5778222787301,5790205946475,551662,1370891,405,20673057,5609216,3955546,1261125,524455,0,0,0,8,86,460,80,18504,17916,12696,14177,4849,4083,6600,0,2015-01-22 12:19:37,3933
17716773,181029152,119232,111105,23972,81121,4991505927,11866486259,161117,211843,678555,678300,5654055458256,5713725538505,488157,1388525,425,25957980,4951028,3679962,1165704,458990,0,0,0,12,31,543,65,18456,17472,12266,13712,4480,4000,6284,0,2015-01-22 12:22:37,3826
19978230,227625192,135996,127150,27529,99355,3411520070,11359781524,189184,256006,751230,751230,6304913396043,6286452763450,540543,1622965,457,28138537,6486741,4530439,1506695,540673,0,0,0,12,45,493,89,20193,18984,14937,16429,5151,4423,7019,0,2015-01-22 12:25:37,4273
22134922,184645052,140498,131636,27651,84242,3792190193,13529124640,176681,224221,755310,755310,6387362193762,6376951139200,580944,1631122,455,22101994,5401365,3962156,1166313,437606,0,0,0,12,63,533,84,20898,19763,15181,16811,5356,4495,7485,0,2015-01-22 12:28:37,4289
19489410,197297105,133938,125036,24310,85593,5031209152,11916355001,168576,223280,753015,752250,6342621001531,6297294616903,563891,1555446,492,38575277,5320530,3880337,1364680,416848,0,0,0,12,34,501,74,21091,20350,15276,17275,5925,4400,7899,0,2015-01-22 12:31:37,4278
18122000,175705038,172528,120196,23969,78182,90048321009,11623265321,160064,208106,757095,754290,6254991572835,6303505433368,634837,1454835,400,22062582,4865736,3289906,890111,432997,0,0,0,8,354,495,82,27109,25854,16356,18929,7710,4592,9730,0,2015-01-22 12:34:37,4366
19277422,201169192,135246,123572,25284,88865,10858077693,11458565311,171144,229434,738990,738990,6201632852709,6271049028774,548958,1474076,452,26488599,5998093,3973953,1363327,439370,0,0,0,12,59,615,84,19748,18637,14426,16797,5611,4383,7621,0,2015-01-22 12:37:37,4171
21689218,226423690,174356,158942,28626,99674,14833775390,11424432595,193618,256682,775200,775200,6578615938075,6544813407234,601194,1594813,310,17788284,11320034,4616505,1534514,593522,0,0,0,12,221,352,89,18779,18539,14771,16017,5209,4592,7240,0,2015-01-22 12:40:37,4406
19602293,205622336,150018,124710,24950,89328,66946892524,12195428353,174819,229270,697935,696915,5788551884507,5823320170471,553589,1488158,8,544074,5256213,3708373,884043,431803,0,0,0,8,72,24,69,17891,16451,13614,15274,5648,4847,7343,0,2015-01-22 12:43:37,4233
17222680,168002089,185569,149899,22926,73877,115277179624,12612843071,152019,195521,735165,732870,6244922765649,6206314427912,535728,1299120,26,1092892,16997838,3599838,1469977,596992,0,0,0,12,214,160,66,21582,20481,13274,15515,6437,5377,8078,0,2015-01-22 12:46:37,4317
16022314,125113080,146491,109359,20678,59299,108491021726,14078224974,130379,159685,681360,681105,5749018885556,5721303784613,540818,1259042,6,19620,4211674,3104228,1344707,492580,0,0,0,12,35,12,74,20177,19731,13496,14814,6146,5205,7745,0,2015-01-22 12:49:37,4225
18019985,182413394,167181,139867,24122,81674,73789717195,12311013125,162702,211736,714510,714510,5832077533203,5945057953663,550169,1369534,6,15859,9971840,4876363,1346837,487533,0,0,0,12,140,12,80,19918,18570,13416,15327,5672,4989,7402,0,2015-01-22 12:52:37,4295
20600488,240854804,180309,134223,26596,102872,67465662342,10574743603,192884,259806,737460,736950,6070633607414,6207595537334,568623,1535325,202,13219755,7119176,4533607,1324449,476148,2,0,0,12,150,209,87,18811,17913,14467,15745,5590,4982,7541,0,2015-01-22 12:55:37,4432
17730328,126830657,172493,145944,21976,61225,51278158717,12192528894,140490,167399,709410,708900,5815067155952,5945299833652,561504,1295763,363,20544958,12759661,3420609,1367945,543083,1,0,0,12,167,393,75,17713,16439,12994,14283,5216,4736,6878,0,2015-01-22 12:58:37,4198
19000410,147325227,181277,156469,24288,69621,92102307625,12236730448,154575,189521,721650,719610,6096127586467,6035904010429,588868,1308109,370,14853173,5676224,3306312,1358656,490083,5,1,1,12,447,484,70,20026,19030,13896,15265,5968,5251,7826,0,2015-01-22 13:01:37,4411
19416132,220464478,172214,204282,25159,95363,117236609201,9354186826,180165,241109,766706,766786,6362691350299,6421911239797,629965,1404541,414,26450964,12024678,4882331,1392810,613381,4,1,0,12,1110,452,81,22717,22000,15037,16464,7578,5784,9158,0,2015-01-22 13:04:37,4728
23796979,215193100,156376,117139,25707,92480,118506976567,8686935950,176717,234637,665550,665295,5597998251668,5637378611076,615318,1332358,403,24756290,5612894,4024300,1380956,492347,0,0,0,12,57,435,68,21154,21245,14421,15598,6874,5593,8706,0,2015-01-22 13:07:37,4355
16790244,155979388,157507,108339,22643,71541,129966410803,12666248724,148972,188948,672690,672435,5700132654181,5608217866792,548005,1315957,8,27468,4243228,3155011,1145463,496659,0,0,0,12,93,16,0,39475,37443,14182,15530,6859,5601,8444,0,2015-01-22 13:10:37,4319
16443247,153593473,149395,108303,21970,68994,125070436315,12715743710,144900,183908,688245,686970,5823560095777,5725422093121,557392,1311675,6,15862,4595555,3246162,1244908,357326,0,0,0,12,24,20,1,39928,37905,14343,15428,6469,5375,8186,0,2015-01-22 13:13:37,4319
16106703,135209424,141998,112789,23070,64376,73402164933,14802162627,141669,176123,705075,705075,5932898710962,5831585978198,519214,1268566,4,15696,4179506,2773701,1362408,477213,0,0,0,12,42,8,0,38527,36521,13244,14707,5417,4855,7241,0,2015-01-22 13:16:37,4123
16674673,164846408,150004,146144,25572,77074,61256212616,14348851910,158501,205970,740775,740775,6317425978968,6265716854510,510547,1309079,1,83,5442125,3092476,1428474,542483,0,0,0,12,174,2,0,38985,37141,13462,14750,5258,4773,7186,0,2015-01-22 13:19:37,4203
16581772,162626702,211004,152212,25642,75978,63873556512,15226965300,157648,203794,811442,742305,6326092147056,6367708380104,512687,1307485,4,536060,7161692,3915204,1331037,445107,0,0,0,12,1837,8,0,40786,37293,13475,15256,5130,4761,7381,0,2015-01-22 13:22:37,4397
17549854,202710282,205244,159168,24974,88247,42888341521,12321913177,166521,226214,786675,753270,6245348716434,6329539717815,521432,1309497,13,28044,6803997,3382167,1374299,478405,21,9,4,12,1079,80,0,40683,38339,13179,14938,4974,4547,7130,0,2015-01-22 13:25:37,4259
18621036,207663662,162285,157209,25451,89732,55367491802,11848283351,169815,231286,742305,740775,6228588312988,6299242978640,537444,1298097,4,11855,6734586,3950799,1412484,503784,0,0,0,12,294,8,0,38540,35992,12434,13900,4688,4323,6353,0,2015-01-22 13:28:37,4073
16937345,170569379,150958,125742,24747,77217,105142285082,14392011110,156063,204668,730320,729045,6176726597616,6294153672465,545396,1358405,6,540067,4508193,3016454,1314838,420469,0,0,0,12,150,12,0,39606,37394,13305,15050,5468,4878,7297,0,2015-01-22 13:31:37,4246
15914748,124534604,150817,118997,22650,60400,89240069167,15554400453,136844,166778,721650,721395,6117389879254,6037708389942,540758,1349086,3,11772,4956523,3164582,1377728,491778,0,0,0,13,130,6,0,39441,37443,13275,14721,5211,4667,7097,0,2015-01-22 13:34:37,4147
17152262,186932194,118569,110453,23428,81711,4212133588,13019588993,157841,210912,683655,683655,5774643693180,5737808359635,474252,1312886,8,1588643,4263760,3055860,1306762,419388,0,0,0,12,38,16,0,41039,38778,11783,13203,4209,3822,5898,0,2015-01-22 13:37:37,3746
18100736,163694254,126497,110402,24738,75685,24503942397,13266181363,156666,201779,691305,691305,5850335490120,5696685041017,501638,1324137,15,24284,5184037,3307233,1328411,480206,0,0,0,12,94,84,0,41661,39966,12370,13657,4605,3938,6369,0,2015-01-22 13:40:37,3838
19589937,211806210,131879,122367,25849,90826,6571069729,11645597587,176026,238187,761755,759390,6421130714144,6385471711863,534479,1491772,7,543908,4903894,3555306,1293208,444008,0,0,0,12,39,14,0,46573,43051,14137,16486,5520,4252,7272,0,2015-01-22 13:43:37,4178
21664780,208505691,141840,132830,25651,89433,6220086195,11729695153,175310,233584,777495,773925,6551288167477,6509539681258,558337,1555044,9,31392,5027511,3647468,1358372,501320,0,0,0,12,83,18,0,49605,47573,15469,17179,5762,4369,7817,0,2015-01-22 13:46:37,4309
23238834,207878954,131186,122747,27713,92065,3688105188,12525628795,182359,239661,766275,766275,6442629154339,6502186956900,559802,1578361,26,2152747,6155336,3986743,1418070,569839,0,0,0,12,24,94,5,49412,46365,14946,16787,5371,4364,7345,0,2015-01-22 13:49:37,4272
18142838,183181638,122214,114318,24658,82870,3759684442,12512262919,166104,216720,706350,706350,5956528974827,5951833818972,510511,1438464,362,27834646,4751005,3312203,1098577,490684,0,0,0,12,24,399,94,19686,19192,13285,14752,4598,4132,6646,0,2015-01-22 13:52:37,3982
18366054,192116993,122979,114968,24436,85569,3959567603,12161778020,167414,222356,706095,704820,5948754767103,5924954925926,518168,1477827,416,27496818,5368381,3807833,1359502,510087,0,0,0,12,24,464,85,19387,18460,13193,14837,4710,4187,6705,0,2015-01-22 13:55:37,4007
17476479,164391958,131323,122636,23791,75359,6308027570,13381267149,156161,201688,771630,770610,6435200369833,6425187278979,537882,1448551,430,26860520,4772893,3441020,1346477,497889,0,0,0,12,24,479,90,24290,22511,15897,19260,6762,4429,8598,0,2015-01-22 13:58:37,4277
18838661,152876441,151114,141325,27163,74346,5446839851,15607341550,163409,205847,942225,941460,7879124573252,7916696736426,592266,1457181,477,19360228,4494103,2772646,1281899,435228,0,0,0,12,24,513,76,31441,29773,21372,26351,9945,5067,11923,0,2015-01-22 14:01:37,4913
16659726,125144232,143170,133922,25179,63839,4964958857,16468428602,148078,179952,887400,887400,7337351154164,7243249566199,540515,1374069,460,16733862,4118474,2687621,909393,542830,0,0,0,8,16,490,58,30241,28805,20165,24840,9508,4808,11251,0,2015-01-22 14:04:37,4656
19047422,170441532,135047,126326,26243,79407,4181324173,13184671576,167461,213046,798150,798150,6820574412205,6706402572944,555779,1429177,448,17448085,4720294,3294859,1258073,410132,0,0,0,12,24,472,81,23845,23519,17407,20324,7166,4528,9024,0,2015-01-22 14:07:37,4394
19322370,199943051,128990,120610,24798,88052,4362630153,11203900932,172146,227683,740520,740010,6227794974686,6164345005277,547605,1448089,463,34321532,5143629,3673414,1343320,486649,0,0,0,12,24,511,75,22178,20996,15321,17546,5989,4349,7863,0,2015-01-22 14:10:37,4199
22710115,233268638,126463,117901,26197,98226,5962888412,9093650656,187243,252015,700485,697170,5972581053264,5890575480940,576466,1507201,486,27735804,6849424,4880496,1378264,528429,0,0,0,12,24,540,69,18333,17873,13658,14830,4863,4280,6650,0,2015-01-22 14:13:37,4122
19481708,201949791,122139,114202,24595,88566,4428976378,10745087292,172424,227149,687990,687990,5699490578686,5651962378741,536172,1387443,427,34294834,5677374,3624413,1331341,484083,0,0,0,12,24,457,77,18560,17657,13325,14249,4517,4114,6588,0,2015-01-22 14:16:37,3980
17237468,160422716,115859,108373,22979,73737,4262370555,13977621678,150246,193719,688755,688755,5800314796570,5813269122297,480465,1311335,351,22552111,4506899,3230966,1370520,522870,0,0,0,12,24,400,66,19104,17955,11944,13533,4225,3897,6005,0,2015-01-22 14:19:37,3773
16228604,138645824,116448,108924,22555,66385,4563048620,15478708236,142862,178467,697935,697935,5849775377109,5939482829358,473045,1310882,348,16295971,4495883,3218256,1437502,589076,0,0,0,12,24,384,74,19136,18093,12150,13552,4286,3922,6016,0,2015-01-22 14:22:37,3794
16818512,164366994,119414,111646,23045,74594,4551172638,14629639554,151082,196990,716040,716040,6011492069613,6062915773186,483083,1430769,369,23605937,4559614,3312940,1004409,310853,0,0,0,8,16,413,62,20064,19218,12455,13682,4422,4000,6207,0,2015-01-22 14:25:37,3886
20894823,158233412,122559,114445,25971,73997,7015872855,14569276112,158533,201519,733890,732870,6122562770570,6233944585709,504147,1454390,371,21560905,4970463,3765590,1093043,483839,0,0,0,12,24,426,72,20843,20363,13126,14921,4669,4165,6652,0,2015-01-22 14:28:37,3995
