ct_state_ttl_all,ct_dst_src_ltm_all,ct_dst_src_ltm_dns,sttl_ftp,Dintpkt_ftp,sbytes_http,sloss_http,Dintpkt_http,dttl_smtp,Djit_smtp
25.0,8491.0,1037.0,3131.0,13984.0,1000790.0,1161.0,208782.0,4437,67957
38.0,6858.0,862.0,3100.0,1521.0,858406.0,792.0,14436.0,4698,2250
159.0,6631.0,912.0,3038.0,1798.0,1369574.0,1018.0,17499.0,3973,1710
193.0,10820.0,1211.0,4494.0,4291.0,1683555.0,1302.0,18310.0,4321,1605
277.0,11615.0,1220.0,3211.0,1900.0,1470124.0,1380.0,20831.0,4524,1833
153.0,8330.0,983.0,3007.0,3603.0,1621430.0,1146.0,20818.0,4466,1996
1615.0,8243.0,968.0,4717.0,2573.0,1397582.0,1061.0,21173.0,4901,4121
690.0,6667.0,1023.0,2139.0,1207.0,1846938.0,1280.0,25108.0,4930,3853
286.0,6453.0,937.0,2387.0,2008.0,1442976.0,1081.0,20697.0,4524,2304
24.0,5901.0,950.0,2635.0,4217.0,1844794.0,1131.0,21420.0,4698,3541
86.0,6600.0,1069.0,3008.0,1906.0,1362151.0,1150.0,22589.0,5771,4753
31.0,6284.0,994.0,2387.0,1374.0,1564166.0,1220.0,23319.0,5133,2784
45.0,7019.0,1192.0,3472.0,3357.0,1499740.0,1289.0,24898.0,5336,2953
63.0,7485.0,1205.0,3007.0,1901.0,1844352.0,1362.0,26169.0,5191,3291
34.0,7899.0,1096.0,2790.0,1458.0,1707258.0,1225.0,23216.0,5107,3827
354.0,9730.0,1110.0,3224.0,4489.0,1249826.0,1119.0,19693.0,4872,3427
59.0,7621.0,1144.0,3565.0,5103.0,1572652.0,1233.0,25592.0,6090,5406
221.0,7240.0,1117.0,3596.0,3341.0,1884012.0,1245.0,24506.0,5916,5068
72.0,7343.0,2457.0,1891.0,707.0,1518242.0,1162.0,23490.0,5802,4654
214.0,8078.0,2934.0,2418.0,1141.0,1097030.0,907.0,17747.0,4383,2105
35.0,7745.0,2441.0,4574.0,1927.0,1547388.0,1104.0,21654.0,4669,2170
140.0,7402.0,1881.0,3038.0,2143.0,1644796.0,1158.0,32638.0,5220,3116
150.0,7541.0,1808.0,3193.0,2125.0,1687582.0,1199.0,23483.0,5588,3735
167.0,6878.0,1594.0,3224.0,3410.0,1208379.0,976.0,19278.0,5075,2922
447.0,7826.0,2180.0,2357.0,1555.0,1022961.0,1067.0,21435.0,5221,4128
1110.0,9158.0,3147.0,3131.0,2925.0,1682081.0,1263.0,23287.0,5336,3980
57.0,8706.0,3187.0,1953.0,1074.0,1296980.0,899.0,17197.0,4176,2400
93.0,8444.0,2396.0,31.0,38.0,11684.0,21.0,439.0,29,21
24.0,8186.0,1991.0,31.0,71.0,6632.0,12.0,261.0,29,147
42.0,7241.0,1349.0,31.0,89.0,4844.0,9.0,177.0,87,27
174.0,7186.0,835.0,1209.0,573.0,3264.0,6.0,120.0,87,28
1837.0,7381.0,447.0,3441.0,2754.0,29306.0,20.0,368.0,58,2
1079.0,7130.0,180.0,3410.0,3044.0,3368.0,6.0,134.0,29,70
294.0,6353.0,416.0,3069.0,1774.0,7418.0,14.0,241.0,58,49
150.0,7297.0,1105.0,2666.0,2622.0,25210.0,14.0,254.0,29,33
130.0,7097.0,748.0,2170.0,1809.0,23526.0,11.0,199.0,1160,971
38.0,5898.0,28.0,2852.0,1937.0,14428.0,27.0,548.0,5104,3111
94.0,6369.0,35.0,3038.0,2771.0,28474.0,20.0,406.0,5075,5503
39.0,7272.0,29.0,2976.0,2593.0,11832.0,22.0,519.0,4756,3502
83.0,7817.0,23.0,2883.0,3040.0,45668.0,21.0,334.0,5336,3130
24.0,7345.0,301.0,2635.0,1741.0,588762.0,281.0,5214.0,4321,2831
24.0,6646.0,1002.0,2077.0,1131.0,1291112.0,1031.0,19364.0,5365,4226
24.0,6705.0,1093.0,2294.0,1389.0,1576797.0,1159.0,22548.0,6033,4149
24.0,8598.0,1142.0,2387.0,1394.0,1476746.0,1167.0,19089.0,5601,7090
24.0,11923.0,1205.0,2604.0,3119.0,1437146.0,1283.0,18422.0,5597,4025
16.0,11251.0,1093.0,2852.0,3224.0,1214946.0,1193.0,18521.0,5046,3168
24.0,9024.0,1228.0,2325.0,1973.0,1598734.0,1266.0,21675.0,4640,2021
24.0,7863.0,1164.0,3938.0,7345.0,1666754.0,1286.0,25626.0,4787,2526
24.0,6650.0,1166.0,2728.0,1625.0,1715633.0,1327.0,27254.0,4497,2940
24.0,6588.0,1074.0,3224.0,2420.0,1873142.0,1213.0,23711.0,5686,4622
24.0,6005.0,888.0,2387.0,1118.0,1034388.0,894.0,17166.0,5337,5522
24.0,6016.0,895.0,2542.0,2042.0,1218962.0,1057.0,21098.0,5133,2990
16.0,6207.0,933.0,3317.0,7443.0,1412311.0,1072.0,19687.0,5308,3143
