sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
96284,17073051,1054,4284,119,6492,168807,11286096,2202,13052,4335,4335,28543980194,37235066045,786,14395,0,0,32333,17970,629,314,0,0,0,0,17,0,0,17,17,19,20,17,17,19,17,2015-01-22 11:50:57,17
30140,3693669,868,3528,96,1475,91120,7909969,670,3006,3570,3570,33144830869,22235807296,651,10659,0,0,55527,16447,1065,733,0,0,0,0,14,0,0,16,14,17,17,14,14,14,14,2015-01-22 11:54:04,14
13988,691300,682,2772,77,332,31593,1457793,300,710,2805,2805,20656952388,18099235596,515,7811,0,0,75964,42696,1478,921,0,0,0,0,11,0,0,11,11,12,19,11,11,11,11,2015-01-22 11:57:32,11
36228,5456632,620,2520,70,2071,30723,1968808,820,4182,2550,2550,21578163132,23847932324,467,7248,0,0,68482,32910,1267,772,0,0,0,0,10,0,0,10,10,14,19,10,10,11,10,2015-01-22 12:00:00,10
7792,830846,248,1008,28,342,17148,1150427,172,700,1020,1020,8768667161,6459836469,187,3481,0,0,17842,12082,350,168,0,0,0,0,4,0,0,4,4,4,7,4,4,4,4,2015-01-22 12:03:44,4
1048,31051,62,252,7,18,2349,71055,22,40,255,255,4046401237,632518523,48,776,0,0,8680,6168,162,85,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2015-01-22 12:06:09,1
11008,378196,620,2520,70,209,50720,1470234,234,458,2550,2550,26560142064,22506026244,473,5422,0,0,45900,22264,826,588,0,0,0,0,10,0,0,10,10,12,20,10,10,12,10,2015-01-22 12:09:04,10
8084,698046,310,1260,35,296,21367,1643407,176,612,1275,1275,12041529363,9884169796,231,4766,0,0,21151,9017,433,179,0,0,0,0,5,0,0,5,5,7,9,5,5,5,5,2015-01-22 12:12:55,5
7394,169628,434,1764,49,109,57305,1127421,156,246,1785,1785,17461895721,16466604548,332,3450,0,0,16452,8068,335,246,0,0,0,0,7,0,0,7,7,7,7,7,7,7,7,2015-01-22 12:15:12,7
1152,48212,62,252,7,24,9928,425228,24,52,255,255,3678952150,1532753905,48,927,0,0,1947,1293,38,16,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2015-01-22 12:18:34,1
