sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
15360972,144599812,153782,150578,22746,67698,7862231657,6736843330,140192,183640,827730,827730,6908592564416,6460533921751,510323,1247452,331,9462905,49542618,11498406,1712013,901867,0,0,0,12,213,327,38,26113,24275,21875,22642,11008,4392,8888,159,2015-01-22 11:50:14,4268
19795989,186540989,201966,186721,24650,82755,21819778051,11815623561,161637,211586,802230,802228,6679055835872,6673548790647,549601,1355573,410,14796073,5265571,3073904,1374920,437770,0,0,0,12,446,415,99,20586,19911,13335,15222,5577,4432,7483,343,2015-01-22 11:52:42,4236
25454511,160015936,254932,253454,25693,72022,10917900276,12073262009,155604,188872,854760,854760,7228901922042,7187149607269,569263,1307525,392,22827477,16248841,3177152,1548874,687116,0,0,0,12,661,422,80,20208,18822,13603,15943,5843,4613,7609,459,2015-01-22 11:55:47,4427
26510883,167910542,301383,299397,29399,78178,41776916738,13248166836,170536,211536,1062585,1062585,8894476655447,8777330778103,806204,1474541,520,22619453,17362194,4719522,1557293,683246,0,0,0,12,754,564,90,26363,25358,20668,25070,9813,5614,11832,504,2015-01-22 11:58:52,5400
26733379,191811190,277305,273544,30623,87333,12428364006,13770696480,178262,232881,1037340,1037340,8677852861711,8738679465249,697348,1485445,585,26827119,29300204,4152597,1692372,907269,0,0,0,12,690,631,67,29028,28350,22235,26744,10712,5622,12486,340,2015-01-22 12:01:57,5392
49694903,220960266,251872,204265,38353,95380,102101097454,11477748793,201344,246801,828495,828495,7048846588806,6963990958140,706501,1431474,456,28863329,14434605,4724779,1597995,656705,3,1,0,12,867,481,77,21548,20222,15249,17520,6438,4855,8328,469,2015-01-22 12:05:02,4679
28992254,219687695,362734,216888,31145,95977,66547282394,10640861845,191780,247078,877547,877455,7368075549393,7398553481665,659668,1431944,424,24381128,20466502,4403834,1864499,680107,23,3,5,12,2220,447,90,25411,23792,15277,16877,7003,5141,9071,324,2015-01-22 12:08:07,4947
36839591,239401990,299571,216022,32041,101862,47629670121,10582960762,198666,257540,794580,794580,6626910147416,6649543932010,590544,1463792,497,31008164,23641943,4860518,2258933,767184,1,0,0,16,1329,532,67,24074,20915,14132,15722,6067,5206,7818,477,2015-01-22 12:11:12,4714
20028703,192741055,187035,181529,24954,85108,15875979869,11707250846,168164,219210,754290,754290,6416735654601,6346759114204,530311,1391343,462,28131784,23451812,4281160,1472968,647212,0,0,0,12,424,513,65,19313,18306,12827,14040,4880,4357,6698,239,2015-01-22 12:14:17,4193
21523635,200791906,185529,153600,25317,87252,84774049702,11441259771,170315,224405,736440,736440,6198945148540,6131999486563,592728,1451731,469,32658540,9706488,3906092,1356986,383798,0,0,0,12,479,494,73,20782,19761,13700,14839,5665,4375,7435,274,2015-01-22 12:17:22,4211
