sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
112986,138938,25141,23519,0,0,420830034,517552503,1622,1622,0,0,0,0,56493,69469,0,0,0,0,0,0,0,0,0,0,0,0,0,2878,2803,2608,2903,1161,849,1057,0,2015-01-22 11:50:14,811
94438,115974,20863,19517,0,0,356393639,437711099,1346,1346,0,0,0,0,47219,57987,0,0,0,0,0,0,0,0,0,0,0,0,0,1748,1791,1834,2493,951,715,879,0,2015-01-22 11:53:19,673
100880,123888,22289,20851,0,0,380048844,466758561,1438,1438,0,0,0,0,50440,61944,0,0,0,0,0,0,0,0,0,0,0,0,0,1830,1842,2143,2599,957,747,953,0,2015-01-22 11:56:24,719
123438,148718,28234,25308,2,1,2049067209,557583372,1752,1734,255,255,2429152679,3648792468,61455,74270,0,0,2742,128,52,90,0,0,0,0,9,0,0,2305,2239,2842,4065,1278,930,1256,5,2015-01-22 11:59:29,872
160104,150328,28017,25511,2,1,509913020,564444493,1970,1750,255,255,841473388,4088422545,61529,75031,0,0,8863,183,1225,126,0,0,0,0,11,0,0,2376,2477,3046,4035,1209,905,1246,4,2015-01-22 12:02:34,875
123944,138016,24930,23084,0,0,424635312,520793778,1630,1592,0,0,0,0,56572,69008,0,0,1261,0,977,0,0,0,0,0,6,0,0,2271,2224,2289,2622,1101,829,1004,1,2015-01-22 12:05:40,797
135430,160184,26213,24063,0,0,556707297,539712173,1846,1840,0,0,0,0,58133,71182,0,0,106,105,91,90,0,0,0,0,10,0,0,2216,2166,2290,2644,1151,865,1038,4,2015-01-22 12:08:44,823
110314,134610,24339,22417,0,0,589935755,506913130,1552,1546,0,0,0,0,55157,67305,0,0,0,0,0,0,0,0,0,0,4,0,0,2113,2035,2127,2501,1118,820,987,2,2015-01-22 12:11:49,776
109574,134100,24124,22330,0,0,450169881,500768063,1542,1540,0,0,0,0,54787,67050,0,0,0,0,0,0,0,0,0,0,2,0,0,2296,2312,2190,2452,1094,812,981,1,2015-01-22 12:14:54,771
113995,136116,25534,22738,0,0,2168501587,514133439,1585,1566,0,0,0,0,57034,68143,0,0,0,0,0,0,0,0,0,0,8,0,0,2260,2382,2275,2494,1109,841,1017,4,2015-01-22 12:17:59,793
118961,145218,26233,24409,0,0,736684302,544952897,1675,1668,0,0,0,0,59517,72609,0,0,0,0,0,0,0,0,0,0,5,0,0,2488,2569,2341,2656,1170,884,1079,2,2015-01-22 12:21:04,838
119796,146586,26356,24670,2,1,449573166,551174513,1694,1692,255,255,774416470,437961244,59695,73160,0,0,3464,122,59,72,0,0,0,0,1,0,0,2497,2463,2493,2840,1213,877,1062,1,2015-01-22 12:24:09,843
131020,160748,28799,26941,0,0,495193049,607621934,1858,1858,0,0,0,0,65510,80374,0,0,0,0,0,0,0,0,0,0,0,0,0,2863,2730,2972,3377,1389,985,1237,0,2015-01-22 12:27:14,929
140698,162514,29900,27427,0,0,676033825,617352087,1918,1876,0,0,0,0,66592,81257,0,0,185,0,174,0,0,0,0,0,6,0,0,2833,2843,2929,3323,1352,998,1240,3,2015-01-22 12:30:19,942
118298,153919,26934,24639,2,5,782485690,542714627,1682,1675,255,255,325819295,2337179359,59071,72694,0,0,1320,1093,25,11,0,0,0,0,9,0,0,2501,2351,2539,3099,1215,885,1122,4,2015-01-22 12:33:24,839
142163,153428,27814,25752,0,0,473231510,580825923,1893,1776,0,0,0,0,62726,76714,0,0,48,0,36,0,0,0,0,0,2,0,0,2659,2560,2623,3391,1322,934,1212,1,2015-01-22 12:36:29,890
124146,152274,27249,25491,0,0,469398879,575811602,1758,1758,0,0,0,0,62073,76137,0,0,0,0,0,0,0,0,0,0,0,0,0,2532,2527,2578,2987,1279,916,1099,0,2015-01-22 12:39:34,879
177268,158448,73694,26064,2,2,45961243523,585705229,2340,1786,255,255,2644200966,1665044876,88430,78239,0,0,4372,169,81,94,0,0,0,0,302,0,0,5224,5186,3911,4739,2557,1783,2403,151,2015-01-22 12:42:39,1166
269679,121485,173103,20272,0,0,139813262744,456531753,3257,1397,0,0,0,0,134876,60787,0,0,0,0,0,0,0,0,0,0,988,0,0,10900,10807,5738,6728,4802,3650,4704,494,2015-01-22 12:45:44,1629
310106,125708,207645,21801,0,0,153484482604,462984429,3702,1442,0,0,0,0,155053,62854,0,0,0,0,0,0,0,0,0,0,1222,0,0,15606,15548,7319,7809,6243,4307,6208,609,2015-01-22 12:48:49,1851
257732,131154,158279,22283,2,2,122757217798,492594571,3158,1512,255,255,1412641986,3646758803,128664,65360,0,0,3405,137,68,69,0,0,0,0,886,0,0,9826,9768,5509,6257,4436,3314,4312,443,2015-01-22 12:51:54,1575
221500,153780,113166,25694,0,0,96657976677,580825724,2818,1772,0,0,0,0,110750,76890,0,0,0,0,0,0,0,0,0,0,560,0,0,5722,5644,4463,4966,3106,2557,2982,280,2015-01-22 12:54:59,1409
203543,142206,105673,24634,0,0,74129185790,532908108,2593,1622,0,0,0,0,101808,71103,0,0,0,0,0,0,0,0,0,0,543,0,0,4927,4916,3962,4193,2751,2352,2644,269,2015-01-22 12:58:04,1297
307474,193958,141634,23253,0,0,109109589683,504143926,3418,2334,0,0,0,0,121370,66896,0,0,3056,246,2256,34,0,0,0,0,814,0,0,7970,7676,4881,5300,3748,3050,3634,401,2015-01-22 13:01:09,1502
330580,145976,198784,24583,2,1,170653069042,553220921,3850,1684,255,255,2616376622,2928289208,155975,72899,0,0,3345,73,1358,53,0,0,0,0,1139,0,0,13090,13010,6937,7330,5747,4133,5601,566,2015-01-22 13:04:14,1889
332928,142000,220678,23722,0,0,165174455903,535386451,4008,1636,0,0,0,0,166464,71000,0,0,0,0,0,0,0,0,0,0,1280,0,0,16691,16594,7628,8210,6574,4504,6425,640,2015-01-22 13:07:19,2004
230874,9086,201568,1508,0,0,172819363179,34532959,2540,104,0,0,0,0,115437,4543,0,0,0,0,0,0,0,0,0,0,1308,0,0,15094,15110,5829,5882,5652,3784,5661,654,2015-01-22 13:10:24,1270
224108,2752,200092,464,0,0,180100826554,10658823,2456,32,0,0,0,0,112054,1376,0,0,0,0,0,0,0,0,0,0,1308,0,0,15008,15008,5630,5669,5520,3766,5549,654,2015-01-22 13:13:29,1228
147008,3626,129873,609,0,0,100588747553,13286850,1614,42,0,0,0,0,73504,1813,0,0,0,0,0,0,0,0,0,0,846,0,0,7439,7439,3395,3590,3343,2481,3358,423,2015-01-22 13:16:37,807
112676,2850,100653,493,0,0,87689541310,11058226,1244,34,0,0,0,0,56338,1425,0,0,0,0,0,0,0,0,0,0,658,0,0,4357,4349,2238,2353,2160,1872,2178,329,2015-01-22 13:19:39,622
70670,1538,63043,261,0,0,58752544220,5950825,778,18,0,0,0,0,35335,769,0,0,0,0,0,0,0,0,0,0,412,0,0,1997,1997,1382,1278,1223,1179,1222,206,2015-01-22 13:22:44,389
35766,2962,30459,493,0,0,32205378799,11190158,398,34,0,0,0,0,17883,1481,0,0,0,0,0,0,0,0,0,0,196,0,0,715,713,682,678,577,569,574,98,2015-01-22 13:25:49,199
54226,2638,48337,435,0,0,45315721345,10132096,604,30,0,0,0,0,27113,1319,0,0,0,0,0,0,0,0,0,0,316,0,0,1478,1478,1013,1032,922,918,948,158,2015-01-22 13:29:10,302
132618,2398,117262,406,0,0,113399810484,9068633,1452,28,0,0,0,0,66309,1199,0,0,0,0,0,0,0,0,0,0,764,0,0,5838,5836,2708,2837,2665,2214,2669,382,2015-01-22 13:31:59,726
90014,3286,77917,551,0,0,73476632734,12157727,986,38,0,0,0,0,45007,1643,0,0,0,0,0,0,0,0,0,0,504,0,0,3750,3750,1919,1953,1854,1445,1871,252,2015-01-22 13:35:04,493
2826,3466,620,580,0,0,10724150,13150379,40,40,0,0,0,0,1413,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,26,28,76,53,27,26,28,0,2015-01-22 13:38:29,20
3262,3998,713,667,0,0,12064222,14792099,46,46,0,0,0,0,1631,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,25,28,77,69,33,25,36,0,2015-01-22 13:41:16,23
20836,4132,1252,696,0,0,12852037,15750332,272,48,0,0,0,0,1838,2066,0,0,158,0,84,0,0,0,0,0,4,0,0,30,29,78,95,37,30,32,2,2015-01-22 13:44:20,26
2958,3630,651,609,0,0,11134456,13661201,42,42,0,0,0,0,1479,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,73,65,27,21,24,0,2015-01-22 13:47:24,21
44938,55146,9889,9251,0,0,167711902,205817422,638,638,0,0,0,0,22469,27573,0,0,0,0,0,0,0,0,0,0,0,0,0,950,986,941,1124,468,347,409,0,2015-01-22 13:50:38,319
114386,140274,25079,23461,0,0,426274201,522771469,1618,1618,0,0,0,0,57193,70137,0,0,0,0,0,0,0,0,0,0,0,0,0,2456,2469,2375,2695,1183,867,1059,0,2015-01-22 13:53:34,809
121012,148258,26567,24824,0,0,541974803,562514704,1714,1712,0,0,0,0,60506,74129,0,0,0,0,0,0,0,0,0,0,0,0,0,2771,2667,2628,2948,1277,921,1143,0,2015-01-22 13:56:39,857
116018,142578,25730,24070,0,0,434955721,534578041,1660,1660,0,0,0,0,58009,71289,0,0,0,0,0,0,0,0,0,0,0,0,0,2363,2349,2699,3737,1159,875,1174,0,2015-01-22 13:59:44,830
123198,151180,27280,25491,0,0,521249012,560691497,1760,1758,0,0,0,0,61599,75590,0,0,0,0,0,0,0,0,0,0,0,0,0,2506,2546,3001,4352,1310,932,1223,0,2015-01-22 14:02:49,880
115650,142018,25544,23896,0,0,433963626,532936095,1648,1648,0,0,0,0,57825,71009,0,0,0,0,0,0,0,0,0,0,0,0,0,2372,2394,2681,3522,1156,856,1109,0,2015-01-22 14:05:54,824
131102,160926,28892,27028,0,0,487169629,598041297,1864,1864,0,0,0,0,65551,80463,0,0,0,0,0,0,0,0,0,0,0,0,0,2951,2842,3062,3910,1424,1000,1293,0,2015-01-22 14:08:59,932
131403,160047,28738,26710,0,0,1005292958,606600163,1853,1841,0,0,0,0,65734,80064,0,0,0,0,0,0,0,0,0,0,0,0,0,3032,2936,2865,3152,1349,977,1204,0,2015-01-22 14:12:04,927
126096,153782,27621,25694,0,0,807097297,581286450,1782,1772,0,0,0,0,63048,76891,0,0,0,0,0,0,0,0,0,0,0,0,0,2853,2761,2679,3028,1307,949,1158,0,2015-01-22 14:15:09,891
113370,138810,24645,23055,0,0,420831147,515307397,1590,1590,0,0,0,0,56685,69405,0,0,0,0,0,0,0,0,0,0,0,0,0,2338,2344,2261,2540,1080,832,1019,0,2015-01-22 14:18:14,795
98256,120496,21545,20155,0,0,367276075,450471950,1390,1390,0,0,0,0,49128,60248,0,0,137456,137456,137456,137456,0,0,0,0,0,0,0,2000,1943,1922,2386,967,749,913,0,2015-01-22 14:21:19,695
105538,129282,23002,21518,0,0,390361140,478208949,1484,1484,0,0,0,0,52769,64641,0,0,0,0,0,0,0,0,0,0,0,0,0,2137,2204,2214,2355,1006,780,939,0,2015-01-22 14:24:24,742
105491,128732,23127,21549,0,0,758081955,480665140,1491,1484,0,0,0,0,52782,64451,0,0,0,0,0,0,0,0,0,0,0,0,0,2104,2056,2152,2482,1035,797,973,0,2015-01-22 14:27:29,746
105712,129146,23252,21634,0,0,771079820,485412810,1498,1492,0,0,0,0,52929,64573,0,0,0,0,0,0,0,0,0,0,0,0,0,2223,2180,2303,2603,1074,802,1023,0,2015-01-22 14:30:34,750
112134,137170,24616,22939,0,0,1013662626,516594971,1586,1582,0,0,0,0,56140,68585,0,0,0,0,0,0,0,0,0,0,0,0,0,2398,2407,2246,2544,1142,842,1017,0,2015-01-22 14:33:39,794
107617,132010,23561,22040,0,0,404410011,496441344,1519,1520,0,0,0,0,53845,66005,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,2275,2231,2530,1034,800,1010,0,2015-01-22 14:36:44,760
123802,151770,27094,25346,0,0,464404642,569397864,1748,1748,0,0,0,0,61901,75885,0,0,0,0,0,0,0,0,0,0,0,0,0,2646,2748,2551,2861,1248,930,1120,0,2015-01-22 14:39:49,874
116776,141897,25612,23665,0,0,721564028,530934872,1650,1635,0,0,0,0,58457,70815,0,0,53526,53526,37848,37848,0,0,0,0,0,0,0,2662,2617,2406,2696,1216,872,1058,0,2015-01-22 14:42:54,826
117708,144364,25823,24157,0,0,438893662,538325966,1666,1666,0,0,0,0,58854,72182,0,0,0,0,0,0,0,0,0,0,0,0,0,2553,2662,2447,2724,1189,874,1087,0,2015-01-22 14:45:59,833
108825,132916,23778,22156,0,0,584239829,493309963,1533,1528,0,0,0,0,54445,66458,0,0,0,0,0,0,0,0,0,0,0,0,0,2294,2438,2234,2437,1045,807,982,0,2015-01-22 14:49:04,767
111176,136264,24304,22736,0,0,416873434,510952421,1568,1568,0,0,0,0,55588,68132,0,0,0,0,0,0,0,0,0,0,0,0,0,2387,2460,2248,2541,1084,824,996,0,2015-01-22 14:52:09,784
117356,143738,25730,24072,0,0,442324401,541141780,1660,1658,0,0,0,0,58678,71958,0,0,0,0,0,0,0,0,0,0,0,0,0,2664,2628,2476,2706,1200,878,1090,0,2015-01-22 14:55:14,830
130586,158900,28646,26595,0,0,1117303734,602874526,1846,1832,0,0,0,0,65362,79531,0,0,0,0,0,0,0,0,0,0,0,0,0,3024,3107,2730,3084,1397,973,1180,0,2015-01-22 14:58:19,924
108507,132380,23747,22129,0,0,528724755,495560700,1531,1524,0,0,0,0,54290,66279,0,0,0,0,0,0,0,0,0,0,0,0,0,2166,2175,2297,2563,1036,800,975,0,2015-01-22 15:01:24,766
91764,112500,20088,18792,0,0,340683234,417692008,1296,1296,0,0,0,0,45882,56250,0,0,0,0,0,0,0,0,0,0,0,0,0,1839,1913,1836,2113,882,682,836,0,2015-01-22 15:04:29,648
