sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
319738,408582,3819,4363,1212,1651,12065842,15401714,5674,5890,28560,28560,232018035925,227910332751,6257,7752,0,0,1525317,63541,14932,14378,0,0,0,0,5,0,57,138,132,509,466,114,112,255,5,2015-01-22 11:50:34,112
320818,403514,4321,6011,1209,1641,25242537,32096345,5604,5802,29325,29325,232217249460,238261720669,6859,8019,0,0,197092,56340,2659,2623,0,0,0,0,12,0,96,185,189,507,564,159,157,356,12,2015-01-22 11:53:23,115
331494,416570,6452,7358,1299,1736,22455738,28640785,5864,6036,31365,31365,252229539925,257335067574,6929,8385,0,0,1463800,48495,11757,13192,0,0,0,0,17,0,95,154,150,512,512,133,131,324,17,2015-01-22 11:56:28,123
426962,419182,18012,19222,1389,1764,17981136,22430042,6120,6160,41565,41565,378122079440,333994296690,13117,10624,0,0,4217000,172017,41866,47693,0,0,0,0,69,0,74,211,203,602,619,171,167,355,57,2015-01-22 11:59:34,163
233706,297892,3199,4947,899,1219,16933930,21606321,4150,4286,21930,21930,190042187575,189879747147,4814,5981,0,0,202588,50536,2982,2987,0,0,0,0,11,0,64,100,100,358,398,88,86,224,11,2015-01-22 12:02:38,86
426332,433488,16482,18078,1361,1818,15225197,18705584,6212,6364,41310,41310,342398670848,348952960748,13058,10588,0,0,2231383,130097,24365,24464,0,0,0,0,60,0,81,264,260,544,587,174,170,365,60,2015-01-22 12:05:46,162
338471,449108,10169,10469,1300,1761,22383039,28584658,6032,6248,35190,35190,275891606272,300163118160,7603,9937,0,0,5935072,216175,56838,56616,0,0,0,0,32,0,96,214,216,577,591,150,150,386,23,2015-01-22 12:08:49,138
207994,265358,2641,3261,791,1075,16030443,20454193,3694,3826,18870,18870,155820445670,148304542195,4125,5115,0,0,142636,16827,1865,1850,0,0,0,0,5,0,63,82,86,329,330,74,74,203,5,2015-01-22 12:11:57,74
228934,291966,3137,4889,884,1198,16004633,20421209,4056,4192,21420,21420,187612607733,173004652480,4715,5856,0,0,190444,51561,2698,2658,0,0,0,0,11,0,61,100,102,339,359,90,84,218,11,2015-01-22 12:14:58,84
308260,390488,4389,5701,1173,1585,15860333,20177074,5436,5623,28560,28560,218209755621,231159404732,6403,7773,0,0,373184,44664,5250,5084,0,0,0,0,11,0,83,144,146,440,496,118,112,290,11,2015-01-22 12:18:10,112
232040,297361,2760,3552,879,1197,18016629,22992709,4117,4282,21420,21420,176520650716,174208911312,4700,5829,0,0,137445,45306,1915,1828,0,0,0,0,5,0,70,110,100,355,391,88,84,233,5,2015-01-22 12:21:09,84
289468,366892,3385,3569,1085,1477,20144230,25666966,5102,5294,25500,25500,207668231654,221173703592,5718,6907,0,0,196520,16906,2603,2512,0,0,0,0,3,0,77,118,116,425,500,106,102,277,3,2015-01-22 12:24:24,100
