sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
1114882,28235480,24831,32405,1367,10474,47173470,171395089,13334,24538,135915,135915,1140102992530,1099966233360,64835,224786,409,11375174,23543720,5040392,277065,212907,0,0,0,0,76,404,0,1269,1239,2124,2212,929,535,710,76,2015-01-22 11:50:16,533
1087280,32296493,34138,40976,1104,11581,61437619,141423213,13682,25962,107355,107355,920501727804,884142541414,50132,194847,385,13621260,2518598,1814213,26522,23172,0,0,0,0,129,397,0,1105,1044,1113,1212,555,425,580,122,2015-01-22 11:53:19,421
2071482,56772519,23299,30627,1437,19987,109894987,246667886,21974,43340,118320,118320,998687724544,1009140458586,60718,256293,419,23830175,3179053,2359319,34526,27265,0,0,0,0,77,449,0,845,805,1243,1594,548,474,553,77,2015-01-22 11:56:24,464
4145902,55078877,36999,43451,2447,19579,257112627,350008806,24524,43666,156570,156570,1332124500149,1334400824506,110066,270601,532,24774448,3617008,2509722,39917,34550,0,0,0,0,115,576,0,1164,1116,1799,2662,769,630,824,112,2015-01-22 11:59:30,614
2557857,67502939,26325,29937,1922,24067,261085114,416912495,25126,52380,151470,151470,1303911456635,1281874998819,75699,288605,574,27362608,3375227,2623788,34686,26899,0,0,0,0,57,638,0,1164,1206,1912,2737,742,615,798,57,2015-01-22 12:02:34,594
2078596,79421690,23807,27639,1391,27690,33032173,193771199,29524,58944,123420,123420,1009449188975,1038736964646,55113,306854,451,35190124,3647756,2778819,38835,30182,0,0,0,0,61,464,0,900,867,1297,1436,588,486,583,60,2015-01-22 12:05:40,484
1595512,54457151,22010,27050,1298,19144,26559256,162694169,21340,41642,116280,116280,964341211637,981012816905,53833,275943,436,23382751,3383249,2702729,34751,26229,0,0,0,0,62,471,0,782,842,1190,1282,536,466,536,62,2015-01-22 12:08:44,456
1634580,58985752,21082,27396,1367,20780,31863266,218768122,23124,45156,125205,125205,1040808083146,1070739711901,56895,301146,466,24036440,3711523,2996847,38509,28673,0,0,0,0,59,495,0,908,904,1341,1346,585,501,604,59,2015-01-22 12:11:49,491
2030711,72846729,24204,30130,1414,25432,33830989,207795403,27830,54412,125715,125715,1058179832437,1064589795575,57808,309088,484,33597518,3450991,2806800,34947,26494,0,0,0,0,71,529,0,939,962,1270,1359,604,507,582,71,2015-01-22 12:14:54,493
2028413,68645267,24031,29224,1431,23985,34715888,214210152,25405,51653,121635,121635,1007901669573,1017499862864,59736,299577,468,26941095,3324029,2728058,33144,24915,0,0,0,0,69,510,0,880,899,1275,1272,568,493,559,69,2015-01-22 12:17:59,477
