sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
1027480,1362066,4371,4089,2615,3143,149627197,201091847,11210,11238,35955,35955,301763001352,297498733962,13112,17847,0,0,908753,805759,6877,6971,0,0,0,0,0,0,0,175,183,466,469,149,141,158,0,2015-01-22 11:50:23,141
986832,1452100,8122,7598,1872,1882,556736607,812385016,8508,6550,66810,66810,581235980772,572701649819,30646,58965,0,0,91418,4010,1262,1687,0,0,0,0,0,0,0,417,450,736,748,298,264,332,0,2015-01-22 11:53:21,262
919672,1356342,7657,7163,1729,1729,570799205,833392398,7882,6010,62985,62985,544703879813,534021411903,28943,55783,0,0,67146,2230,903,1213,0,0,0,0,0,0,0,391,369,707,683,271,247,283,0,2015-01-22 11:56:27,247
797480,1246620,4774,4466,1763,2038,334592835,489708935,7852,7048,39270,39270,317006257680,317055864844,17857,34196,0,0,45797,5061,706,925,0,0,0,0,0,0,0,210,210,487,483,166,154,175,0,2015-01-22 11:59:31,154
853920,1370554,4123,3857,2027,2467,245311636,358383800,8948,8492,33915,33915,285264908558,270260741068,15266,29305,0,0,210240,13817,2291,3058,0,0,0,0,0,0,0,173,173,477,482,147,137,175,0,2015-01-22 12:02:37,133
1043408,1539446,4588,4292,2297,2722,251120635,357553854,10038,9524,37740,37740,328805204978,300931539804,17745,31324,0,0,116747,19211,1480,1888,0,0,0,0,0,0,0,204,198,408,424,158,148,168,0,2015-01-22 12:05:42,148
1297376,1482332,3658,3422,2527,2817,137531248,159100556,10424,10334,30090,30090,262202326512,247228018324,15823,18699,0,0,83453,73050,1193,1256,0,0,0,0,0,0,0,134,140,315,344,124,118,138,0,2015-01-22 12:08:47,118
1049640,1207488,3689,3451,2106,2175,223928999,283828043,8514,7988,30345,30345,252297315091,260912686779,15273,21540,0,0,43723,24411,627,715,0,0,0,0,0,0,0,153,149,360,348,121,119,147,0,2015-01-22 12:11:52,119
1053192,1305228,5394,5046,2478,2388,335978129,472134940,9858,8772,44370,44370,369005966170,369069993589,19614,33929,0,0,63390,19253,778,975,0,0,0,0,0,0,0,240,254,506,456,186,174,212,0,2015-01-22 12:14:56,174
938952,1341046,5671,3529,2479,2941,160172655,220009683,10379,10502,28305,28305,226233390755,234109018594,10820,17391,0,0,3685510,24708,45829,4297,0,0,0,0,0,0,0,229,233,388,362,205,113,223,0,2015-01-22 12:18:02,111
939576,1441192,1861,1740,2680,3465,46020653,60191218,11322,12292,15300,15300,117403030053,123865245185,5207,6699,0,0,44811,41034,683,630,0,0,0,0,0,0,0,72,62,177,176,60,60,69,0,2015-01-22 12:21:06,60
958280,1470960,1860,1740,2740,3540,43958526,57252596,11550,12530,15300,15300,120805531291,116522396157,5204,6645,0,0,33423,26708,524,482,0,0,0,0,0,0,0,68,70,211,174,60,60,74,0,2015-01-22 12:24:11,60
1547120,1887926,2790,2610,3080,3685,100629085,106006636,13034,13010,22950,22950,192864433654,192920475671,13093,15601,0,0,80597,59406,1158,1248,0,0,0,0,0,0,0,108,106,312,264,94,90,108,0,2015-01-22 12:27:17,90
1281648,1410192,2573,2407,2184,2456,153644338,158337255,9140,8759,21165,21165,172162335928,193644269435,13292,15482,0,0,50191,36347,713,793,0,0,0,0,0,0,0,93,95,258,256,83,83,102,0,2015-01-22 12:30:22,83
898100,1056740,1767,1653,1652,1907,82666296,85571913,6969,6816,14535,14535,126844490111,105420402301,8643,10317,0,0,40867,39996,600,657,0,0,0,0,0,0,0,61,61,186,216,57,57,77,0,2015-01-22 12:33:31,57
