sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
14114305,230244789,199480,158021,29249,103223,25718072134,14592680677,205957,266670,978945,978943,8145531067511,7728295345255,416905,1675536,1,0,21299674,6071874,2603460,958313,0,0,0,24,363,1,0,35643,33288,21691,23049,11369,4719,10116,216,2015-01-22 11:50:14,4543
17299876,197542173,343288,320884,31355,93059,44154516464,19435635168,204292,247744,1111545,1111545,9282190012623,9247036255562,555002,1632833,5,0,18807758,2410552,2913914,1174644,0,0,0,24,960,5,0,33968,31994,18346,21565,9155,5348,11262,573,2015-01-22 11:55:27,5090
26990509,251488079,343681,295723,39737,114449,50613002986,21672696801,239429,302999,1212780,1212780,10242439488892,10163705916932,656553,1830389,9,0,32477122,2541208,2753824,1326407,0,0,0,20,1029,9,0,40850,38755,23568,27545,12458,5968,14546,451,2015-01-22 12:01:17,5653
27313847,302234753,460507,229961,38162,131198,152724816117,16546207225,255888,331183,985667,985575,8283232020109,8287976936503,558612,1745539,1,0,18747051,2456187,3291925,1151791,27,4,5,24,2958,1,0,35680,32480,15901,17430,7296,5510,9729,493,2015-01-22 12:07:07,5206
15649698,231132264,262379,192598,29954,105116,37213542024,18632786644,215270,271484,862920,862920,7398488396717,7251786483093,418840,1698930,1,14336,29966466,2249668,3188696,1156092,0,0,0,24,1011,1,0,29717,26709,13635,14958,5271,4897,7570,344,2015-01-22 12:12:57,4448
16088583,228806491,186370,142262,30279,103086,83658318805,18821293928,212670,269525,845325,845070,7165630169498,7107615302631,457034,1781252,11,14195,2534491,1646724,2154167,806752,0,0,0,20,463,73,0,28281,26641,13563,15244,5293,4383,7538,236,2015-01-22 12:18:47,4184
19277056,287762644,222630,200416,35998,127802,20583316179,20725356893,253659,329485,962625,962625,7977886710079,8042060078622,463067,2167497,3,60411,6667861,2093543,2538792,943457,0,0,0,24,489,9,0,31988,29479,15961,17823,5695,4899,8364,345,2015-01-22 12:24:37,4693
19151517,227468714,247272,169262,33434,104633,128926354944,20336763912,225989,279271,969255,965685,8065269012421,8055342569070,654478,2046745,4,1764359,3075114,1547482,2474463,820336,0,0,0,20,773,21,0,38716,36821,18926,21294,8959,5148,11554,233,2015-01-22 12:30:27,4910
23078792,250652254,228293,196000,35952,113914,35744920874,20451624860,235533,295355,942225,942225,7827613663773,7990164348586,439701,1961838,11,536778,6933960,1628583,2193200,862018,0,0,0,20,548,79,0,30476,28635,15760,18024,6206,4891,8852,262,2015-01-22 12:36:17,4620
19012119,277470987,1086061,228150,33425,121404,495875957332,19176570068,247225,310454,914940,912645,7700588943144,7614962885748,768038,1940305,17,16848,28351726,2986186,2538477,1313816,0,0,0,20,7245,122,0,66796,61665,28318,37021,18993,18730,21898,3641,2015-01-22 12:42:07,7705
