sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
13737728,229838498,147495,126401,28857,102867,3193017211,14588217840,203768,265366,947070,947068,7857112349576,7445046637706,376232,1661717,0,0,20880806,6041188,2596122,948678,0,0,0,24,56,0,0,34925,32681,21403,22720,11091,4483,9837,0,2015-01-22 11:50:14,4327
14488707,195752662,200626,190600,29139,91630,4424879335,19431770477,196340,242004,979710,979710,8178387715614,8151938964951,449974,1588479,0,0,4769447,1861387,2753780,960493,0,0,0,24,331,0,0,31377,30102,17528,20495,8349,4713,10531,0,2015-01-22 11:55:27,4517
21527460,248085948,234310,221395,35582,112713,5483239550,21664671876,229598,296355,1139085,1139085,9645051997686,9557002012833,555305,1786252,8,0,11108475,1516133,2487572,975862,0,0,0,20,384,8,0,39015,37450,22917,26714,11860,5415,13960,0,2015-01-22 12:01:17,5202
19063992,285886622,339317,160409,32840,124778,67124346061,16537771541,240369,314392,915287,915195,7703305584360,7729304231989,436073,1717661,0,0,9364167,2044220,3144449,1011521,27,4,5,24,2170,0,0,32041,29999,14909,16127,6473,4887,8828,0,2015-01-22 12:07:07,4713
14137206,230083302,189894,146614,29026,104457,12506418106,18624704291,211858,269146,816510,816510,6985357701951,6902646777838,359715,1677588,0,0,6215745,1374897,2658888,790770,0,0,0,24,477,0,0,27871,25322,12921,14143,4579,4269,6879,0,2015-01-22 12:12:57,4104
15561141,228332677,129881,110894,29864,102690,35728661220,18816231165,210433,268123,813705,813450,6870388334158,6820952023572,393354,1765505,8,12348,2121962,1600905,2146639,798773,0,0,0,20,110,70,0,26690,25100,12873,14518,4611,4129,6855,0,2015-01-22 12:18:47,3948
18023416,286518554,138840,129676,34972,126926,3469690992,20715964372,249593,326203,891225,891225,7394038136329,7431630879244,394021,2139711,2,60302,2769488,1918251,2504311,891051,0,0,0,24,76,8,0,30150,27760,15358,17173,5117,4540,7776,0,2015-01-22 12:24:37,4348
17780644,225484416,190970,138710,32606,103597,88809924197,20327573083,223286,276513,938400,934830,7815945974372,7808700172883,574470,2029368,3,1592484,2377603,1503246,2430955,809822,0,0,0,20,418,20,0,36768,34920,18217,20571,8265,4911,10858,0,2015-01-22 12:30:27,4677
15617619,247581946,165777,146992,32464,112189,24433874296,20441918326,226609,290167,892755,892755,7422868691455,7556768728019,415091,1936368,10,536636,6034852,1542767,2179143,845838,0,0,0,20,216,78,0,29381,27746,15358,17577,5828,4569,8467,0,2015-01-22 12:36:17,4358
17076866,276259969,165279,154542,32332,120557,8772462137,19171278505,236165,307070,841245,838950,7035026288946,7005913693913,384977,1910874,17,16848,7714238,2152463,2287557,910596,0,0,0,20,234,122,0,23208,21398,12730,14396,4452,4315,6717,0,2015-01-22 12:42:07,4064
13053606,168423585,166297,156166,28142,81818,5324235509,23615844540,184198,219817,917745,916470,7676281732791,7819461363080,390962,1669151,0,0,9677600,1111794,2574618,889323,0,0,0,24,211,0,0,24766,23259,12792,14884,4712,4488,6725,0,2015-01-22 12:47:57,4294
16970316,287539198,194398,157124,33158,125846,6381394506,18102333315,244808,319054,847110,846600,6996840044903,6931108722310,383267,1880467,0,0,7666923,2323528,2649518,963658,3,0,0,24,280,0,0,24404,22465,13530,15080,4580,4420,7093,0,2015-01-22 12:53:47,4205
15562976,171810127,194063,200422,29247,83852,12115723957,21181159429,196313,228358,894030,891225,7441484024359,7460582951818,444915,1665684,8,12348,11181366,1168519,2639766,964384,8,2,1,24,753,70,0,25596,23598,13319,14890,4923,4624,7143,0,2015-01-22 12:59:37,4380
23568154,336295466,157965,206986,34646,142264,3881130481,14287852226,260727,351693,907466,907801,7667515162251,7515016729221,524956,1880475,21,0,9328689,3627356,2473774,1095955,1,0,0,24,997,21,0,29159,28159,14730,16090,5959,5036,8417,0,2015-01-22 13:05:27,4562
31348097,289689147,232406,208217,42607,131866,15293670151,24950079777,276570,351607,1316820,1315290,11111305773531,11005272133112,923388,2520193,0,0,8579390,6189886,2302688,847404,0,0,0,20,109,0,0,65378,61107,22860,25265,8240,7369,11416,0,2015-01-22 13:11:17,7243
31224924,275068478,244482,253845,46989,131959,9619021582,29204180776,283919,359328,1402500,1402500,11909420694424,11817803637770,908463,2474316,1,3924,9104158,5525326,2535961,844619,0,0,0,24,229,2,0,69810,66647,23607,26151,8127,7527,11839,0,2015-01-22 13:17:07,7407
33614142,391624930,391843,302123,50199,172518,44376958430,26179963623,329001,445827,1554002,1452990,12196629165092,12292830323196,960654,2571277,8,8424,14457920,7680914,2594333,892142,21,9,4,24,2871,60,0,78164,72444,25012,28559,9046,8284,13261,0,2015-01-22 13:22:57,8117
