sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
196706,241762,43648,40832,0,0,736774612,905632184,2816,2816,0,0,0,0,98353,120881,0,0,0,0,0,0,0,0,0,0,0,0,0,4406,4372,4252,5113,2002,1488,1844,0,2015-01-22 11:50:14,1408
206306,252252,45626,42514,0,0,2029114071,949837464,2938,2932,0,0,0,0,103153,126126,0,0,0,0,0,0,0,0,0,0,0,0,0,3832,3795,4515,6040,2061,1545,2030,0,2015-01-22 11:56:04,1469
224350,275454,49507,46313,0,0,843619248,1035894623,3194,3194,0,0,0,0,112175,137727,0,0,0,0,0,0,0,0,0,0,0,0,0,4379,4493,5203,6737,2215,1659,2182,0,2015-01-22 12:01:54,1597
216520,265184,47589,44283,0,0,909883557,1006486863,3056,3054,0,0,0,0,108260,132592,0,0,0,0,0,0,0,0,0,0,0,0,0,4183,4058,4296,4885,2146,1600,1929,0,2015-01-22 12:07:44,1528
202508,248108,44175,41325,0,0,758020231,928763180,2850,2850,0,0,0,0,101254,124054,0,0,0,0,0,0,0,0,0,0,0,0,0,4209,4139,4035,4558,2054,1510,1818,0,2015-01-22 12:13:34,1425
223758,270970,48668,45242,0,0,2430622941,1019035997,3134,3118,0,0,0,0,111952,135570,0,0,0,0,0,0,0,0,0,0,0,0,0,4588,4730,4387,4958,2172,1652,1993,0,2015-01-22 12:19:24,1568
238430,292414,52297,48923,0,0,902548969,1107035001,3374,3374,0,0,0,0,119215,146207,0,0,0,0,0,0,0,0,0,0,0,0,0,5089,4919,5306,5970,2507,1789,2218,0,2015-01-22 12:25:14,1687
236331,289107,52114,48714,0,0,1273428852,1096127962,3355,3343,0,0,0,0,118340,144598,0,0,0,0,0,0,0,0,0,0,0,0,0,5060,4951,5157,6180,2416,1758,2225,0,2015-01-22 12:31:04,1680
235072,288234,51867,48285,0,0,967588185,1090611073,3332,3330,0,0,0,0,117536,144117,0,0,0,0,0,0,0,0,0,0,0,0,0,4862,4774,4899,6013,2460,1745,2175,0,2015-01-22 12:36:54,1666
346317,260111,76803,43356,0,0,121323396576,983036737,4011,2989,0,0,0,0,173195,130100,0,0,0,0,0,0,0,0,0,0,0,0,0,8534,8417,6244,6957,4112,2980,3872,0,2015-01-22 12:42:44,2006
430892,237828,96197,39643,0,0,194462011215,886824972,4528,2734,0,0,0,0,215446,118914,0,0,0,0,0,0,0,0,0,0,0,0,0,12711,12686,7371,8098,5449,3901,5308,0,2015-01-22 12:48:34,2264
348040,283016,77201,47299,0,0,114769009693,1075525690,4150,3262,0,0,0,0,174020,141508,0,0,0,0,0,0,0,0,0,0,0,0,0,6964,6832,6056,6701,3648,2918,3397,0,2015-01-22 12:54:24,2075
369821,252458,82440,42197,0,0,143389471540,956900200,4155,2908,0,0,0,0,185150,126318,0,0,0,0,0,0,0,0,0,0,0,0,0,8406,8313,6330,6918,4261,3303,4064,0,2015-01-22 13:00:14,2081
456934,211646,102440,35380,0,0,241375304922,799986994,4594,2440,0,0,0,0,228467,105823,0,0,0,0,0,0,0,0,0,0,0,0,0,15487,15372,8021,8609,6372,4353,6185,0,2015-01-22 13:06:04,2297
263788,5892,59914,986,0,0,212350041211,21809122,2030,68,0,0,0,0,131894,2946,0,0,0,0,0,0,0,0,0,0,0,0,0,10669,10671,4075,4075,4013,2805,4016,0,2015-01-22 13:11:54,1015
150806,5278,34261,899,0,0,114628870647,20359487,1172,62,0,0,0,0,75403,2639,0,0,0,0,0,0,0,0,0,0,0,0,0,3787,3777,1929,1961,1874,1592,1869,0,2015-01-22 13:17:44,586
56232,4856,12748,812,0,0,44107267910,18542887,452,56,0,0,0,0,28116,2428,0,0,0,0,0,0,0,0,0,0,0,0,0,870,868,634,648,585,558,583,0,2015-01-22 13:23:35,226
