sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
1980992,2286136,20348,21780,1240,1468,661021517,942600020,5880,5504,160140,160140,1391044758137,1308041479590,152512,211449,0,0,2929236,859182,39666,40496,0,0,0,0,16,0,0,1906,1810,2805,3056,636,628,1614,16,2015-01-22 11:50:43,628
1913080,2207258,19065,20163,1194,1409,650167027,996107250,5676,5330,153765,153765,1343199772828,1313393361174,147120,204608,0,0,1317441,445108,17725,18812,0,0,0,0,12,0,0,1927,1885,2762,2914,609,603,1715,12,2015-01-22 11:56:33,603
1625760,1928946,16895,20073,1024,1227,520374807,765366486,4902,4586,133365,133365,1079524503664,1122276524655,125256,178177,0,0,1669352,440374,21993,24056,0,0,0,0,22,0,0,1663,1689,2271,2497,527,523,1393,22,2015-01-22 12:02:23,523
1619288,1846170,15810,15566,1007,1178,590200767,861696525,4758,4416,129030,129030,1049693138022,1110394963794,124486,171275,0,0,802924,260916,10704,12551,0,0,0,0,4,0,0,1655,1647,2323,2535,506,506,1499,4,2015-01-22 12:08:14,506
1489868,1769918,15469,18351,938,1131,490610620,834022968,4498,4222,122145,122145,989581051706,979395986661,114750,162582,0,0,1501573,495810,20114,20633,0,0,0,0,20,0,0,1467,1473,1975,2223,483,479,1292,20,2015-01-22 12:14:03,479
1590088,1819582,15906,16401,990,1165,1696146480,1122176635,4706,4359,128775,128520,1081746467085,1111542176572,125011,170047,0,0,679607,222553,8915,10844,0,0,0,0,8,0,0,1751,1679,2243,2613,519,505,1498,8,2015-01-22 12:19:56,505
1913080,2221446,19189,20667,1196,1415,571507307,935893090,5678,5292,154275,154275,1329190967725,1337373030070,147212,206608,0,0,1149168,388089,15430,17458,0,0,0,0,14,0,0,1850,1931,2811,2955,611,605,1672,14,2015-01-22 12:25:43,605
1704792,2017292,18385,22242,1086,1307,605048991,905247031,5213,4894,144585,144585,1258982608949,1199779539674,133596,189783,0,0,1008871,340439,13824,15063,0,0,0,0,26,0,0,1683,1609,2398,2672,569,567,1567,26,2015-01-22 12:31:34,567
2261296,2630788,22382,22878,1411,1671,648693446,1078141001,6682,6238,181560,181560,1603465399402,1562577931225,173971,243918,0,0,2431086,783824,32863,35565,0,0,0,0,10,0,0,2327,2339,3093,3332,726,712,1828,10,2015-01-22 12:37:27,712
1334068,1542904,13704,15534,834,994,705037452,1061280140,3995,3728,109140,109140,941603527779,918325647727,103743,144206,0,0,539870,199712,7298,7983,0,0,0,0,14,0,0,1236,1264,1932,2176,428,428,1322,14,2015-01-22 12:43:13,428
1670520,2898872,16715,17591,1037,1593,767680042,1089281154,5026,5348,133110,133110,1119685485786,1086432687714,128342,177983,0,0,829285,260310,10935,12021,0,0,0,0,11,0,0,1769,1615,2252,2572,532,522,1446,11,2015-01-22 12:49:03,522
1930864,2247916,19375,20841,1208,1429,620001742,969296468,5704,5350,155805,155805,1221894766283,1349244263388,148700,208363,0,0,1353051,493837,18299,20020,0,0,0,0,14,0,0,2099,2023,2535,2855,621,611,1566,14,2015-01-22 12:54:53,611
1519528,1732641,15159,15346,951,1107,667244577,964047170,4486,4150,123165,123165,976297438250,949189570401,117476,163303,0,0,739666,251474,9893,11320,0,0,0,0,6,0,0,1433,1567,2200,2398,483,483,1381,6,2015-01-22 13:00:47,483
1255452,1473204,13051,15313,787,943,394802460,508773825,3778,3522,103275,103020,817133631994,938572723139,97588,137438,0,0,849150,303763,11528,12677,0,0,0,0,16,0,0,1177,1161,1656,1872,413,407,1081,16,2015-01-22 13:06:33,405
319384,364340,3069,2871,198,231,113850350,193699211,928,862,25245,25245,218119145051,210381690843,24552,33814,0,0,111738,40143,1451,1784,0,0,0,0,0,0,0,419,341,444,555,101,99,281,0,2015-01-22 13:52:33,99
2068304,2371588,20027,18735,1279,1496,603793883,977192555,6032,5621,164730,164730,1370158270110,1375253594251,160461,220916,0,0,1215253,415379,16325,18626,0,0,0,0,0,0,0,2207,2291,2897,3044,658,646,1758,0,2015-01-22 13:53:13,646
