sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
1975168,2245520,18972,17748,1224,1428,660937703,941841047,5752,5360,156060,156060,1367822518542,1277034744167,151776,207888,0,0,2840033,839318,38297,39305,0,0,0,0,0,0,0,1888,1792,2767,3014,620,612,1578,0,2015-01-22 11:50:43,612
1908712,2175530,18321,17139,1182,1379,650146131,995943984,5580,5222,150705,150705,1314431285220,1278198471364,146568,201326,0,0,1145737,373448,15167,16714,0,0,0,0,0,0,0,1915,1873,2744,2894,597,591,1697,0,2015-01-22 11:56:33,591
1617408,1854534,15531,14529,1002,1169,520332483,764985638,4718,4382,127755,127755,1048925721656,1074694167691,124248,172333,0,0,1130482,372614,14869,17348,0,0,0,0,0,0,0,1641,1667,2231,2447,505,501,1357,0,2015-01-22 12:02:23,501
1617832,1842714,15562,14558,1003,1170,590193455,861679163,4726,4384,128010,128010,1042597877554,1099932542666,124302,170841,0,0,748182,259418,9908,11815,0,0,0,0,0,0,0,1651,1643,2317,2525,502,502,1493,0,2015-01-22 12:08:14,502
1482416,1693106,14229,13311,918,1071,490521600,833029438,4334,4022,117045,117045,944967772940,936267184049,113832,157072,0,0,1385007,458236,18408,19245,0,0,0,0,0,0,0,1447,1453,1941,2185,463,459,1258,0,2015-01-22 12:14:03,459
1587176,1806262,15410,14385,982,1147,1696112262,1122015835,4642,4291,126735,126480,1064858317647,1096184210030,124643,168569,0,0,632831,212015,8237,10260,0,0,0,0,0,0,0,1743,1671,2227,2591,511,497,1482,0,2015-01-22 12:19:56,497
1907984,2179126,18321,17139,1182,1379,571451501,935387568,5566,5164,150705,150705,1304854757373,1304903543474,146568,202182,0,0,1054330,345263,14050,16334,0,0,0,0,0,0,0,1836,1917,2785,2921,597,591,1646,0,2015-01-22 12:25:43,591
1695500,1959844,16773,15690,1060,1245,604925229,904452885,5009,4670,137955,137955,1212183005557,1141502458692,132400,183697,0,0,868757,304223,11726,13299,0,0,0,0,0,0,0,1657,1583,2348,2618,543,541,1517,0,2015-01-22 12:31:34,541
2257656,2586348,21762,20358,1401,1639,648640968,1077418539,6602,6134,179010,179010,1576004422580,1544023772493,173511,239964,0,0,2379878,748408,32113,35009,0,0,0,0,0,0,0,2317,2329,3079,3316,716,702,1814,0,2015-01-22 12:37:27,702
1328972,1511584,12836,12006,820,960,704996814,1061038676,3883,3604,105570,105570,917830763009,900470908443,103099,140854,0,0,402984,151086,5288,6301,0,0,0,0,0,0,0,1222,1250,1904,2148,414,414,1302,0,2015-01-22 12:43:13,414
