sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
583866,744464,6169,5771,2189,2985,35807808,45685598,10348,10746,50745,50745,413877153877,409208707507,11144,13731,0,0,1633761,49204,16097,15494,0,0,0,0,0,0,140,295,291,927,935,245,241,550,0,2015-01-22 11:50:34,199
580932,740744,6138,5742,2178,2970,35545679,45353411,10296,10692,50490,50490,427265322236,432769789461,11088,13662,0,0,428025,13301,5479,5271,0,0,0,0,0,0,161,240,232,948,918,204,198,551,0,2015-01-22 11:56:08,198
513264,652744,7395,7033,1935,2627,31614643,40326855,9108,9440,46155,46155,389768236027,383378400780,10096,12391,0,0,465697,14360,6301,6219,0,0,0,0,8,0,140,223,227,782,828,187,181,470,0,2015-01-22 12:02:00,181
492768,627838,6701,6355,1851,2525,35005061,44656782,8742,9076,44115,44115,365488526251,376957025511,9651,11865,0,0,306199,9587,3928,3739,0,0,0,0,6,0,148,217,233,786,804,173,173,496,0,2015-01-22 12:07:48,173
396090,505164,4185,3915,1485,2025,31173035,39783115,7020,7290,34425,34425,282818088933,284628408495,7560,9315,0,0,238873,7468,3030,2913,0,0,0,0,0,0,113,155,167,595,626,141,135,382,0,2015-01-22 12:13:39,135
509646,650073,5457,5105,1910,2602,31980986,40797009,9031,9379,44880,44880,345107195576,373277612525,9871,12158,0,0,453695,37621,6188,5936,0,0,0,0,0,0,138,240,224,731,831,188,176,462,0,2015-01-22 12:19:28,176
572130,729576,6045,5655,2145,2925,33712887,43016441,10140,10530,49725,49725,423867368793,401525333426,10920,13455,0,0,388894,12259,5052,4854,0,0,0,0,0,0,162,223,227,935,967,205,197,544,0,2015-01-22 12:25:21,195
543536,692072,5859,5482,2039,2773,37174300,47405306,9631,9986,48195,48195,411607182157,458606830171,10603,13055,0,0,334748,38354,4203,4040,0,0,0,0,0,0,155,219,219,837,881,191,189,535,0,2015-01-22 12:31:10,189
668952,853168,7068,6612,2508,3420,38964817,49727562,11856,12312,58140,58140,501472184299,487353942952,12768,15732,0,0,781912,23014,10689,10290,0,0,0,0,0,0,161,288,292,1001,1033,238,229,587,0,2015-01-22 12:36:58,228
432937,550750,4681,4379,1617,2206,44193606,56294180,7674,7953,38505,38505,342685213554,352910423980,8464,10411,0,0,180198,11779,2182,2098,0,0,0,0,0,0,138,169,171,683,775,153,151,462,0,2015-01-22 12:42:48,151
487552,679658,7147,6801,1826,2512,42147348,59759965,8650,8986,44115,44115,367192618356,357853485447,9643,12631,0,0,279340,18928,3670,3498,0,0,0,0,8,0,148,217,209,752,813,175,175,454,0,2015-01-22 12:48:39,173
595602,759626,6293,5887,2233,3045,37722548,48142803,10556,10962,51765,51765,376775502827,424920280019,11368,14007,0,0,448170,14154,5909,5678,0,0,0,0,0,0,159,261,255,843,887,209,203,514,0,2015-01-22 12:54:28,203
449214,573525,4837,4524,1682,2295,40277173,51399540,7961,8272,39780,39780,328741275346,332731010868,8750,10776,0,0,236329,50101,3145,3013,0,0,0,0,0,0,134,178,192,741,776,158,156,459,0,2015-01-22 13:00:18,156
430870,549178,4588,4292,1616,2202,25726203,32822783,7636,7926,37740,37740,298022733396,338071740402,8288,10205,0,0,298825,9557,3923,3754,0,0,0,0,0,0,119,168,170,619,660,150,148,391,0,2015-01-22 13:06:08,148
2934,3742,31,29,11,15,11216,14315,52,54,255,255,696681713,2982914179,56,69,0,0,3474,112,40,38,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2015-01-22 13:15:05,1
2934,3742,31,29,11,15,6075,7754,52,54,255,255,250249500,2427371193,56,69,0,0,6056,192,74,71,0,0,0,0,0,0,0,1,1,3,6,1,1,2,0,2015-01-22 13:18:57,1
2934,3742,31,29,11,15,4877,6224,52,54,255,255,2561690273,417396800,56,69,0,0,5593,157,92,89,0,0,0,0,0,0,0,1,1,4,3,1,1,1,0,2015-01-22 13:34:53,1
34746,44122,403,377,130,177,2321754,2963703,616,638,3315,3315,23586015115,27908241701,727,888,0,0,14196,496,158,137,0,0,0,0,0,0,11,27,22,61,78,15,15,43,0,2015-01-22 13:52:32,13
650266,828878,6913,6467,2440,3316,34045439,43436042,11523,11966,56865,56865,484799294914,495787535346,12499,15387,0,0,464525,34880,5947,5731,0,0,0,0,0,0,172,290,289,992,1007,225,223,613,0,2015-01-22 13:52:48,223
547744,697352,5828,5453,2056,2791,37630192,48029474,9707,10068,47940,47940,408563225752,382470796121,10536,12969,0,0,398317,16807,4893,4763,0,0,0,0,0,0,158,240,256,860,912,198,192,506,0,2015-01-22 13:58:38,188
