sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
1835514,54887484,24036,22586,1909,19735,96872223,268610521,23830,44752,184875,184875,1569240480542,1485683258169,88279,344183,593,23595442,25230575,6534263,292528,222379,0,0,0,0,7,600,0,1606,1625,2847,2980,1161,729,971,0,2015-01-22 11:50:41,725
2849811,99081412,25531,23927,2206,34808,302915832,513884081,38326,75556,204510,204510,1709164539174,1734092534702,98627,439010,791,43313276,5101267,4187901,49564,34530,0,0,0,0,3,865,0,1560,1494,2512,3469,993,828,1049,0,2015-01-22 11:56:04,802
3026114,111732572,28768,26912,2464,39282,338664214,603288365,43442,85429,236640,236640,2022577545953,1999767721988,110389,503234,927,49452505,5805962,4806595,56387,39415,0,0,0,0,0,1000,0,1797,1834,3054,4150,1159,949,1247,0,2015-01-22 12:01:54,928
3106438,121928244,24992,23394,2257,42512,47912287,350788091,46226,91191,203745,203745,1687008024699,1736101137149,91728,530440,784,52266440,6339153,5315166,63007,44917,0,0,0,0,1,844,0,1530,1604,2232,2314,981,817,957,0,2015-01-22 12:07:44,799
3195822,129432582,24149,22591,2195,45040,53832901,389608207,48350,96054,198645,198645,1634841759369,1676793093950,89309,527037,771,57927577,6084074,5083383,59460,41833,0,0,0,0,0,844,0,1533,1609,2253,2305,961,803,957,0,2015-01-22 12:13:34,779
2833529,106277548,24584,23002,2240,36896,64541491,430793745,41084,80420,202215,202215,1725951150410,1661212425279,92316,518182,784,43347393,6229974,5216312,60697,43399,0,0,0,0,0,889,0,1630,1623,2329,2270,966,818,945,0,2015-01-22 12:19:24,793
3045264,113178302,27466,25694,2484,39695,93413083,490926315,43636,86148,225930,225930,1930772545766,1897831288017,103538,559241,878,50070025,6806685,5701881,66686,47436,0,0,0,0,0,980,0,1830,1829,2812,2941,1143,924,1127,0,2015-01-22 12:25:14,886
3300232,131235070,27532,25757,2397,45219,190123159,474653361,49201,98099,226440,226440,1856518850554,1855903271694,102756,556236,879,61129925,6371817,5316578,63803,44886,0,0,0,0,0,960,0,1794,1799,2858,3272,1140,918,1204,0,2015-01-22 12:31:04,888
2902732,108965756,25575,23925,2303,38189,116120086,418640027,42002,82658,210375,210375,1764288213078,1755301252325,96209,512393,807,43361037,6334701,5329960,63235,45122,0,0,0,0,0,944,0,1655,1703,2491,2718,1061,873,1062,0,2015-01-22 12:36:54,825
3160242,127032323,26145,24561,2216,43903,58715114,429622382,47654,94474,202215,202215,1744805829348,1717722005860,89862,532331,52,2795617,6164008,5111333,61338,44246,0,0,0,0,7,113,0,1550,1547,2355,2386,1015,862,1016,0,2015-01-22 12:42:44,793
2639006,101493028,22320,20882,2051,35349,41513683,422646349,38455,76518,183600,183600,1527935260848,1530442986279,84312,478130,10,35316,5848901,4847610,57729,40263,0,0,0,0,0,20,0,1243,1292,2065,2114,848,740,895,0,2015-01-22 12:48:34,720
3209946,125484146,25482,23838,2320,43765,45576820,325380181,47844,93852,209610,209610,1784920286843,1807945185097,94306,543896,427,27053305,8162713,6830569,79995,56270,0,0,0,0,0,456,0,1525,1531,2453,2482,995,840,1003,0,2015-01-22 12:54:24,822
2291916,80120787,22229,20794,2041,27998,49032169,445950157,31819,61966,182835,182835,1544702455108,1580659753785,84847,460018,706,35284342,5862124,4857997,57240,40288,0,0,0,0,0,801,0,1239,1274,2045,2052,880,741,866,0,2015-01-22 13:00:14,717
2448733,86604078,19393,18185,1767,30258,42125875,292078256,33230,65154,154020,154020,1310563511098,1353036594568,72863,390088,594,38003520,4658475,3920427,45452,32464,0,0,0,0,3,636,0,1115,1071,1724,1789,737,616,749,0,2015-01-22 13:06:05,604
18316,111848,341,319,33,55,125169,779732,150,198,2805,2805,25431169066,23305451356,1344,6215,11,31558,100615,86796,946,700,0,0,0,0,0,30,0,13,13,31,25,16,13,14,0,2015-01-22 13:12:27,11
9688,61008,186,174,18,30,70411,454839,76,108,1530,1530,11440893822,9297556186,768,3390,6,19703,55658,46060,521,356,0,0,0,0,0,12,0,6,6,16,20,6,6,8,0,2015-01-22 13:18:03,6
32674,1169234,279,261,26,410,126875,2519160,472,890,2295,2295,19231747075,21414448351,1049,5978,8,547915,74083,62699,702,502,0,0,0,0,0,26,0,9,9,35,29,15,14,15,0,2015-01-22 13:23:35,9
31048,1167962,279,261,25,408,685099,11373867,450,882,2295,2295,16274705469,18429993468,1052,6303,9,551839,65724,54142,644,436,0,0,0,0,0,18,0,9,9,23,22,9,9,11,0,2015-01-22 13:30:28,9
37954,1209906,403,377,38,430,157494,2186277,500,962,3315,3315,25884407676,32433113732,1601,8238,13,1604420,114082,93571,1116,747,0,0,0,0,0,36,0,13,13,32,50,18,18,21,0,2015-01-22 13:35:29,13
37628,1204994,404,377,37,427,245882,7671604,503,950,3315,3315,23068784058,27452133099,1514,8411,13,559687,103431,98487,995,841,0,0,0,0,0,26,0,13,13,41,38,17,13,17,0,2015-01-22 13:41:32,13
208682,9002370,1364,1276,120,3112,5356356,18303785,3306,6559,11220,11220,99586859656,87234745044,4799,30879,43,3279227,307477,262845,3049,2203,0,0,0,0,0,67,0,66,75,144,131,56,49,52,0,2015-01-22 13:46:57,44
3006777,121962189,23472,21956,2125,42350,58774017,396588196,45138,90703,193035,193035,1632650642685,1680492250962,86674,510046,751,52623696,5852058,4851917,56913,40089,0,0,0,0,0,836,0,1493,1533,2297,2284,921,786,917,0,2015-01-22 13:52:44,757
2740010,98844214,27001,25261,2299,34649,319257791,599694957,38927,76027,222105,222105,1837224047524,1840028815850,103858,465248,865,43504053,5358833,4466103,52059,36653,0,0,0,0,0,944,0,1792,1781,2891,4142,1095,890,1227,0,2015-01-22 13:58:35,871
2434758,78981100,27590,25810,2362,28140,358092691,555041968,32602,62852,226950,226950,1924230299956,1886647415168,108449,446278,881,34603962,5564079,4604122,54228,37593,0,0,0,0,0,935,0,1825,1741,2978,4242,1116,904,1235,0,2015-01-22 14:04:24,890
3634849,145295359,29298,27409,2595,50306,140024307,474417063,54453,108393,240975,240975,1997856757837,1985974776501,107987,609301,932,63013771,7116134,5965150,71754,51089,0,0,0,0,0,1016,0,2016,1999,2993,3300,1182,971,1214,0,2015-01-22 14:10:14,945
3200906,129264988,24831,23229,2261,44958,48079474,365681092,48049,96161,204255,204255,1671586945522,1658990570297,92039,541332,797,55861402,6376996,5309798,62945,44295,0,0,0,0,0,885,0,1630,1631,2421,2346,955,828,1010,0,2015-01-22 14:16:04,801
2270992,81923270,21080,19720,1944,28756,36429217,324950496,31973,62858,173400,173400,1421613237747,1442001378882,80720,434164,668,36622017,5566543,4587149,54274,37800,0,0,0,0,0,751,0,1323,1361,2131,2073,840,706,855,0,2015-01-22 14:21:54,680
2208450,77378396,22043,20625,1989,27067,92848496,405660566,30542,59905,181305,181305,1529008427827,1523683634033,84391,440686,699,33585918,5451179,4545079,53629,38151,0,0,0,0,0,778,0,1374,1378,2167,2239,867,737,914,0,2015-01-22 14:27:44,711
2432466,86542721,22506,21060,2038,30270,59415344,380353749,34559,66321,185130,185130,1566097360363,1512923786376,85064,459363,718,40352328,5605619,4697526,54965,39775,0,0,0,0,0,792,0,1465,1488,2116,2142,877,747,912,0,2015-01-22 14:33:34,726
2761812,106353922,23406,21897,2127,37048,56958539,374080867,40384,80099,192525,192525,1674877646668,1599306166878,87265,495404,745,48964250,5981277,4980507,59102,41920,0,0,0,0,0,800,0,1545,1559,2256,2133,906,775,899,0,2015-01-22 14:39:25,755
2510056,89328334,23872,22332,2186,31058,63765584,408155872,35143,68718,196350,196350,1613214929956,1565706921143,90425,493908,762,39127761,6244008,5153237,61413,43587,0,0,0,0,0,873,0,1489,1580,2309,2263,948,804,971,0,2015-01-22 14:45:14,770
2488900,92146102,22072,20648,2032,32301,43613367,408585167,35648,70128,181560,181560,1540040252766,1534602944676,83636,460752,702,39928547,5765727,4822893,56238,39643,0,0,0,0,0,746,0,1430,1373,2086,2021,844,728,874,0,2015-01-22 14:51:04,712
3345702,133518131,26603,24884,2396,45895,75554744,436852627,50050,99485,218790,218790,1842317579914,1796709510057,98321,576770,841,59181555,6849580,5684031,69026,48355,0,0,0,0,0,936,0,1821,1812,2618,2714,1153,928,1101,0,2015-01-22 14:56:54,858
2504478,98291378,20213,18909,1839,34133,54152484,410596489,37158,73580,166260,166260,1403422972352,1375734338143,75558,433524,641,43844306,5088352,4220161,49540,34837,0,0,0,0,0,704,0,1270,1267,1918,1913,757,669,803,0,2015-01-22 15:02:44,652
2335612,89312850,20181,18880,1853,31224,40739770,411044656,33795,67527,166005,166005,1407482617528,1428079362756,76875,426287,649,37627243,5206346,4258011,50215,34696,0,0,0,0,0,697,0,1218,1283,1840,1975,797,667,799,0,2015-01-22 15:08:34,651
2220817,80304130,20337,19025,1854,27891,46212128,450300440,31607,61376,167280,167280,1425368598813,1381927692025,76890,424044,640,33375858,5150321,4299271,49876,35785,0,0,0,0,0,706,0,1326,1287,1913,1900,802,678,813,0,2015-01-22 15:14:24,656
2207345,77644772,20802,19460,1917,27222,45931038,405039599,30909,59837,171105,171105,1459248215871,1471823353523,79657,427636,670,34593799,5440327,4459985,52581,36877,0,0,0,0,0,742,0,1300,1281,1949,2057,803,695,858,0,2015-01-22 15:20:14,671
2925827,117979675,22414,20967,2042,40951,42099406,355997875,44065,87693,184365,184365,1576976546854,1585520158554,83312,491099,715,55073791,5849616,4811765,57736,39990,0,0,0,0,0,785,0,1485,1477,2173,2130,904,745,868,0,2015-01-22 15:26:04,723
2249175,83226510,20462,19143,1855,28888,61388657,406618616,32156,63383,168300,168300,1457766797075,1436027746370,77271,425694,658,34509752,5099216,4248719,49164,34853,0,0,0,0,0,724,0,1283,1239,2010,2109,819,678,812,0,2015-01-22 15:31:54,660
1950074,64129142,20181,18879,1860,22696,65936665,348020510,26274,50480,166005,166005,1420225197762,1425130976944,78361,398850,647,28719617,5246478,4305940,50573,35416,0,0,0,0,0,700,0,1226,1230,1880,2015,786,675,813,0,2015-01-22 15:37:44,651
2641949,101061081,22850,21373,2050,35252,97009496,417648291,38511,76286,187935,187935,1610424110460,1541716559488,86414,467124,729,44080849,5580549,4581628,54428,37949,0,0,0,0,0,805,0,1543,1502,2113,2401,934,769,920,0,2015-01-22 15:43:34,737
2231692,84763823,19471,18216,1740,29373,83605285,391137177,32518,64030,160140,160140,1345494267846,1368979260500,73497,399669,621,38496697,4687185,3893862,45747,32252,0,0,0,0,0,669,0,1149,1181,1796,2000,748,642,771,0,2015-01-22 15:49:24,628
2199527,77137545,20864,19518,1904,27116,58748363,349815981,30835,59479,171615,171615,1458814437679,1440668902721,79696,417537,670,34015406,5260230,4375103,50760,35968,0,0,0,0,0,736,0,1301,1313,1932,2023,799,693,820,0,2015-01-22 15:55:14,673
2344954,88138398,21083,19724,1897,30681,77161376,329479197,33748,66859,173400,173400,1475506967870,1490940808964,79623,436087,672,37120579,5221114,4313495,50899,35812,0,0,0,0,0,738,0,1370,1327,2005,2072,819,698,819,0,2015-01-22 16:01:04,680
2955923,113463057,25018,23404,2236,39518,89409149,475163746,43469,85389,205785,205785,1771750362521,1780042428117,93570,518623,801,51191278,5969650,5011545,58371,41670,0,0,0,0,0,871,0,1662,1688,2419,2498,997,834,990,0,2015-01-22 16:06:55,807
3718041,152825560,27931,26130,2508,53040,81035006,444149188,56540,113139,229755,229755,1978071167678,1867198544251,102383,603361,883,65577479,6888218,5787329,68303,48342,0,0,0,0,0,989,0,1980,1920,2668,2796,1134,938,1117,0,2015-01-22 16:12:44,901
2588639,91273240,24864,23260,2240,31813,111689239,415012378,36347,70308,204510,204510,1719461572463,1698102085217,94995,492740,797,40119975,6170582,5105533,60922,42723,0,0,0,0,0,857,0,1579,1582,2444,2682,984,822,990,0,2015-01-22 16:18:34,802
2628354,98644612,23281,21779,2104,34556,89294573,366494249,37920,74886,191505,191505,1594148208698,1634826907394,88156,469308,746,45194119,5699702,4730463,55612,39110,0,0,0,0,0,832,0,1525,1519,2298,2536,920,776,966,0,2015-01-22 16:24:24,751
