sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
14236340,1090948,12963,18615,6777,2723,1459048354,129465158,18636,13544,87210,87210,703720186419,755084985833,245542,27534,0,0,2142006,72396,16347,20933,0,0,0,0,39,0,0,451,457,1049,1199,368,344,412,39,2015-01-22 11:50:39,342
19118460,1049678,11835,17725,8526,2544,1859757832,164631024,21772,13368,81345,81345,663893044539,685468474774,229080,25686,0,0,343735,11450,4270,6618,0,0,0,0,40,0,0,389,405,912,1060,333,327,407,38,2015-01-22 11:56:05,319
30772737,1186764,13193,22279,13103,2808,1775934687,156014515,31333,15634,90015,90015,702460016518,745961554433,254615,28131,0,0,419049,14608,4923,7998,0,0,0,0,58,0,0,457,451,1008,1164,372,353,438,54,2015-01-22 12:01:57,353
37584689,1327500,14055,23265,15839,3088,1466599997,129749133,37336,17634,98685,98685,816621079491,780669750670,278837,30972,0,0,414489,13759,5199,7735,0,0,0,0,54,0,0,495,505,1031,1238,403,389,456,54,2015-01-22 12:07:44,387
16676533,1122650,13081,19681,7809,2782,1646187351,145495066,20756,14082,88740,88740,733243769978,765396185871,244212,27985,0,0,234483,7526,2982,4242,0,0,0,0,43,0,0,464,440,918,1122,366,348,427,43,2015-01-22 12:13:34,348
19573327,1304187,14496,21363,9078,3212,1759614062,155649114,24298,16337,103530,103530,855382940705,874272893426,287409,32643,0,0,314338,12197,3655,5149,0,0,0,0,43,0,0,567,578,1022,1285,426,410,483,43,2015-01-22 12:19:24,406
16977172,1306906,14427,22061,8228,3254,1763072517,155078122,22512,16230,103785,103785,923177690225,938358015427,288950,32786,0,0,282963,9390,3371,4924,0,0,0,0,46,0,0,561,561,1179,1402,445,421,534,46,2015-01-22 12:25:14,407
16462150,1182885,14785,20187,7689,2920,1663248191,148034629,21031,14763,95115,95115,796077648806,799174505607,262344,30052,0,0,262936,17628,3146,4477,0,0,0,0,44,0,0,495,519,1102,1268,396,373,457,42,2015-01-22 12:31:04,373
34367761,1474132,17234,24608,14742,3507,1426636632,126545598,36020,19120,112455,112455,977845494169,964150767072,312540,35467,0,0,438129,14147,5434,7576,0,0,0,0,56,0,0,615,608,1223,1417,469,443,562,53,2015-01-22 12:36:54,441
15261976,1266814,14550,18760,7404,3122,1518608697,135688405,20787,15698,100215,100215,832649886818,819438655588,275851,31665,0,0,371351,41480,4474,6067,0,0,0,0,33,0,0,530,507,1066,1400,417,397,499,33,2015-01-22 12:42:44,393
15119211,1121606,13565,18433,7253,2775,1902188132,168565746,19756,13967,89505,89505,722695299365,762180534567,245505,28243,0,0,269468,8805,3326,4878,0,0,0,0,37,0,0,452,471,941,1184,371,363,426,37,2015-01-22 12:48:34,351
23611806,1329968,15901,22003,10593,3235,1480758753,132278541,27214,16890,103275,103275,840001230036,905573081834,290240,32546,0,0,415591,14007,5192,7806,0,0,0,0,46,0,0,548,533,1144,1295,432,409,515,45,2015-01-22 12:54:25,405
32767868,1303674,15307,21821,13729,3071,2080746601,185442267,33469,17085,99705,99705,887792070483,819603979265,284694,31189,0,0,308560,11851,3609,5992,0,0,0,0,47,0,0,503,499,1058,1240,409,397,479,47,2015-01-22 13:00:14,391
12815506,1025940,11649,16775,6252,2528,1162352191,103107074,17250,12796,80835,80835,648251164521,649446680012,224347,25361,0,0,275051,9035,3344,4801,0,0,0,0,34,0,0,411,399,838,1032,335,319,405,34,2015-01-22 13:06:04,317
74424,6760,62,58,36,16,968152,87595,104,84,510,510,1852419462,1901188187,1431,160,0,0,5270,168,62,77,0,0,0,0,0,0,0,2,2,3,5,2,2,2,0,2015-01-22 13:25:13,2
111770,10140,93,87,54,24,22176061,2002356,156,126,765,765,6149989696,6153035467,2150,240,0,0,841,27,9,12,0,0,0,0,0,0,0,3,3,12,11,3,3,3,0,2015-01-22 13:32:52,3
186070,16588,155,145,90,40,39664516,3513625,260,204,1275,1275,7892614808,10051581181,3579,406,0,0,990,30,10,14,0,0,0,0,0,0,0,5,5,10,13,6,5,5,0,2015-01-22 13:36:36,5
110002,9828,93,87,51,24,10468982,946311,150,120,765,765,5850441480,3753719368,2205,245,0,0,3712,119,43,55,0,0,0,0,0,0,0,3,3,6,7,3,3,3,0,2015-01-22 13:43:01,3
596016,53144,496,464,288,128,30120293,2709580,832,654,4080,4080,37501581948,32018081476,11460,1295,0,0,17776,589,205,265,0,0,0,0,0,0,0,20,22,40,57,16,16,21,0,2015-01-22 13:47:20,16
12465872,1120794,10417,9744,6025,2681,1660521306,149829339,17427,13834,85680,85680,688945896192,709803845285,240099,27125,0,0,181124,8398,1884,2445,0,0,0,0,0,0,0,434,530,1020,1213,354,338,431,0,2015-01-22 13:52:44,336
12583115,1123036,10540,9860,6066,2705,1922327502,171265467,17577,13822,86700,86700,705295212038,727983817714,243326,27543,0,0,180876,6705,1866,2451,0,0,0,0,0,0,0,465,464,1109,1222,358,340,440,0,2015-01-22 13:58:34,340
11970438,1067092,9951,9309,5778,2568,1637055701,146120559,16692,13138,81855,81855,675060162828,656007208072,230219,25988,0,0,208095,6812,2189,2872,0,0,0,0,0,0,0,424,473,997,1171,341,327,413,0,2015-01-22 14:04:24,321
13935518,1262952,11875,11112,6701,3019,1625157758,146216669,19546,15598,97665,97665,815018962512,820071553385,272802,30898,0,0,229281,10716,2492,3184,0,0,0,0,0,0,0,598,559,1213,1430,419,389,507,0,2015-01-22 14:10:14,383
13928940,1248566,11594,10846,6717,2990,1793092297,160124082,19420,15412,95370,95370,779463464437,785450445396,268301,30192,0,0,228479,7458,2462,3181,0,0,0,0,0,0,0,543,572,1155,1274,396,376,471,0,2015-01-22 14:16:04,374
11479800,1028560,9548,8932,5543,2464,1955285485,174965054,16015,12696,78540,78540,649747138791,681797446387,220824,24862,0,0,129454,4221,1287,1681,0,0,0,0,0,0,0,446,427,919,1103,330,308,393,0,2015-01-22 14:21:55,308
11273426,1014379,9583,8967,5426,2435,1611478019,145545761,15789,12485,78795,78795,696107983736,670996018258,219963,25061,0,0,160785,5283,1637,2147,0,0,0,0,0,0,0,436,440,885,1100,328,313,384,0,2015-01-22 14:27:44,309
13167321,1190281,11160,10441,6348,2847,1611427707,144847280,18454,14693,91800,91800,791315169064,768164008119,256420,29047,0,0,233880,9425,2593,3339,0,0,0,0,0,0,0,499,556,1025,1253,376,360,448,0,2015-01-22 14:33:35,360
13340806,1190901,11099,10383,6410,2855,1736455998,154884310,18549,14684,91290,91290,723288247326,773894859176,257358,28935,0,0,187938,6197,1903,2480,0,0,0,0,0,0,0,517,495,1050,1208,380,362,464,0,2015-01-22 14:39:24,358
13774475,1231683,11533,10790,6633,2960,1742330777,157765354,19209,15155,94860,94860,780713867979,760837790652,266197,30187,0,0,232003,8644,2499,3249,0,0,0,0,0,0,0,534,580,1125,1276,401,376,448,0,2015-01-22 14:45:14,372
13273158,1185288,11036,10324,6408,2848,1982494262,177282025,18512,14606,90780,90780,733409586925,759682590953,255316,28791,0,0,171963,5674,1718,2249,0,0,0,0,0,0,0,510,524,1088,1334,388,364,457,0,2015-01-22 14:51:04,356
13214775,1189722,11222,10501,6372,2851,1579767393,141935320,18515,14698,92310,92310,770289650783,796031137129,258044,29180,0,0,252230,10863,2729,3505,0,0,0,0,0,0,0,548,518,1053,1268,394,364,441,0,2015-01-22 14:56:54,362
10079172,904228,8401,7859,4863,2168,1669781202,149386515,14074,11156,69105,69105,603386659104,571870239142,194014,21887,0,0,119694,3915,1245,1613,0,0,0,0,0,0,0,390,385,774,954,287,271,328,0,2015-01-22 15:02:45,271
10448662,932984,8680,8120,5054,2240,1949097904,173575502,14588,11502,71400,71400,613673011705,583530686362,200536,22636,0,0,109554,3584,1080,1415,0,0,0,0,0,0,0,375,398,822,973,290,282,358,0,2015-01-22 15:08:36,280
12100390,1090486,10168,9513,5948,2596,1801924528,160634532,17131,13487,83640,83640,695300800084,716758945157,231325,26437,0,0,194799,10523,2111,2710,0,0,0,0,0,0,0,480,487,906,1141,356,336,415,0,2015-01-22 15:14:26,328
12520105,1121876,10416,9746,6163,2683,1803699557,160293806,17710,13855,85680,85680,738974641911,744267576705,237132,27127,0,0,151041,5010,1466,1923,0,0,0,0,0,0,0,470,479,926,1144,354,342,429,0,2015-01-22 15:20:15,336
11986292,1071200,9920,9280,5877,2560,1798638096,159950914,16875,13240,81600,81600,665698175897,698790782445,227343,25797,0,0,153060,5037,1594,2087,0,0,0,0,0,0,0,436,460,885,1171,345,322,414,0,2015-01-22 15:26:05,320
12346680,1108514,10447,9774,5928,2662,1800029855,161947417,17248,13663,85935,85935,718489117141,706835989722,240774,27270,0,0,176816,8356,1823,2373,0,0,0,0,0,0,0,475,481,992,1187,354,339,433,0,2015-01-22 15:31:56,337
11352468,1009248,9424,8816,5443,2423,1871920734,166050578,15739,12441,77520,77520,629087090173,618571390922,219358,24622,0,0,122944,4028,1185,1548,0,0,0,0,0,0,0,442,440,863,1073,324,306,382,0,2015-01-22 15:37:44,304
11115325,998528,9331,8729,5349,2392,1588782201,142218034,15515,12319,76755,76755,672387016255,642769324727,215448,24310,0,0,138381,6381,1406,1822,0,0,0,0,0,0,0,430,388,844,1072,321,307,388,0,2015-01-22 15:43:34,301
10232225,914859,8649,8092,4924,2194,1789182951,160340155,14281,11283,71145,71145,609662062302,632869570556,199540,22551,0,0,118375,4002,1174,1538,0,0,0,0,0,0,0,395,379,799,921,293,282,351,0,2015-01-22 15:49:24,279
12027090,1076048,10013,9367,5811,2583,1586035150,141810729,16793,13266,82365,82365,689591496341,698060248900,231385,26106,0,0,188425,6176,1977,2578,0,0,0,0,0,0,0,454,438,957,1142,353,325,394,0,2015-01-22 15:55:14,323
10585770,946294,8928,8352,5119,2278,1507473133,135084507,14820,11635,73440,73440,591084806822,637058897569,205235,23374,0,0,155678,6354,1564,2038,0,0,0,0,0,0,0,392,396,859,979,302,290,366,0,2015-01-22 16:01:04,288
11655992,1050764,9889,9255,5630,2520,1537379088,138183362,16345,12961,81345,81345,659877042861,689417022598,227141,25773,0,0,163986,6463,1761,2280,0,0,0,0,0,0,0,453,462,1016,1176,351,327,411,0,2015-01-22 16:06:54,319
14222388,1276022,11873,11107,6851,3052,1737372117,155480002,19834,15766,97665,97665,807438825085,819295475826,274584,30871,0,0,218658,8376,2362,3029,0,0,0,0,0,0,0,553,547,1086,1301,401,387,453,0,2015-01-22 16:12:44,383
13077992,1176348,11069,10354,6304,2822,1861676142,166697612,18307,14501,91035,91035,746649623017,752864063036,254507,28861,0,0,191747,13198,1957,2540,0,0,0,0,0,0,0,503,497,1097,1384,375,357,476,0,2015-01-22 16:18:34,357
12508728,1109680,10292,9628,6122,2656,1828371218,161304912,17556,13704,84660,84660,699154188990,727628902138,236698,26800,0,0,163932,5395,1669,2207,0,0,0,0,0,0,0,444,460,998,1203,358,334,415,0,2015-01-22 16:24:24,332
11452127,1016518,9548,8932,5540,2440,1842356755,163833668,15981,12544,78540,78540,633549726710,643208499642,221017,24848,0,0,152542,7242,1551,2055,0,0,0,0,0,0,0,454,422,832,1073,324,312,378,0,2015-01-22 16:30:16,308
11005802,989880,9239,8643,5313,2372,1687440150,152177875,15395,12211,75990,75990,622040820046,623925660124,212830,24083,0,0,141492,5737,1443,1855,0,0,0,0,0,0,0,398,396,1365,1678,563,528,650,0,2015-01-22 16:36:07,298
12545194,1125558,10447,9773,6061,2694,1397713988,125113681,17510,13898,85935,85935,703747530422,727941352989,241413,27190,0,0,244696,7992,2728,3533,0,0,0,0,0,0,0,373,373,3514,3766,1461,1365,1649,0,2015-01-22 16:41:54,337
11972807,1072209,10138,9484,5756,2574,1661635121,149069497,16737,13216,83385,83385,742392537614,717751689192,233668,26418,0,0,184218,11340,1886,2475,0,0,0,0,0,0,0,361,349,3319,3615,1411,1310,1536,0,2015-01-22 16:47:44,327
11484802,1029444,9642,9019,5546,2470,1603414615,143497295,16051,12704,79305,79305,645967632370,655718690635,222465,25107,0,0,153332,5029,1553,2029,0,0,0,0,0,0,0,411,429,1236,1430,480,458,575,0,2015-01-22 16:53:34,311
13651760,1228014,11470,10731,6589,2944,1581445158,142646221,19095,15142,94350,94350,775433358076,770885476343,264058,29908,0,0,228909,7623,2458,3196,0,0,0,0,0,0,0,552,540,1124,1379,396,372,470,0,2015-01-22 16:59:24,370
12164452,1094713,10261,9600,5871,2624,1531727225,137676349,17022,13507,84405,84405,698212544069,676692614249,235907,26749,0,0,187212,8756,2005,2614,0,0,0,0,0,0,0,502,461,1022,1200,355,335,427,0,2015-01-22 17:05:17,331
