sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
11306388,1012284,9393,8787,5454,2424,1441755622,128871900,15756,12498,77265,77265,608644816059,667673401686,217471,24447,0,0,2071857,70096,15284,19179,0,0,0,0,0,0,0,409,413,1005,1150,329,305,370,0,2015-01-22 11:50:26,303
10549588,938756,8711,8149,5120,2248,1854963092,164458449,14736,11590,71655,71655,588321271211,593899928768,201221,22684,0,0,100778,3313,958,1261,0,0,0,0,0,0,0,351,367,864,995,295,289,364,0,2015-01-22 11:56:05,281
11267284,1001676,9269,8671,5496,2392,1764156284,155729661,15781,12386,76245,76245,585749776812,627968758382,213474,24088,0,0,105760,3535,1012,1337,0,0,0,0,0,0,0,391,397,947,1074,313,299,380,0,2015-01-22 12:01:57,299
12429902,1114540,10323,9657,6028,2662,1451755694,129312288,17386,13778,84915,84915,690622729369,673362589108,238034,26839,0,0,245146,8005,2740,3524,0,0,0,0,0,0,0,433,449,959,1141,347,335,400,0,2015-01-22 12:07:44,333
11438176,1024348,9455,8845,5625,2440,1631068770,144947729,16130,12684,77775,77775,634772575331,677971159143,216294,24543,0,0,135993,4460,1409,1831,0,0,0,0,0,0,0,415,393,868,1064,323,305,382,0,2015-01-22 12:13:34,305
13391870,1201549,11254,10527,6561,2873,1739167068,154988427,18952,14844,92565,92565,772222404287,798424089631,256281,29276,0,0,249469,8307,2647,3423,0,0,0,0,0,0,0,522,533,979,1233,382,367,440,0,2015-01-22 12:19:24,363
13584724,1210612,11191,10469,6673,2888,1747075917,154427534,19122,14978,92055,92055,810226970562,828857091003,256530,29076,0,0,201174,6623,2150,2791,0,0,0,0,0,0,0,509,509,1128,1338,397,375,485,0,2015-01-22 12:25:14,361
12145982,1095030,10261,9602,5883,2616,1646559276,147425333,17066,13521,84405,84405,707124450117,717158373959,234889,26734,0,0,182229,6065,1927,2489,0,0,0,0,0,0,0,449,469,1056,1217,351,331,414,0,2015-01-22 12:31:04,331
14465586,1291992,12028,11252,6984,3104,1411475653,125951269,20176,15922,98940,98940,834267551334,865358209306,278188,31376,0,0,308849,10106,3455,4491,0,0,0,0,0,0,0,559,551,1164,1353,416,390,508,0,2015-01-22 12:36:54,388
13365400,1202188,11160,10443,6502,2868,1511646808,135409274,18765,14859,91800,91800,762045643804,754237489459,256289,29027,0,0,230953,7579,2470,3174,0,0,0,0,0,0,0,493,474,1018,1334,384,364,460,0,2015-01-22 12:42:44,360
11687988,1044614,9735,9109,5767,2498,1895200828,168299224,16548,12899,80070,80070,643764192510,670278384236,221423,25363,0,0,130083,4296,1263,1647,0,0,0,0,0,0,0,411,434,882,1115,332,326,388,0,2015-01-22 12:48:34,314
13368714,1202146,11383,10663,6468,2879,1472292739,132002753,18686,14852,91800,91800,753924199238,801017810270,257057,29026,0,0,232449,7576,2561,3280,0,0,0,0,1,0,0,494,486,1081,1204,380,362,465,0,2015-01-22 12:54:25,360
12557049,1127582,10665,9977,6046,2708,2065212320,185109320,17593,13907,87720,87720,784317828720,724048274605,244922,27810,0,0,154766,6238,1557,2036,0,0,0,0,0,0,0,454,452,999,1137,362,350,432,0,2015-01-22 13:00:14,344
10651916,957060,8773,8207,5242,2264,1154444426,102784245,15012,11896,72165,72165,574800689564,584105006596,200948,22671,0,0,175816,5743,1916,2459,0,0,0,0,0,0,0,377,363,781,950,301,285,361,0,2015-01-22 13:06:04,283
74424,6760,62,58,36,16,968152,87595,104,84,510,510,1852419462,1901188187,1431,160,0,0,5270,168,62,77,0,0,0,0,0,0,0,2,2,3,5,2,2,2,0,2015-01-22 13:25:13,2
111770,10140,93,87,54,24,22176061,2002356,156,126,765,765,6149989696,6153035467,2150,240,0,0,841,27,9,12,0,0,0,0,0,0,0,3,3,12,11,3,3,3,0,2015-01-22 13:32:52,3
186070,16588,155,145,90,40,39664516,3513625,260,204,1275,1275,7892614808,10051581181,3579,406,0,0,990,30,10,14,0,0,0,0,0,0,0,5,5,10,13,6,5,5,0,2015-01-22 13:36:36,5
110002,9828,93,87,51,24,10468982,946311,150,120,765,765,5850441480,3753719368,2205,245,0,0,3712,119,43,55,0,0,0,0,0,0,0,3,3,6,7,3,3,3,0,2015-01-22 13:43:01,3
596016,53144,496,464,288,128,30120293,2709580,832,654,4080,4080,37501581948,32018081476,11460,1295,0,0,17776,589,205,265,0,0,0,0,0,0,0,20,22,40,57,16,16,21,0,2015-01-22 13:47:20,16
12465872,1120794,10417,9744,6025,2681,1660521306,149829339,17427,13834,85680,85680,688945896192,709803845285,240099,27125,0,0,181124,8398,1884,2445,0,0,0,0,0,0,0,434,530,1020,1213,354,338,431,0,2015-01-22 13:52:44,336
12583115,1123036,10540,9860,6066,2705,1922327502,171265467,17577,13822,86700,86700,705295212038,727983817714,243326,27543,0,0,180876,6705,1866,2451,0,0,0,0,0,0,0,465,464,1109,1222,358,340,440,0,2015-01-22 13:58:34,340
11970438,1067092,9951,9309,5778,2568,1637055701,146120559,16692,13138,81855,81855,675060162828,656007208072,230219,25988,0,0,208095,6812,2189,2872,0,0,0,0,0,0,0,424,473,997,1171,341,327,413,0,2015-01-22 14:04:24,321
13935518,1262952,11875,11112,6701,3019,1625157758,146216669,19546,15598,97665,97665,815018962512,820071553385,272802,30898,0,0,229281,10716,2492,3184,0,0,0,0,0,0,0,598,559,1213,1430,419,389,507,0,2015-01-22 14:10:14,383
13928940,1248566,11594,10846,6717,2990,1793092297,160124082,19420,15412,95370,95370,779463464437,785450445396,268301,30192,0,0,228479,7458,2462,3181,0,0,0,0,0,0,0,543,572,1155,1274,396,376,471,0,2015-01-22 14:16:04,374
11479800,1028560,9548,8932,5543,2464,1955285485,174965054,16015,12696,78540,78540,649747138791,681797446387,220824,24862,0,0,129454,4221,1287,1681,0,0,0,0,0,0,0,446,427,919,1103,330,308,393,0,2015-01-22 14:21:55,308
11273426,1014379,9583,8967,5426,2435,1611478019,145545761,15789,12485,78795,78795,696107983736,670996018258,219963,25061,0,0,160785,5283,1637,2147,0,0,0,0,0,0,0,436,440,885,1100,328,313,384,0,2015-01-22 14:27:44,309
13167321,1190281,11160,10441,6348,2847,1611427707,144847280,18454,14693,91800,91800,791315169064,768164008119,256420,29047,0,0,233880,9425,2593,3339,0,0,0,0,0,0,0,499,556,1025,1253,376,360,448,0,2015-01-22 14:33:35,360
13340806,1190901,11099,10383,6410,2855,1736455998,154884310,18549,14684,91290,91290,723288247326,773894859176,257358,28935,0,0,187938,6197,1903,2480,0,0,0,0,0,0,0,517,495,1050,1208,380,362,464,0,2015-01-22 14:39:24,358
13774475,1231683,11533,10790,6633,2960,1742330777,157765354,19209,15155,94860,94860,780713867979,760837790652,266197,30187,0,0,232003,8644,2499,3249,0,0,0,0,0,0,0,534,580,1125,1276,401,376,448,0,2015-01-22 14:45:14,372
