sbytes_sum,dbytes_sum,sttl_sum,dttl_sum,sloss_sum,dloss_sum,Sload_sum,Dload_sum,Spkts_sum,Dpkts_sum,swin_sum,dwin_sum,stcpb_sum,dtcpb_sum,smeansz_sum,dmeansz_sum,trans_depth_sum,res_bdy_len_sum,Sjit_sum,Djit_sum,Sintpkt_sum,Dintpkt_sum,tcprtt_sum,synack_sum,ackdat_sum,is_sm_ips_ports_sum,ct_state_ttl_sum,tc_flw_http_mthd_sum,is_ftp_login_sum,ct_srv_src_sum,ct_srv_dst_sum,ct_dst_ltm_sum,ct_src_ltm_sum,ct_src_dport_ltm_sum,ct_dst_sport_ltm_sum,ct_dst_src_ltm_sum,Label_sum,time,connections_sum
1883880,2624830,11501,10759,4225,4753,641687875,919147656,18550,16830,94605,94605,819629851792,815414838594,40062,69821,0,0,987514,809359,7967,8429,0,0,0,0,0,0,0,550,577,1122,1135,411,373,455,0,2015-01-22 11:50:23,371
1634928,2453854,12493,11687,3232,3397,900944134,1317338371,14622,11792,102765,102765,856357075211,839297556564,47119,90627,0,0,117158,6038,1645,2196,0,0,0,0,0,0,0,603,597,1186,1152,439,403,461,0,2015-01-22 11:56:06,403
1735080,2780986,8463,7917,4103,4983,523128555,763934877,18142,17182,69615,69615,598766038829,560166144322,31345,59986,0,0,313322,22937,3566,4711,0,0,0,0,0,0,0,362,363,885,906,297,277,333,0,2015-01-22 12:01:56,273
2292968,2633402,6510,6090,4350,4835,254722838,291088014,18024,17690,53550,53550,459256899630,437853415339,28851,35070,0,0,136777,104384,1997,2173,0,0,0,0,0,0,0,250,250,571,592,222,210,246,0,2015-01-22 12:07:51,210
1845824,2291180,11902,9358,4366,4254,608083545,847190629,17420,15568,79560,79560,658518932170,657872775045,34331,59079,0,0,3737129,32897,46428,5163,0,0,0,0,0,0,0,516,526,979,929,418,314,470,0,2015-01-22 12:13:37,312
1845720,2864812,3473,3248,5279,6857,84283947,109908959,22357,24264,28560,28560,222402661270,239612306585,9667,12474,0,0,78448,65090,1184,1092,0,0,0,0,0,0,0,132,126,335,303,112,112,131,0,2015-01-22 12:19:30,112
2466320,3123834,4743,4437,5286,6406,170983693,187750274,22276,22700,39015,39015,325358014211,327582476746,20321,24371,0,0,119361,91680,1761,1854,0,0,0,0,0,0,0,179,178,529,464,157,153,186,0,2015-01-22 12:25:18,153
1983372,2323774,3813,3567,3649,4220,200807865,207729092,15363,15044,31365,31365,261566433666,259469668740,18748,22222,0,0,78122,64111,1105,1209,0,0,0,0,0,0,0,133,134,391,417,123,123,158,0,2015-01-22 12:31:08,123
2373224,3522658,4371,4089,5985,7539,61466871,88099955,25454,26362,35955,35955,309849667111,329242057513,14095,21671,0,0,106598,72540,1542,1654,0,0,0,0,0,0,0,185,195,369,433,161,143,170,0,2015-01-22 12:36:58,141
1858472,2581687,10881,10179,4276,4760,570566861,822058873,18410,17173,89505,89505,748040321433,718156414918,38409,68013,0,0,160155,34948,2265,2777,0,0,0,0,0,0,0,489,469,1026,1060,393,355,418,0,2015-01-22 12:42:48,351
1706344,2213714,3100,2900,3333,4047,211417100,216869699,14018,14128,25500,25500,208573463550,219345018839,16524,19786,0,0,71104,54132,1035,1169,0,0,0,0,0,0,0,114,126,301,279,106,102,119,0,2015-01-22 12:48:38,100
